emvar_class	ccre_class	n
HepG2	Other cCREs	4734
HepG2	PLS	339
HepG2	dELS	16876
HepG2	non-cCRE	27599
HepG2	pELS	2321
HepG2+SKNSH	Other cCREs	4341
HepG2+SKNSH	PLS	472
HepG2+SKNSH	dELS	14796
HepG2+SKNSH	non-cCRE	26879
HepG2+SKNSH	pELS	2399
K562	Other cCREs	19956
K562	PLS	5265
K562	dELS	62100
K562	non-cCRE	122585
K562	pELS	13198
K562+HepG2	Other cCREs	3893
K562+HepG2	PLS	706
K562+HepG2	dELS	11211
K562+HepG2	non-cCRE	20009
K562+HepG2	pELS	2299
K562+HepG2+SKNSH	Other cCREs	15030
K562+HepG2+SKNSH	PLS	4561
K562+HepG2+SKNSH	dELS	47867
K562+HepG2+SKNSH	non-cCRE	74963
K562+HepG2+SKNSH	pELS	10240
K562+SKNSH	Other cCREs	3221
K562+SKNSH	PLS	1322
K562+SKNSH	dELS	9918
K562+SKNSH	non-cCRE	18832
K562+SKNSH	pELS	2105
SKNSH	Other cCREs	9889
SKNSH	PLS	2028
SKNSH	dELS	29497
SKNSH	non-cCRE	64351
SKNSH	pELS	4769
none	Other cCREs	2971306
none	PLS	176544
none	dELS	6735615
none	non-cCRE	44940688
none	pELS	1100629
