skew_type	skew_bin	ccre_class	af_class	n
HepG2_skew	(-Inf,-1.5)	Other cCREs	COMMON	23
HepG2_skew	(-Inf,-1.5)	Other cCREs	LOW_FREQ	28
HepG2_skew	(-Inf,-1.5)	Other cCREs	RARE	52
HepG2_skew	(-Inf,-1.5)	Other cCREs	SINGLETON	417
HepG2_skew	(-Inf,-1.5)	Other cCREs	ULTRARARE	296
HepG2_skew	(-Inf,-1.5)	PLS	COMMON	5
HepG2_skew	(-Inf,-1.5)	PLS	LOW_FREQ	3
HepG2_skew	(-Inf,-1.5)	PLS	RARE	11
HepG2_skew	(-Inf,-1.5)	PLS	SINGLETON	174
HepG2_skew	(-Inf,-1.5)	PLS	ULTRARARE	77
HepG2_skew	(-Inf,-1.5)	dELS	COMMON	57
HepG2_skew	(-Inf,-1.5)	dELS	LOW_FREQ	72
HepG2_skew	(-Inf,-1.5)	dELS	RARE	168
HepG2_skew	(-Inf,-1.5)	dELS	SINGLETON	1649
HepG2_skew	(-Inf,-1.5)	dELS	ULTRARARE	981
HepG2_skew	(-Inf,-1.5)	non-cCRE	COMMON	80
HepG2_skew	(-Inf,-1.5)	non-cCRE	LOW_FREQ	77
HepG2_skew	(-Inf,-1.5)	non-cCRE	RARE	189
HepG2_skew	(-Inf,-1.5)	non-cCRE	SINGLETON	1827
HepG2_skew	(-Inf,-1.5)	non-cCRE	ULTRARARE	1074
HepG2_skew	(-Inf,-1.5)	pELS	COMMON	3
HepG2_skew	(-Inf,-1.5)	pELS	LOW_FREQ	11
HepG2_skew	(-Inf,-1.5)	pELS	RARE	29
HepG2_skew	(-Inf,-1.5)	pELS	SINGLETON	264
HepG2_skew	(-Inf,-1.5)	pELS	ULTRARARE	148
HepG2_skew	[-0.05,0.05)	Other cCREs	COMMON	121791
HepG2_skew	[-0.05,0.05)	Other cCREs	LOW_FREQ	100768
HepG2_skew	[-0.05,0.05)	Other cCREs	RARE	181244
HepG2_skew	[-0.05,0.05)	Other cCREs	SINGLETON	861795
HepG2_skew	[-0.05,0.05)	Other cCREs	ULTRARARE	643694
HepG2_skew	[-0.05,0.05)	PLS	COMMON	3999
HepG2_skew	[-0.05,0.05)	PLS	LOW_FREQ	3724
HepG2_skew	[-0.05,0.05)	PLS	RARE	7397
HepG2_skew	[-0.05,0.05)	PLS	SINGLETON	38284
HepG2_skew	[-0.05,0.05)	PLS	ULTRARARE	28270
HepG2_skew	[-0.05,0.05)	dELS	COMMON	222945
HepG2_skew	[-0.05,0.05)	dELS	LOW_FREQ	190432
HepG2_skew	[-0.05,0.05)	dELS	RARE	347910
HepG2_skew	[-0.05,0.05)	dELS	SINGLETON	1916605
HepG2_skew	[-0.05,0.05)	dELS	ULTRARARE	1353439
HepG2_skew	[-0.05,0.05)	non-cCRE	COMMON	1976680
HepG2_skew	[-0.05,0.05)	non-cCRE	LOW_FREQ	1718311
HepG2_skew	[-0.05,0.05)	non-cCRE	RARE	3106342
HepG2_skew	[-0.05,0.05)	non-cCRE	SINGLETON	14313297
HepG2_skew	[-0.05,0.05)	non-cCRE	ULTRARARE	10908106
HepG2_skew	[-0.05,0.05)	pELS	COMMON	35266
HepG2_skew	[-0.05,0.05)	pELS	LOW_FREQ	30184
HepG2_skew	[-0.05,0.05)	pELS	RARE	56041
HepG2_skew	[-0.05,0.05)	pELS	SINGLETON	295198
HepG2_skew	[-0.05,0.05)	pELS	ULTRARARE	214584
HepG2_skew	[-0.2,-0.05)	Other cCREs	COMMON	22365
HepG2_skew	[-0.2,-0.05)	Other cCREs	LOW_FREQ	23288
HepG2_skew	[-0.2,-0.05)	Other cCREs	RARE	44872
HepG2_skew	[-0.2,-0.05)	Other cCREs	SINGLETON	231920
HepG2_skew	[-0.2,-0.05)	Other cCREs	ULTRARARE	164536
HepG2_skew	[-0.2,-0.05)	PLS	COMMON	1388
HepG2_skew	[-0.2,-0.05)	PLS	LOW_FREQ	1665
HepG2_skew	[-0.2,-0.05)	PLS	RARE	3659
HepG2_skew	[-0.2,-0.05)	PLS	SINGLETON	20483
HepG2_skew	[-0.2,-0.05)	PLS	ULTRARARE	14755
HepG2_skew	[-0.2,-0.05)	dELS	COMMON	49122
HepG2_skew	[-0.2,-0.05)	dELS	LOW_FREQ	52333
HepG2_skew	[-0.2,-0.05)	dELS	RARE	104494
HepG2_skew	[-0.2,-0.05)	dELS	SINGLETON	610862
HepG2_skew	[-0.2,-0.05)	dELS	ULTRARARE	418574
HepG2_skew	[-0.2,-0.05)	non-cCRE	COMMON	300631
HepG2_skew	[-0.2,-0.05)	non-cCRE	LOW_FREQ	322038
HepG2_skew	[-0.2,-0.05)	non-cCRE	RARE	630348
HepG2_skew	[-0.2,-0.05)	non-cCRE	SINGLETON	2851762
HepG2_skew	[-0.2,-0.05)	non-cCRE	ULTRARARE	2149535
HepG2_skew	[-0.2,-0.05)	pELS	COMMON	8217
HepG2_skew	[-0.2,-0.05)	pELS	LOW_FREQ	8790
HepG2_skew	[-0.2,-0.05)	pELS	RARE	17811
HepG2_skew	[-0.2,-0.05)	pELS	SINGLETON	100083
HepG2_skew	[-0.2,-0.05)	pELS	ULTRARARE	69787
HepG2_skew	[-0.5,-0.2)	Other cCREs	COMMON	2029
HepG2_skew	[-0.5,-0.2)	Other cCREs	LOW_FREQ	2545
HepG2_skew	[-0.5,-0.2)	Other cCREs	RARE	5536
HepG2_skew	[-0.5,-0.2)	Other cCREs	SINGLETON	35547
HepG2_skew	[-0.5,-0.2)	Other cCREs	ULTRARARE	23608
HepG2_skew	[-0.5,-0.2)	PLS	COMMON	247
HepG2_skew	[-0.5,-0.2)	PLS	LOW_FREQ	375
HepG2_skew	[-0.5,-0.2)	PLS	RARE	906
HepG2_skew	[-0.5,-0.2)	PLS	SINGLETON	6487
HepG2_skew	[-0.5,-0.2)	PLS	ULTRARARE	4421
HepG2_skew	[-0.5,-0.2)	dELS	COMMON	5544
HepG2_skew	[-0.5,-0.2)	dELS	LOW_FREQ	6717
HepG2_skew	[-0.5,-0.2)	dELS	RARE	15332
