skew_type	skew_bin	ccre_class	af_class	indel_class	n
HepG2_skew	(-Inf,-1.5)	Other cCREs	COMMON	del_1	8
HepG2_skew	(-Inf,-1.5)	Other cCREs	COMMON	del_10plus	7
HepG2_skew	(-Inf,-1.5)	Other cCREs	COMMON	del_2	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	COMMON	del_4	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	COMMON	del_8	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	COMMON	ins_1	4
HepG2_skew	(-Inf,-1.5)	Other cCREs	COMMON	ins_10plus	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	LOW_FREQ	del_1	6
HepG2_skew	(-Inf,-1.5)	Other cCREs	LOW_FREQ	del_10plus	11
HepG2_skew	(-Inf,-1.5)	Other cCREs	LOW_FREQ	del_2	3
HepG2_skew	(-Inf,-1.5)	Other cCREs	LOW_FREQ	del_3	2
HepG2_skew	(-Inf,-1.5)	Other cCREs	LOW_FREQ	del_4	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	LOW_FREQ	del_6	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	LOW_FREQ	del_7	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	LOW_FREQ	del_8	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	LOW_FREQ	ins_1	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	LOW_FREQ	ins_2	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	RARE	del_1	12
HepG2_skew	(-Inf,-1.5)	Other cCREs	RARE	del_10plus	19
HepG2_skew	(-Inf,-1.5)	Other cCREs	RARE	del_2	5
HepG2_skew	(-Inf,-1.5)	Other cCREs	RARE	del_3	3
HepG2_skew	(-Inf,-1.5)	Other cCREs	RARE	del_4	3
HepG2_skew	(-Inf,-1.5)	Other cCREs	RARE	del_5	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	RARE	del_6	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	RARE	del_8	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	RARE	ins_1	6
HepG2_skew	(-Inf,-1.5)	Other cCREs	RARE	ins_10plus	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	SINGLETON	del_1	154
HepG2_skew	(-Inf,-1.5)	Other cCREs	SINGLETON	del_10plus	78
HepG2_skew	(-Inf,-1.5)	Other cCREs	SINGLETON	del_2	31
HepG2_skew	(-Inf,-1.5)	Other cCREs	SINGLETON	del_3	14
HepG2_skew	(-Inf,-1.5)	Other cCREs	SINGLETON	del_4	28
HepG2_skew	(-Inf,-1.5)	Other cCREs	SINGLETON	del_5	7
HepG2_skew	(-Inf,-1.5)	Other cCREs	SINGLETON	del_6	16
HepG2_skew	(-Inf,-1.5)	Other cCREs	SINGLETON	del_7	7
HepG2_skew	(-Inf,-1.5)	Other cCREs	SINGLETON	del_8	13
HepG2_skew	(-Inf,-1.5)	Other cCREs	SINGLETON	del_9	10
HepG2_skew	(-Inf,-1.5)	Other cCREs	SINGLETON	ins_1	32
HepG2_skew	(-Inf,-1.5)	Other cCREs	SINGLETON	ins_10plus	3
HepG2_skew	(-Inf,-1.5)	Other cCREs	SINGLETON	ins_2	8
HepG2_skew	(-Inf,-1.5)	Other cCREs	SINGLETON	ins_3	2
HepG2_skew	(-Inf,-1.5)	Other cCREs	SINGLETON	ins_4	7
HepG2_skew	(-Inf,-1.5)	Other cCREs	SINGLETON	ins_5	3
HepG2_skew	(-Inf,-1.5)	Other cCREs	SINGLETON	ins_7	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	SINGLETON	ins_8	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	SINGLETON	ins_9	2
HepG2_skew	(-Inf,-1.5)	Other cCREs	ULTRARARE	del_1	100
HepG2_skew	(-Inf,-1.5)	Other cCREs	ULTRARARE	del_10plus	56
HepG2_skew	(-Inf,-1.5)	Other cCREs	ULTRARARE	del_2	20
HepG2_skew	(-Inf,-1.5)	Other cCREs	ULTRARARE	del_3	15
HepG2_skew	(-Inf,-1.5)	Other cCREs	ULTRARARE	del_4	19
HepG2_skew	(-Inf,-1.5)	Other cCREs	ULTRARARE	del_5	7
HepG2_skew	(-Inf,-1.5)	Other cCREs	ULTRARARE	del_6	9
HepG2_skew	(-Inf,-1.5)	Other cCREs	ULTRARARE	del_7	14
HepG2_skew	(-Inf,-1.5)	Other cCREs	ULTRARARE	del_8	3
HepG2_skew	(-Inf,-1.5)	Other cCREs	ULTRARARE	del_9	4
HepG2_skew	(-Inf,-1.5)	Other cCREs	ULTRARARE	ins_1	18
HepG2_skew	(-Inf,-1.5)	Other cCREs	ULTRARARE	ins_10plus	7
HepG2_skew	(-Inf,-1.5)	Other cCREs	ULTRARARE	ins_2	12
HepG2_skew	(-Inf,-1.5)	Other cCREs	ULTRARARE	ins_3	5
HepG2_skew	(-Inf,-1.5)	Other cCREs	ULTRARARE	ins_4	2
HepG2_skew	(-Inf,-1.5)	Other cCREs	ULTRARARE	ins_5	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	ULTRARARE	ins_6	2
HepG2_skew	(-Inf,-1.5)	Other cCREs	ULTRARARE	ins_7	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	ULTRARARE	ins_9	1
HepG2_skew	(-Inf,-1.5)	PLS	COMMON	del_1	4
HepG2_skew	(-Inf,-1.5)	PLS	COMMON	del_4	1
HepG2_skew	(-Inf,-1.5)	PLS	LOW_FREQ	del_10plus	1
HepG2_skew	(-Inf,-1.5)	PLS	LOW_FREQ	del_2	2
HepG2_skew	(-Inf,-1.5)	PLS	RARE	del_1	2
HepG2_skew	(-Inf,-1.5)	PLS	RARE	del_10plus	4
HepG2_skew	(-Inf,-1.5)	PLS	RARE	del_4	1
HepG2_skew	(-Inf,-1.5)	PLS	RARE	del_5	1
HepG2_skew	(-Inf,-1.5)	PLS	RARE	del_7	2
HepG2_skew	(-Inf,-1.5)	PLS	RARE	ins_1	1
HepG2_skew	(-Inf,-1.5)	PLS	SINGLETON	del_1	66
HepG2_skew	(-Inf,-1.5)	PLS	SINGLETON	del_10plus	36
HepG2_skew	(-Inf,-1.5)	PLS	SINGLETON	del_2	12
HepG2_skew	(-Inf,-1.5)	PLS	SINGLETON	del_3	7
HepG2_skew	(-Inf,-1.5)	PLS	SINGLETON	del_4	3
HepG2_skew	(-Inf,-1.5)	PLS	SINGLETON	del_5	6
HepG2_skew	(-Inf,-1.5)	PLS	SINGLETON	del_6	2
HepG2_skew	(-Inf,-1.5)	PLS	SINGLETON	del_7	5
HepG2_skew	(-Inf,-1.5)	PLS	SINGLETON	del_8	4
HepG2_skew	(-Inf,-1.5)	PLS	SINGLETON	del_9	6
HepG2_skew	(-Inf,-1.5)	PLS	SINGLETON	ins_1	9
HepG2_skew	(-Inf,-1.5)	PLS	SINGLETON	ins_10plus	2
HepG2_skew	(-Inf,-1.5)	PLS	SINGLETON	ins_2	5
HepG2_skew	(-Inf,-1.5)	PLS	SINGLETON	ins_3	3
HepG2_skew	(-Inf,-1.5)	PLS	SINGLETON	ins_4	2
HepG2_skew	(-Inf,-1.5)	PLS	SINGLETON	ins_5	3
HepG2_skew	(-Inf,-1.5)	PLS	SINGLETON	ins_6	1
HepG2_skew	(-Inf,-1.5)	PLS	SINGLETON	ins_7	2
HepG2_skew	(-Inf,-1.5)	PLS	ULTRARARE	del_1	21
HepG2_skew	(-Inf,-1.5)	PLS	ULTRARARE	del_10plus	14
HepG2_skew	(-Inf,-1.5)	PLS	ULTRARARE	del_2	2
HepG2_skew	(-Inf,-1.5)	PLS	ULTRARARE	del_3	3
HepG2_skew	(-Inf,-1.5)	PLS	ULTRARARE	del_4	8
HepG2_skew	(-Inf,-1.5)	PLS	ULTRARARE	del_5	3
HepG2_skew	(-Inf,-1.5)	PLS	ULTRARARE	del_6	2
HepG2_skew	(-Inf,-1.5)	PLS	ULTRARARE	del_7	3
HepG2_skew	(-Inf,-1.5)	PLS	ULTRARARE	del_8	3
HepG2_skew	(-Inf,-1.5)	PLS	ULTRARARE	del_9	1
HepG2_skew	(-Inf,-1.5)	PLS	ULTRARARE	ins_1	6
HepG2_skew	(-Inf,-1.5)	PLS	ULTRARARE	ins_2	7
HepG2_skew	(-Inf,-1.5)	PLS	ULTRARARE	ins_4	2
HepG2_skew	(-Inf,-1.5)	PLS	ULTRARARE	ins_7	2
HepG2_skew	(-Inf,-1.5)	dELS	COMMON	del_1	13
HepG2_skew	(-Inf,-1.5)	dELS	COMMON	del_10plus	21
HepG2_skew	(-Inf,-1.5)	dELS	COMMON	del_2	3
HepG2_skew	(-Inf,-1.5)	dELS	COMMON	del_3	1
HepG2_skew	(-Inf,-1.5)	dELS	COMMON	del_4	4
HepG2_skew	(-Inf,-1.5)	dELS	COMMON	del_5	2
HepG2_skew	(-Inf,-1.5)	dELS	COMMON	del_6	3
HepG2_skew	(-Inf,-1.5)	dELS	COMMON	del_7	2
HepG2_skew	(-Inf,-1.5)	dELS	COMMON	del_8	1
HepG2_skew	(-Inf,-1.5)	dELS	COMMON	del_9	1
HepG2_skew	(-Inf,-1.5)	dELS	COMMON	ins_1	5
HepG2_skew	(-Inf,-1.5)	dELS	COMMON	ins_2	1
HepG2_skew	(-Inf,-1.5)	dELS	LOW_FREQ	del_1	20
HepG2_skew	(-Inf,-1.5)	dELS	LOW_FREQ	del_10plus	16
HepG2_skew	(-Inf,-1.5)	dELS	LOW_FREQ	del_2	6
HepG2_skew	(-Inf,-1.5)	dELS	LOW_FREQ	del_3	4
HepG2_skew	(-Inf,-1.5)	dELS	LOW_FREQ	del_4	6
HepG2_skew	(-Inf,-1.5)	dELS	LOW_FREQ	del_5	1
HepG2_skew	(-Inf,-1.5)	dELS	LOW_FREQ	del_6	2
HepG2_skew	(-Inf,-1.5)	dELS	LOW_FREQ	del_7	2
HepG2_skew	(-Inf,-1.5)	dELS	LOW_FREQ	del_8	4
HepG2_skew	(-Inf,-1.5)	dELS	LOW_FREQ	del_9	2
HepG2_skew	(-Inf,-1.5)	dELS	LOW_FREQ	ins_1	2
HepG2_skew	(-Inf,-1.5)	dELS	LOW_FREQ	ins_10plus	1
HepG2_skew	(-Inf,-1.5)	dELS	LOW_FREQ	ins_2	3
HepG2_skew	(-Inf,-1.5)	dELS	LOW_FREQ	ins_4	1
HepG2_skew	(-Inf,-1.5)	dELS	LOW_FREQ	ins_5	1
HepG2_skew	(-Inf,-1.5)	dELS	LOW_FREQ	ins_8	1
HepG2_skew	(-Inf,-1.5)	dELS	RARE	del_1	54
HepG2_skew	(-Inf,-1.5)	dELS	RARE	del_10plus	36
HepG2_skew	(-Inf,-1.5)	dELS	RARE	del_2	16
HepG2_skew	(-Inf,-1.5)	dELS	RARE	del_3	7
HepG2_skew	(-Inf,-1.5)	dELS	RARE	del_4	16
HepG2_skew	(-Inf,-1.5)	dELS	RARE	del_5	2
HepG2_skew	(-Inf,-1.5)	dELS	RARE	del_6	7
HepG2_skew	(-Inf,-1.5)	dELS	RARE	del_7	6
HepG2_skew	(-Inf,-1.5)	dELS	RARE	del_8	2
HepG2_skew	(-Inf,-1.5)	dELS	RARE	del_9	2
HepG2_skew	(-Inf,-1.5)	dELS	RARE	ins_1	9
HepG2_skew	(-Inf,-1.5)	dELS	RARE	ins_2	3
HepG2_skew	(-Inf,-1.5)	dELS	RARE	ins_3	2
HepG2_skew	(-Inf,-1.5)	dELS	RARE	ins_4	2
HepG2_skew	(-Inf,-1.5)	dELS	RARE	ins_5	1
HepG2_skew	(-Inf,-1.5)	dELS	RARE	ins_6	1
HepG2_skew	(-Inf,-1.5)	dELS	RARE	ins_7	2
HepG2_skew	(-Inf,-1.5)	dELS	SINGLETON	del_1	610
HepG2_skew	(-Inf,-1.5)	dELS	SINGLETON	del_10plus	257
HepG2_skew	(-Inf,-1.5)	dELS	SINGLETON	del_2	144
HepG2_skew	(-Inf,-1.5)	dELS	SINGLETON	del_3	82
HepG2_skew	(-Inf,-1.5)	dELS	SINGLETON	del_4	107
HepG2_skew	(-Inf,-1.5)	dELS	SINGLETON	del_5	36
HepG2_skew	(-Inf,-1.5)	dELS	SINGLETON	del_6	58
HepG2_skew	(-Inf,-1.5)	dELS	SINGLETON	del_7	46
HepG2_skew	(-Inf,-1.5)	dELS	SINGLETON	del_8	43
HepG2_skew	(-Inf,-1.5)	dELS	SINGLETON	del_9	18
HepG2_skew	(-Inf,-1.5)	dELS	SINGLETON	ins_1	130
HepG2_skew	(-Inf,-1.5)	dELS	SINGLETON	ins_10plus	8
HepG2_skew	(-Inf,-1.5)	dELS	SINGLETON	ins_2	45
HepG2_skew	(-Inf,-1.5)	dELS	SINGLETON	ins_3	25
HepG2_skew	(-Inf,-1.5)	dELS	SINGLETON	ins_4	18
HepG2_skew	(-Inf,-1.5)	dELS	SINGLETON	ins_5	8
HepG2_skew	(-Inf,-1.5)	dELS	SINGLETON	ins_6	8
HepG2_skew	(-Inf,-1.5)	dELS	SINGLETON	ins_7	1
HepG2_skew	(-Inf,-1.5)	dELS	SINGLETON	ins_8	4
HepG2_skew	(-Inf,-1.5)	dELS	SINGLETON	ins_9	1
HepG2_skew	(-Inf,-1.5)	dELS	ULTRARARE	del_1	356
HepG2_skew	(-Inf,-1.5)	dELS	ULTRARARE	del_10plus	160
HepG2_skew	(-Inf,-1.5)	dELS	ULTRARARE	del_2	69
HepG2_skew	(-Inf,-1.5)	dELS	ULTRARARE	del_3	61
HepG2_skew	(-Inf,-1.5)	dELS	ULTRARARE	del_4	78
HepG2_skew	(-Inf,-1.5)	dELS	ULTRARARE	del_5	24
HepG2_skew	(-Inf,-1.5)	dELS	ULTRARARE	del_6	32
HepG2_skew	(-Inf,-1.5)	dELS	ULTRARARE	del_7	31
HepG2_skew	(-Inf,-1.5)	dELS	ULTRARARE	del_8	21
HepG2_skew	(-Inf,-1.5)	dELS	ULTRARARE	del_9	7
HepG2_skew	(-Inf,-1.5)	dELS	ULTRARARE	ins_1	68
HepG2_skew	(-Inf,-1.5)	dELS	ULTRARARE	ins_10plus	6
HepG2_skew	(-Inf,-1.5)	dELS	ULTRARARE	ins_2	28
HepG2_skew	(-Inf,-1.5)	dELS	ULTRARARE	ins_3	10
HepG2_skew	(-Inf,-1.5)	dELS	ULTRARARE	ins_4	14
HepG2_skew	(-Inf,-1.5)	dELS	ULTRARARE	ins_5	6
HepG2_skew	(-Inf,-1.5)	dELS	ULTRARARE	ins_6	2
HepG2_skew	(-Inf,-1.5)	dELS	ULTRARARE	ins_7	1
HepG2_skew	(-Inf,-1.5)	dELS	ULTRARARE	ins_8	3
HepG2_skew	(-Inf,-1.5)	dELS	ULTRARARE	ins_9	4
HepG2_skew	(-Inf,-1.5)	non-cCRE	COMMON	del_1	18
HepG2_skew	(-Inf,-1.5)	non-cCRE	COMMON	del_10plus	17
