skew_type	skew_bin	ccre_class	indel_class	n
HepG2_skew	(-Inf,-1.5)	Other cCREs	del_1	280
HepG2_skew	(-Inf,-1.5)	Other cCREs	del_10plus	171
HepG2_skew	(-Inf,-1.5)	Other cCREs	del_2	60
HepG2_skew	(-Inf,-1.5)	Other cCREs	del_3	34
HepG2_skew	(-Inf,-1.5)	Other cCREs	del_4	52
HepG2_skew	(-Inf,-1.5)	Other cCREs	del_5	15
HepG2_skew	(-Inf,-1.5)	Other cCREs	del_6	27
HepG2_skew	(-Inf,-1.5)	Other cCREs	del_7	22
HepG2_skew	(-Inf,-1.5)	Other cCREs	del_8	19
HepG2_skew	(-Inf,-1.5)	Other cCREs	del_9	14
HepG2_skew	(-Inf,-1.5)	Other cCREs	ins_1	61
HepG2_skew	(-Inf,-1.5)	Other cCREs	ins_10plus	12
HepG2_skew	(-Inf,-1.5)	Other cCREs	ins_2	21
HepG2_skew	(-Inf,-1.5)	Other cCREs	ins_3	7
HepG2_skew	(-Inf,-1.5)	Other cCREs	ins_4	9
HepG2_skew	(-Inf,-1.5)	Other cCREs	ins_5	4
HepG2_skew	(-Inf,-1.5)	Other cCREs	ins_6	2
HepG2_skew	(-Inf,-1.5)	Other cCREs	ins_7	2
HepG2_skew	(-Inf,-1.5)	Other cCREs	ins_8	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	ins_9	3
HepG2_skew	(-Inf,-1.5)	PLS	del_1	93
HepG2_skew	(-Inf,-1.5)	PLS	del_10plus	55
HepG2_skew	(-Inf,-1.5)	PLS	del_2	16
HepG2_skew	(-Inf,-1.5)	PLS	del_3	10
HepG2_skew	(-Inf,-1.5)	PLS	del_4	13
HepG2_skew	(-Inf,-1.5)	PLS	del_5	10
HepG2_skew	(-Inf,-1.5)	PLS	del_6	4
HepG2_skew	(-Inf,-1.5)	PLS	del_7	10
HepG2_skew	(-Inf,-1.5)	PLS	del_8	7
HepG2_skew	(-Inf,-1.5)	PLS	del_9	7
HepG2_skew	(-Inf,-1.5)	PLS	ins_1	16
HepG2_skew	(-Inf,-1.5)	PLS	ins_10plus	2
HepG2_skew	(-Inf,-1.5)	PLS	ins_2	12
HepG2_skew	(-Inf,-1.5)	PLS	ins_3	3
HepG2_skew	(-Inf,-1.5)	PLS	ins_4	4
HepG2_skew	(-Inf,-1.5)	PLS	ins_5	3
HepG2_skew	(-Inf,-1.5)	PLS	ins_6	1
HepG2_skew	(-Inf,-1.5)	PLS	ins_7	4
HepG2_skew	(-Inf,-1.5)	dELS	del_1	1053
HepG2_skew	(-Inf,-1.5)	dELS	del_10plus	490
HepG2_skew	(-Inf,-1.5)	dELS	del_2	238
HepG2_skew	(-Inf,-1.5)	dELS	del_3	155
HepG2_skew	(-Inf,-1.5)	dELS	del_4	211
HepG2_skew	(-Inf,-1.5)	dELS	del_5	65
HepG2_skew	(-Inf,-1.5)	dELS	del_6	102
HepG2_skew	(-Inf,-1.5)	dELS	del_7	87
HepG2_skew	(-Inf,-1.5)	dELS	del_8	71
HepG2_skew	(-Inf,-1.5)	dELS	del_9	30
HepG2_skew	(-Inf,-1.5)	dELS	ins_1	214
HepG2_skew	(-Inf,-1.5)	dELS	ins_10plus	15
HepG2_skew	(-Inf,-1.5)	dELS	ins_2	80
HepG2_skew	(-Inf,-1.5)	dELS	ins_3	37
HepG2_skew	(-Inf,-1.5)	dELS	ins_4	35
HepG2_skew	(-Inf,-1.5)	dELS	ins_5	16
HepG2_skew	(-Inf,-1.5)	dELS	ins_6	11
HepG2_skew	(-Inf,-1.5)	dELS	ins_7	4
