activity_type	activity_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint
HepG2_activity	[-Inf,1)	Other cCREs	26197688	26178970	7123790.167	10451513.823127003	26092333	-1101550.5510592705	42406395.62089668	789982	761787	1044736
HepG2_activity	[-Inf,1)	PLS	569078	562859	146620.65899999999	185096.789457	568758	134931.4158283715	2335350.943866117	54082	138782	106992
HepG2_activity	[-Inf,1)	dELS	62315782	62301402	17711654.118999984	25919981.89231106	62236360	2063509.7116472991	144638831.74744275	3135220	4149967	6230894
HepG2_activity	[-Inf,1)	non-cCRE	386458093	386258424	98170380.32000092	138650725.98331094	381878026	-43696624.35164259	449958185.5956958	5400386	8401908	1381370
HepG2_activity	[-Inf,1)	pELS	8321023	8313962	2142478.537	2753943.723893	8314118	221245.4749638908	19211191.61694936	405496	1648370	963286
HepG2_activity	[1,2)	Other cCREs	2617884	2615055	953063.645	1574138.701751	2588973	-543989.3851913897	4066103.3607280394	43016	126947	171251
HepG2_activity	[1,2)	PLS	397997	397305	94483.401	96521.968205	397640	168803.70593569818	2043054.4443348448	54039	134535	146901
HepG2_activity	[1,2)	dELS	9074634	9071214	3145720.6520000002	4905970.250263999	9057983	-749398.3958233945	23365272.94473813	432775	982041	1778467
HepG2_activity	[1,2)	non-cCRE	14008834	13992617	5138499.05	8660267.581171995	13852599	-2934580.7568715955	19006512.813682932	175643	815349	318515
HepG2_activity	[1,2)	pELS	1834582	1832112	486268.713	583568.036743	1831766	238216.9150893794	5930287.646292254	144077	537038	507850
HepG2_activity	[2,3)	Other cCREs	541758	540894	204801.808	341035.946638	534579	-133127.16569664018	741506.3859169822	5592	27835	42404
HepG2_activity	[2,3)	PLS	324337	324226	65320.820999999996	47330.599259	324127	181446.24495411952	2044749.9128886408	55606	124736	158446
HepG2_activity	[2,3)	dELS	1789482	1788368	636719.75	985501.079522	1784557	-133108.6636804016	4822715.786244924	90588	230586	474015
HepG2_activity	[2,3)	non-cCRE	2044088	2041457	794498.926	1346923.705218	2013761	-402036.2515192049	2675658.5589443045	26449	150619	87447
HepG2_activity	[2,3)	pELS	494116	493443	122074.82	127809.797662	492807	192105.6750519153	2185775.394700661	61166	164784	198332
HepG2_activity	[3,4)	Other cCREs	190038	189873	64074.955	101655.806967	186956	-39346.300844867015	196905.9055723263	1105	10677	14614
HepG2_activity	[3,4)	PLS	305021	304877	57430.412	34312.921998	304770	193760.4599386383	2196057.4085578336	58962	122157	164912
HepG2_activity	[3,4)	dELS	446803	446380	147761.619	218482.561795	444006	-31592.735893568366	1112189.5583628088	20678	62553	132443
HepG2_activity	[3,4)	non-cCRE	501903	501489	162880.378	253073.390078	487381	-66416.36867456642	594652.2421745204	7019	38662	25464
HepG2_activity	[3,4)	pELS	160895	160544	35436.926	30672.294834	160503	96784.07902272978	899935.2451292018	25819	56736	77103
HepG2_activity	[4,5)	Other cCREs	29283	29270	10684.961	17200.617428999998	28293	-6433.447992548114	30405.281351668506	133	1579	2578
HepG2_activity	[4,5)	PLS	199529	199430	35099.5	17473.245172	199341	129616.05302883977	1472997.2520881614	39288	84250	111783
HepG2_activity	[4,5)	dELS	85699	85611	27511.768	40052.801524	85065	-4480.47796921781	225406.21987944716	4300	13049	28233
HepG2_activity	[4,5)	non-cCRE	71129	71086	26812.133	43912.887359	69750	-7973.475970659296	135495.79046673203	2071	7121	5999
HepG2_activity	[4,5)	pELS	47016	47002	9659.397	7011.671723	47000	36583.74800435698	322543.9617022893	9109	18591	25176
HepG2_activity	[5,Inf)	Other cCREs	5119	5119	2293.178	3766.403132	4667	-1152.9089991688961	4467.985839478962	8	392	819
HepG2_activity	[5,Inf)	PLS	56302	56302	9372.717	4012.431865	56142	41325.74302410603	440731.8157338198	11795	26013	31656
HepG2_activity	[5,Inf)	dELS	15018	15017	4793.659	7149.160673	14775	-1904.0229954042006	33312.180762812844	500	1739	5001
HepG2_activity	[5,Inf)	non-cCRE	9587	9538	3920.359	6535.276273	8729	-679.7979942697556	21947.375564410333	368	994	947
HepG2_activity	[5,Inf)	pELS	7640	7640	1622.342	1308.539296	7640	5567.986006659926	51532.37027615411	1412	3487	3862
K562_activity	[-Inf,1)	Other cCREs	25540228	25522269	7016202.381	10370568.793667004	25427261	-1069241.738159947	41539686.76357481	775209	747284	981480
K562_activity	[-Inf,1)	PLS	582516	576020	155090.782	199774.828748	582114	140705.99283817282	2367738.30463521	56144	146003	111285
K562_activity	[-Inf,1)	dELS	61541929	61529339	17753964.026999984	26222456.898073062	61461521	1981425.2916201956	144060895.62162334	3127221	4175074	6111310
K562_activity	[-Inf,1)	non-cCRE	382367487	382173798	97056498.91900086	137115226.30478397	377800947	-43020321.433486745	445880273.7319946	5367332	8330698	1362065
K562_activity	[-Inf,1)	pELS	8268878	8261959	2159573.152	2803045.158398	8261757	220433.14088634198	19174448.776242174	408421	1659485	961580
K562_activity	[1,2)	Other cCREs	2933394	2930844	961512.189	1516017.637235	2912233	-511118.2032116906	4384699.120238028	51504	126353	193591
K562_activity	[1,2)	PLS	309424	309080	72809.554	74762.860606	309154	125262.33995234694	1559220.8776696946	40206	102309	108851
K562_activity	[1,2)	dELS	8908781	8905153	2861130.517	4308911.516317	8893945	-581391.156841083	21659226.3529192	402015	863120	1639593
K562_activity	[1,2)	non-cCRE	16611543	16596180	5637726.938	9152546.176447995	16446798	-3245489.4060586495	21340242.067643862	196937	801308	298501
K562_activity	[1,2)	pELS	1670914	1669080	424923.948	496553.595388	1668407	201492.18816081365	5188837.4392292285	122795	462699	433013
K562_activity	[2,3)	Other cCREs	726769	725723	252903.63199999998	403443.292108	720969	-158614.54867423372	1079401.8895642709	10288	34630	65837
K562_activity	[2,3)	PLS	241478	241346	49416.828	38310.052112	241307	116939.22494366812	1421695.7510306344	37500	89568	108922
K562_activity	[2,3)	dELS	2272407	2271066	742810.16	1098408.340154	2267344	-175882.52777507366	5891515.810413023	107874	264225	582343
K562_activity	[2,3)	non-cCRE	3047294	3041693	1230802.524	2105614.243942	3018602	-668328.031901177	3771180.2584845205	30994	196757	97293
K562_activity	[2,3)	pELS	551450	550172	132129.483	136981.379333	550530	162633.8780396909	2212162.373207292	58585	174846	202467
K562_activity	[3,4)	Other cCREs	257066	256452	88617.398	140015.188374	254251	-61530.41682259077	322217.59687455266	2208	13389	23071
K562_activity	[3,4)	PLS	224777	224754	42855.634	27466.008104	224604	126537.659975187	1522406.785552405	40163	87579	113819
K562_activity	[3,4)	dELS	688543	687543	223634.704	323453.320988	686495	-55430.19379844434	1805469.4868700816	32664	88945	204959
K562_activity	[3,4)	non-cCRE	792226	789590	291094.513	472421.041627	780503	-151270.98142139497	991675.1744400822	9844	57980	37687
K562_activity	[3,4)	pELS	215139	214982	48583.977	44211.255907	214467	101387.71002275747	1071502.570482298	29872	72808	94950
K562_activity	[4,5)	Other cCREs	97872	97624	31209.055	47257.326623	95990	-19718.772925163492	95843.52426901372	531	5908	8968
K562_activity	[4,5)	PLS	220520	220463	39830.151	21465.361785	220353	144586.2719509011	1642743.9686408683	43745	88755	119031
K562_activity	[4,5)	dELS	228547	228093	68966.922	94443.36476	227069	-17289.366924128848	564637.0269793667	10328	32779	75301
K562_activity	[4,5)	non-cCRE	215774	214665	64961.005	95124.006729	207512	-24259.93683868158	285017.47773207515	4180	19417	15094
K562_activity	[4,5)	pELS	97020	96839	20404.115999999998	16077.58316	96886	61805.85102147201	570578.516292067	16365	35093	48657
K562_activity	[5,Inf)	Other cCREs	26441	26269	8264.059	12009.061037	25097	-5376.079990257974	23935.645784500164	96	1653	3455
K562_activity	[5,Inf)	PLS	273549	273336	48324.561	22968.844601	273246	195852.1330494972	2019136.089940606	56014	116259	158782
K562_activity	[5,Inf)	dELS	87211	86798	23655.237	29464.305797	86372	-8406.630996151369	215984.13862579776	3959	15792	35547
K562_activity	[5,Inf)	non-cCRE	59310	58685	15907.267	20507.049881	55884	1358.7870337829274	124063.66623318868	2649	8493	9102
K562_activity	[5,Inf)	pELS	61871	61671	11926.059000000001	7445.091965	61787	42751.11000785616	383736.5595968646	11041	24075	34942
SKNSH_activity	[-Inf,1)	Other cCREs	26349425	26333387	7164242.010999999	10502903.184975006	26253618	-1163851.63706421	42817205.718723916	792780	769277	1070985
SKNSH_activity	[-Inf,1)	PLS	585925	579447	152268.628	193599.372966	585508	132711.10978903653	2336147.412944906	54638	145651	111339
SKNSH_activity	[-Inf,1)	dELS	63248441	63235411	18031390.44199998	26409220.95694005	63174380	1807679.432720152	146766776.6930908	3159572	4283984	6387709
SKNSH_activity	[-Inf,1)	non-cCRE	385861218	385698825	98004524.1570009	138354241.71148592	381413155	-43702198.088565476	449674990.7728774	5391466	8424914	1378879
SKNSH_activity	[-Inf,1)	pELS	8408780	8401627	2177998.351	2812563.308995	8401647	168629.90983157774	19274707.6947941	403480	1667024	971748
SKNSH_activity	[1,2)	Other cCREs	2421061	2416657	895071.842	1491203.412678	2385283	-473286.67816355295	3605402.9378533443	39753	118176	145646
SKNSH_activity	[1,2)	PLS	369510	369248	87342.969	87575.772225	369236	163698.0089771083	1958924.7454701571	51344	124564	138396
SKNSH_activity	[1,2)	dELS	8085320	8081880	2808334.375	4387441.307683	8066196	-499642.6478332249	21141045.782721754	405832	852980	1612384
SKNSH_activity	[1,2)	non-cCRE	14197365	14162662	5168197.537	8719897.246364992	13961098	-2851358.5649934225	18807840.03665921	180236	777490	307573
SKNSH_activity	[1,2)	pELS	1710635	1709044	445402.821	522775.339953	1707870	272401.7572175818	5702605.133071289	141533	507224	484834
SKNSH_activity	[2,3)	Other cCREs	533524	531943	202287.419	338437.423961	524462	-128015.23574617285	713343.8413669482	5512	27369	39292
SKNSH_activity	[2,3)	PLS	288032	287785	58718.566	43127.503784	287874	173365.6129901187	1791714.5925143422	50209	108638	139919
SKNSH_activity	[2,3)	dELS	1712840	1710830	607716.228	941401.911566	1705995	-111450.53980346087	4568486.0524075255	87651	212082	451074
SKNSH_activity	[2,3)	non-cCRE	2238868	2222161	850366.494	1441740.868742	2167934	-438227.8666012977	2871372.8649011287	28157	153404	91626
SKNSH_activity	[2,3)	pELS	492318	490945	118736.965	121330.506449	491210	192191.24906735666	2166023.052740335	60407	163574	196825
SKNSH_activity	[3,4)	Other cCREs	200125	199637	69268.615	111882.077077	196774	-43685.965833024224	225787.55817200016	1361	10786	14233
SKNSH_activity	[3,4)	PLS	248215	248016	47808.772	29700.4433	248028	163424.40097462485	1745710.167191587	48132	99077	134149
SKNSH_activity	[3,4)	dELS	484811	484150	162384.083	243415.510383	481391	-32469.075845539806	1225255.356161544	22828	63658	139977
SKNSH_activity	[3,4)	non-cCRE	608262	603709	204955.449	331323.067233	584815	-88614.38360480047	729487.8299867025	8108	43138	29074
SKNSH_activity	[3,4)	pELS	164714	164318	36908.69	32963.87401	164321	92545.579004446	864768.9135119712	25222	57745	77641
SKNSH_activity	[4,5)	Other cCREs	58520	58451	20079.28	32105.09867	57586	-12070.335983050754	60587.95039804214	312	2500	4018
SKNSH_activity	[4,5)	PLS	177987	177916	31992.533	17262.782517	177850	109448.08596137154	1310613.9246063943	34300	71769	98466
SKNSH_activity	[4,5)	dELS	141363	141235	46217.465000000004	68166.297437	140538	-12245.181969086047	366653.97067130334	6204	19824	40822
SKNSH_activity	[4,5)	non-cCRE	145484	144969	51350.8	84072.829432	142026	-21338.520927564132	218705.16686428062	2707	11622	8833
SKNSH_activity	[4,5)	pELS	59621	59569	12531.845	10136.803993	59582	43243.700004785445	387912.43113012926	10888	21318	29625
SKNSH_activity	[5,Inf)	Other cCREs	19115	19106	7759.5470000000005	12780.101683	18078	-4689.906993873767	23456.533790932277	118	1109	2228
SKNSH_activity	[5,Inf)	PLS	182595	182587	30196.042	13482.081164	182282	107236.40401751334	1389830.9347420302	35149	80774	98421
SKNSH_activity	[5,Inf)	dELS	54643	54486	18118.974	27491.76208	54246	-8846.571983525646	129510.58237790415	1974	7407	17087
SKNSH_activity	[5,Inf)	non-cCRE	42437	42285	17596.729	30163.100153	41218	-6573.577980302856	90055.70523984495	1262	4085	3757
SKNSH_activity	[5,Inf)	pELS	29204	29200	5962.063	4544.230751	29204	21491.683013184585	205249.00980210025	5549	12121	14936
mean_activity	[-Inf,1)	Other cCREs	26360979	26342876	7196586.643999999	10585575.398028005	26253489	-1143825.4341074757	42746276.6188734	793562	770709	1043433
mean_activity	[-Inf,1)	PLS	576116	569591	150866.684	192965.192438	575774	131926.3478312614	2302630.825172752	53954	141946	106378
mean_activity	[-Inf,1)	dELS	63219659	63205836	18085676.74999998	26568832.455580052	63139292	1941349.7406386142	146969551.3653116	3178152	4258426	6303997
mean_activity	[-Inf,1)	non-cCRE	387338224	387144349	98458568.24200092	139132355.7794989	382754146	-43856142.55453811	451567538.5440168	5418757	8466423	1392298
mean_activity	[-Inf,1)	pELS	8428067	8420992	2187331.009	2828827.003317	8421022	191185.29688325358	19395251.354460254	408149	1674386	967829
mean_activity	[1,2)	Other cCREs	2432375	2429357	874341.792	1434319.862526	2405614	-494311.9211506344	3701668.8215328893	39438	117114	169648
mean_activity	[1,2)	PLS	359429	359092	85503.656	87749.57059	359087	152351.57192312204	1866348.3879149137	48415	120491	131519
mean_activity	[1,2)	dELS	8221797	8218580	2803454.071	4325164.590391	8205954	-605746.5468070201	21224995.598484527	396090	880148	1697043
mean_activity	[1,2)	non-cCRE	12924212	12905158	4753375.782	8011998.099013994	12772840	-2713917.0241503897	17197568.329971127	156653	739113	298906
mean_activity	[1,2)	pELS	1694940	1693167	439121.809	514009.02512299997	1692151	248525.55216378995	5556950.2823963445	136247	498702	484649
mean_activity	[2,3)	Other cCREs	522105	521146	197193.084	326457.330094	515529	-129225.26673251778	712893.3598652184	5294	26415	41398
mean_activity	[2,3)	PLS	277995	277868	56190.334	41197.089228	277825	154471.79396395426	1700977.4627618867	46702	104791	132761
mean_activity	[2,3)	dELS	1662400	1660879	583138.882	890798.153406	1657786	-134631.42275192388	4431423.632144853	82158	213721	455595
mean_activity	[2,3)	non-cCRE	2137094	2132609	854274.817	1455939.147799	2108325	-443651.95546761906	2708013.626935534	24857	152161	86639
mean_activity	[2,3)	pELS	481065	479732	115316.228	116291.552688	479921	185944.3170529615	2135398.5212531667	59072	160785	193215
mean_activity	[3,4)	Other cCREs	201347	200890	68443.948	108434.192474	198389	-44804.20482389362	221641.30512689915	1262	11303	16124
mean_activity	[3,4)	PLS	257711	257642	48965.183	29992.927441	257505	161108.92099203216	1821615.2384211724	48999	102740	136496
mean_activity	[3,4)	dELS	461202	460677	152410.685	223275.054505	458831	-40609.72884682914	1181287.3288907567	20862	62463	138391
mean_activity	[3,4)	non-cCRE	548220	546962	182108.786	285637.043028	535399	-80871.30759287893	667846.8588586765	7608	42228	28931
mean_activity	[3,4)	pELS	169020	168789	37211.181	31942.793637	168655	98790.9890123806	917150.9904615195	26812	59369	80775
mean_activity	[4,5)	Other cCREs	54602	54560	17894.186	27674.462364	53290	-10989.847975796323	52331.747093904894	240	3008	4367
mean_activity	[4,5)	PLS	224564	224376	40411.748	21166.729796	224410	145857.53196870218	1652770.6770371152	44340	91231	126087
mean_activity	[4,5)	dELS	133090	132846	40306.576	55924.508192	131987	-12697.917945516774	315394.146341204	5609	20547	43368
mean_activity	[4,5)	non-cCRE	125968	125709	41120.195999999996	63419.916714	120758	-14054.299942930002	194388.79576170834	2937	11929	10064
mean_activity	[4,5)	pELS	68617	68479	13924.252	10156.04493	68523	47457.804013361456	427020.0510917771	12105	25710	36439
mean_activity	[5,Inf)	Other cCREs	10362	10352	4249.06	6850.053558	9490	-2443.084993565922	10972.687812873372	40	668	1432
mean_activity	[5,Inf)	PLS	156449	156430	26389.905	11676.446463	156177	104167.45603070114	1188599.1861615775	31362	69274	87449
mean_activity	[5,Inf)	dELS	29270	29174	9174.603	13142.984015	28896	-4638.709002010641	75076.366258033	1190	4630	10659
mean_activity	[5,Inf)	non-cCRE	19916	19824	7543.343	12088.837357	18778	326.1390190513372	57096.220984761465	1124	2799	2904
mean_activity	[5,Inf)	pELS	23563	23544	4636.256	3087.644456	23562	18599.919013185085	169495.0353868711	4694	10054	12702
