emvar_class	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint
HepG2	Other cCREs	62478	62458	20934.349000000002	37173.128217	62221	-5082.08099625353	101388.99310431148	1662	2142	5894
HepG2	PLS	3879	3858	1016.239	1385.074093	3878	4007.412995612483	29687.485241816536	876	1239	1348
HepG2	dELS	208987	208972	70825.41	122192.14051	208693	30035.123979195596	618251.9322647161	15154	17725	47396
HepG2	non-cCRE	368800	368674	126601.681	226974.874835	365364	-51127.07392203877	522091.71578748553	6317	12585	4755
HepG2	pELS	26800	26785	8152.189	12645.657985	26764	7568.907997188748	102110.87205005831	2635	6026	6507
HepG2+SKNSH	Other cCREs	82027	81975	43420.976	87241.475288	81532	-20233.323983895236	146388.6001906784	1633	3052	6951
HepG2+SKNSH	PLS	7566	7551	2446.43	3366.462316	7565	7457.881000777358	63894.94443983802	1699	2507	3164
HepG2+SKNSH	dELS	262323	262296	134623.721	258230.659943	262003	-24630.492047275646	762183.6200272435	14176	23195	58377
HepG2+SKNSH	non-cCRE	581644	581399	310572.01900000003	636734.694879	577432	-168868.42977913396	902347.6123787609	6478	21354	7127
HepG2+SKNSH	pELS	37964	37941	15646.099	25833.998459	37923	4296.751003862827	145460.88561442535	3218	9114	9749
K562	Other cCREs	266843	266629	87880.874	140907.204656	265511	-32541.193939722845	453339.59906909947	6812	10796	28091
K562	PLS	48738	48683	10806.44	9173.231408	48708	60335.8619801663	422673.6787230352	12840	17947	27312
K562	dELS	807258	806934	252829.933	385282.22861499997	805948	29611.485931000083	2206041.6544055925	47543	76007	194763
K562	non-cCRE	1572851	1571526	611209.877	1029303.572035	1560470	-356487.7982837783	2165472.3096557255	19756	64575	26978
K562	pELS	145552	145328	38070.739	45916.057595	145371	48726.66000069143	571232.5729599317	15414	39359	48821
K562+HepG2	Other cCREs	43764	43748	17761.965	32279.962255	43520	-972.1239990165933	111555.77574677092	2031	1918	9311
K562+HepG2	PLS	6289	6283	1685.015	1896.165021	6284	9119.19999071362	62368.0200021409	1815	2261	3823
K562+HepG2	dELS	126951	126928	52111.543	92565.145587	126731	13952.306958407753	473113.5548606868	10029	13453	44403
K562+HepG2	non-cCRE	198728	198600	77518.09	146871.107958	196811	-41247.400911213714	284610.9413412048	2709	8834	4321
K562+HepG2	pELS	22346	22327	7157.224	10265.454944	22307	10235.188999622247	113974.86956965874	2927	6250	9316
K562+HepG2+SKNSH	Other cCREs	230530	230403	120563.512	236332.535	228728	-55057.53593164822	427188.52509356395	4741	9622	26875
K562+HepG2+SKNSH	PLS	56950	56918	14851.573	16012.436495	56914	113947.6889776405	786010.4452601654	21110	21855	33573
K562+HepG2+SKNSH	dELS	701477	701330	349458.642	655274.277994	700179	-40037.06895050476	2184293.946263666	41483	69680	210584
K562+HepG2+SKNSH	non-cCRE	1267712	1267097	671691.423	1341655.098209	1256012	-375153.66937867	1910602.35594033	13038	56531	24800
K562+HepG2+SKNSH	pELS	128764	128629	45866.791	69519.484085	128562	57705.97401719261	658418.538009217	16728	36259	48455
K562+SKNSH	Other cCREs	46025	45989	19714.323	34684.107375	45684	-9853.54998989194	72654.25051733528	839	1878	4586
K562+SKNSH	PLS	15250	15245	3401.4429999999998	2938.978075	15234	23629.00699350005	167311.69929758454	4749	6040	8642
K562+SKNSH	dELS	141447	141394	59054.017	99582.141149	141171	-6410.772011768186	382227.1072514564	7560	14028	39930
K562+SKNSH	non-cCRE	262379	262151	126688.174	227222.994652	260236	-79727.98283477384	387458.3965313835	2736	11830	5414
K562+SKNSH	pELS	26366	26336	8276.694	11000.208198	26324	11440.969994516463	124416.10404725606	3312	7479	9638
SKNSH	Other cCREs	148381	148213	64855.66	117704.986294	147303	-24831.61296218193	239956.63008683347	3222	5454	11272
SKNSH	PLS	26343	26325	5860.281	5578.8662190000005	26323	28723.0339886154	239057.76709949158	6505	9888	11448
SKNSH	dELS	451279	451155	191159.423	330362.834711	450275	2595.488974007671	1248365.795558729	26468	39900	93634
SKNSH	non-cCRE	993439	990656	472276.732	885882.134196	976909	-230398.46464469185	1409261.9029226894	12888	36288	12314
SKNSH	pELS	68098	68036	23239.295000000002	33549.174829	68019	18730.415002208207	271937.9804683164	6849	17042	16953
none	Other cCREs	28701722	28679766	7983577.054999998	11802987.89995902	28561302	-1677028.3379812732	45893312.166496605	818896	894355	1183422
none	PLS	1687249	1680136	368260.089	344396.742329	1685872	602663.5367827477	8761937.737405347	224178	568736	631380
none	dELS	71027696	71008983	20564098.878000014	30133648.317580022	70927746	1137909.342452251	166323250.82679895	3521648	5185947	7959966
none	non-cCRE	397848081	397634508	101900433.17000107	144466794.34664643	393117012	-45805300.18291857	464810607.14197135	5548014	9202656	1734033
none	pELS	10409382	10399321	2651131.704	3295584.028056	10398564	631799.0111236498	26613714.412331074	595996	2307477	1626170
