skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint
HepG2_skew	(-Inf,-1.5)	Other cCREs	11556	11556	11235.878	25067.856648	11497	-5007.820999178688	24799.8383544222	188	422	1762
HepG2_skew	(-Inf,-1.5)	PLS	2402	2402	989.763	1481.7314549999999	2398	6917.068006702349	50427.097292126266	1125	853	1548
HepG2_skew	(-Inf,-1.5)	dELS	35837	35835	30718.886	67024.773852	35806	-823.5440064760638	129973.26827850594	2608	3527	15166
HepG2_skew	(-Inf,-1.5)	non-cCRE	60719	60695	69196.262	159064.95171	60400	-32316.409951079768	122939.81600262182	474	2536	1323
HepG2_skew	(-Inf,-1.5)	pELS	5022	5022	3426.006	6783.001956	5021	3449.074000386057	36340.50353366959	840	1252	2475
HepG2_skew	[-0.05,0.05)	Other cCREs	18989768	18975496	4709918.818999999	6387558.992514992	18904389	-436591.5625377595	29816900.65477528	576918	555010	688579
HepG2_skew	[-0.05,0.05)	PLS	805114	800453	168850.818	152984.763948	804429	179293.0919034885	3734150.2189626643	88935	260039	268115
HepG2_skew	[-0.05,0.05)	dELS	43808023	43795997	11246129.465999989	15172829.502446046	43748398	2339213.644780633	99116286.42195265	2206260	2970093	4147457
HepG2_skew	[-0.05,0.05)	non-cCRE	298342156	298179695	69826707.45299962	91479894.6860742	294785594	-29423331.298912425	335256834.6967356	4180676	6322109	1003583
HepG2_skew	[-0.05,0.05)	pELS	6148105	6141876	1428679.6469999999	1655394.428487	6142289	334910.1730318239	14469817.528018493	319200	1286956	787169
HepG2_skew	[-0.2,-0.05)	Other cCREs	4402635	4399000	1996792.003	3768242.369457	4376834	-578883.2551653585	7382679.022120494	111648	156640	236415
HepG2_skew	[-0.2,-0.05)	PLS	431469	430319	114046.782	123101.236	431114	229942.11900707765	2449135.710751441	68057	151323	186022
HepG2_skew	[-0.2,-0.05)	dELS	12593340	12589841	5718563.852	10355834.665274002	12573897	-316939.3876030037	31663236.77491384	636687	1041919	1881577
HepG2_skew	[-0.2,-0.05)	non-cCRE	44212274	44186224	20108115.43099999	38852006.15403698	43677507	-7731343.610536332	59986480.17665458	651121	1322863	368472
HepG2_skew	[-0.2,-0.05)	pELS	1989244	1987274	736103.468	1126155.892348	1986853	188073.7760062287	5754682.1046505375	134547	479353	416952
HepG2_skew	[-0.5,-0.2)	Other cCREs	816552	816006	440674.88800000004	878018.81569	811342	-157750.53380496003	1466481.7590692933	19356	32296	76067
HepG2_skew	[-0.5,-0.2)	PLS	145494	145336	38138.505	40995.736153	145382	175031.83092714587	1264248.6377723897	37558	53674	77034
HepG2_skew	[-0.5,-0.2)	dELS	2549562	2548981	1339908.153	2553660.241157	2545224	-104108.42022367191	7268760.884721668	144080	240324	599522
HepG2_skew	[-0.5,-0.2)	non-cCRE	5198450	5195580	3095622.038	6356530.14576	5143990	-1386773.8141669442	8074681.761407025	72428	198562	85790
HepG2_skew	[-0.5,-0.2)	pELS	432363	431976	173827.49	275999.236208	431749	115213.27901510918	1698127.7403200911	43562	114157	136872
HepG2_skew	[-1.0,-0.5)	Other cCREs	198416	198341	123402.297	254846.306353	197208	-35582.48696146567	418986.66208663315	5812	8107	30790
HepG2_skew	[-1.0,-0.5)	PLS	42560	42538	12339.965	14568.731173	42539	89107.824981277	589013.5641234501	16384	16224	26207
HepG2_skew	[-1.0,-0.5)	dELS	607068	606978	365289.353	724778.3200310001	605985	24884.189884230847	2156107.4523736625	44767	60079	206261
HepG2_skew	[-1.0,-0.5)	non-cCRE	911804	911429	672152.143	1461963.019157	903155	-295266.67158789205	1552838.0391167442	11886	39111	21118
HepG2_skew	[-1.0,-0.5)	pELS	98380	98305	45115.687	75949.156853	98220	51529.66399284254	557783.6095665351	14201	26646	40761
HepG2_skew	[-1.5,-1.0)	Other cCREs	36763	36759	26085.195	56710.232265	36489	-8964.862981725835	69128.18781115487	779	1519	5706
