skew_type	skew_bin	ccre_class	af_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint
HepG2_skew	(-Inf,-1.5)	Other cCREs	COMMON	308	308	408.58	939.875226	307	-207.99299965146926	668.0913893147012	4	18	42
HepG2_skew	(-Inf,-1.5)	Other cCREs	LOW_FREQ	432	432	607.2620000000001	1448.664176	427	-301.3829996061978	1136.92423031153	7	14	66
HepG2_skew	(-Inf,-1.5)	Other cCREs	RARE	1174	1174	1904.4750000000001	4628.602153	1166	-780.3760003633798	2600.4076414857113	13	29	154
HepG2_skew	(-Inf,-1.5)	Other cCREs	SINGLETON	4531	4531	1910.667	3392.131811	4512	-823.48200145748	7657.430999447568	90	160	768
HepG2_skew	(-Inf,-1.5)	Other cCREs	ULTRARARE	5111	5111	6404.894	14658.583282	5085	-2894.586998100162	12736.984093862708	74	201	732
HepG2_skew	(-Inf,-1.5)	PLS	COMMON	27	27	17.5	29.95657	27	-4.35600005136803	40.11592525457867	2	14	15
HepG2_skew	(-Inf,-1.5)	PLS	LOW_FREQ	54	54	49.336	106.815186	54	74.19900058954958	564.7353138128107	14	19	28
HepG2_skew	(-Inf,-1.5)	PLS	RARE	134	134	103.836	191.27749	134	208.60700024082334	1749.0139512800413	44	39	74
HepG2_skew	(-Inf,-1.5)	PLS	SINGLETON	1305	1305	346.999	348.071289	1302	4258.616002467344	30765.483606449452	664	470	877
HepG2_skew	(-Inf,-1.5)	PLS	ULTRARARE	882	882	472.092	805.61092	881	2380.0020034559993	17307.74849532936	401	311	554
HepG2_skew	(-Inf,-1.5)	dELS	COMMON	849	849	1004.703	2278.408757	849	-405.1580004859715	2431.5882824871587	31	97	294
HepG2_skew	(-Inf,-1.5)	dELS	LOW_FREQ	1202	1202	1616.465	3763.673081	1200	-496.6910011656584	3750.825054543025	50	118	445
HepG2_skew	(-Inf,-1.5)	dELS	RARE	3183	3183	4626.092	10931.133762	3178	-1125.0469985540258	11888.557019656602	174	301	1216
HepG2_skew	(-Inf,-1.5)	dELS	SINGLETON	14792	14791	5366.0199999999995	9409.67464	14776	4344.557996762916	54659.50659470954	1373	1480	6841
HepG2_skew	(-Inf,-1.5)	dELS	ULTRARARE	15811	15810	18105.606	40641.883612	15803	-3141.206003033323	57242.79132710966	980	1531	6370
HepG2_skew	(-Inf,-1.5)	non-cCRE	COMMON	1890	1889	2777.552	6460.309712	1880	-1481.3839987706167	4355.845741646211	5	97	31
HepG2_skew	(-Inf,-1.5)	non-cCRE	LOW_FREQ	2380	2379	4004.472	9828.256848	2371	-1868.374997041188	6138.89128972234	12	82	35
HepG2_skew	(-Inf,-1.5)	non-cCRE	RARE	6851	6849	12173.727	29810.021919	6823	-5784.332994185388	18444.64139964551	29	246	123
HepG2_skew	(-Inf,-1.5)	non-cCRE	SINGLETON	21338	21330	9897.79	18379.743776	21198	-4911.402987363979	31697.390030482802	259	937	613
HepG2_skew	(-Inf,-1.5)	non-cCRE	ULTRARARE	28260	28248	40342.721	94586.619455	28128	-18270.914973718573	62303.047541124964	169	1174	521
HepG2_skew	(-Inf,-1.5)	pELS	COMMON	100	100	94.845	191.785667	100	-61.558000296354265	238.8176215811977	0	22	37
HepG2_skew	(-Inf,-1.5)	pELS	LOW_FREQ	112	112	126.995	291.068751	112	40.41899946145713	608.5275737785522	16	24	48
HepG2_skew	(-Inf,-1.5)	pELS	RARE	392	392	435.636	958.501814	392	78.5479999380186	2112.561562721744	44	100	168
HepG2_skew	(-Inf,-1.5)	pELS	SINGLETON	2279	2279	775.355	1160.844687	2278	2334.9440004378553	19414.222196918166	466	597	1190
HepG2_skew	(-Inf,-1.5)	pELS	ULTRARARE	2139	2139	1993.175	4180.801037	2139	1056.7210008450788	13966.37457866991	314	509	1032
HepG2_skew	[-0.05,0.05)	Other cCREs	COMMON	424293	423823	156101.162	257643.595838	421936	-123921.21297290304	753879.0265766333	8732	16613	15098
HepG2_skew	[-0.05,0.05)	Other cCREs	LOW_FREQ	476047	475355	209395.734	382813.50309	472718	-75649.74796122916	806440.9686615639	11902	14601	17320
HepG2_skew	[-0.05,0.05)	Other cCREs	RARE	1187496	1185629	586358.022	1111133.5235620001	1179099	-186615.02990444077	2069572.7888785675	30906	37703	43535
HepG2_skew	[-0.05,0.05)	Other cCREs	SINGLETON	10034661	10029062	1423461.64	929860.9755280002	9997708	451180.93564969505	14933508.449329857	326827	281679	361474
HepG2_skew	[-0.05,0.05)	Other cCREs	ULTRARARE	6867271	6861627	2334602.261	3706107.394497	6832928	-501586.50734888145	11253499.421328664	198551	204414	251152
HepG2_skew	[-0.05,0.05)	PLS	COMMON	14780	14755	3832.852	4424.915096	14755	-3592.0810002624053	61308.88353864876	944	5261	4529
HepG2_skew	[-0.05,0.05)	PLS	LOW_FREQ	18283	18200	5402.48	6866.17657	18257	-497.5760047849021	81984.88775486143	1541	5821	6011
