skew_type	skew_bin	ccre_class	af_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint
HepG2_skew	(-Inf,-1.5)	Other cCREs	COMMON	CpG	181	181	393.73	937.295342	181	-181.29699969477957	510.14984075303295	2	12	20
HepG2_skew	(-Inf,-1.5)	Other cCREs	COMMON	non-CpG-ti	64	64	9.603	1.814425	63	-1.7619997216388514	39.84284146439491	0	3	16
HepG2_skew	(-Inf,-1.5)	Other cCREs	COMMON	non-CpG-tv	63	63	5.247	0.765459	63	-24.934000235050927	118.09870709727338	2	3	6
HepG2_skew	(-Inf,-1.5)	Other cCREs	LOW_FREQ	CpG	253	253	588.635	1445.8920349999999	251	-295.25399912567815	959.5581969356574	0	13	32
HepG2_skew	(-Inf,-1.5)	Other cCREs	LOW_FREQ	non-CpG-ti	86	86	11.682	1.902568	86	22.598999917972847	68.58243554326762	4	0	12
HepG2_skew	(-Inf,-1.5)	Other cCREs	LOW_FREQ	non-CpG-tv	93	93	6.945	0.869573	90	-28.72800039849244	108.78359783260527	3	1	22
HepG2_skew	(-Inf,-1.5)	Other cCREs	RARE	CpG	795	795	1862.953	4622.0319150000005	792	-759.087000994943	2161.173012410618	3	19	97
HepG2_skew	(-Inf,-1.5)	Other cCREs	RARE	non-CpG-ti	193	193	28.833	5.317361	192	18.450000277720388	144.74675976120264	3	7	29
HepG2_skew	(-Inf,-1.5)	Other cCREs	RARE	non-CpG-tv	186	186	12.689	1.252877	182	-39.73899964615697	294.4878693138904	7	3	28
HepG2_skew	(-Inf,-1.5)	Other cCREs	SINGLETON	CpG	758	758	1524.2259999999999	3334.4432620000002	756	-549.4840001668782	1891.173348156879	6	31	101
HepG2_skew	(-Inf,-1.5)	Other cCREs	SINGLETON	non-CpG-ti	1760	1760	252.885	43.075217	1755	260.78999875811866	1593.6704494233534	42	73	356
HepG2_skew	(-Inf,-1.5)	Other cCREs	SINGLETON	non-CpG-tv	2013	2013	133.556	14.613332	2001	-534.7880000487203	4172.587201867335	42	56	311
HepG2_skew	(-Inf,-1.5)	Other cCREs	ULTRARARE	CpG	2749	2749	6137.388	14613.663268	2745	-2708.6139992141393	8622.719976469269	12	99	325
HepG2_skew	(-Inf,-1.5)	Other cCREs	ULTRARARE	non-CpG-ti	1155	1155	177.066	33.184212	1143	186.02400098450025	1509.4014401871138	37	46	217
HepG2_skew	(-Inf,-1.5)	Other cCREs	ULTRARARE	non-CpG-tv	1207	1207	90.44	11.735802	1197	-371.99699987052026	2604.8626772063244	25	56	190
HepG2_skew	(-Inf,-1.5)	PLS	COMMON	CpG	10	10	15.396	29.55482	10	-5.014000080991541	9.319040219950523	0	4	4
