skew_type	skew_bin	ccre_class	cell_line	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint
HepG2_skew	(-Inf,-1.5)	Inactive cCRE	H1	49351	49349	44132.979	96916.903161	49266	-6006.571003559279	163843.6483151144	2898	4643	17158
HepG2_skew	(-Inf,-1.5)	Inactive cCRE	HCT116	47392	47391	43415.42	95410.545554	47301	-7620.998000485009	153832.50485815023	2553	4334	15668
HepG2_skew	(-Inf,-1.5)	Inactive cCRE	HepG2	46665	46664	43286.092	95374.038482	46577	-7745.196003582099	152948.66438562964	2490	4198	15310
HepG2_skew	(-Inf,-1.5)	Inactive cCRE	K562	45979	45977	41598.719	91942.834965	45895	-6424.996009830271	150891.2267162845	2612	3982	15226
HepG2_skew	(-Inf,-1.5)	Inactive cCRE	MCF-7	49362	49360	43830.46	96038.907126	49280	-5375.514005263337	165053.48834619595	2918	4574	17344
HepG2_skew	(-Inf,-1.5)	Inactive cCRE	SK-N-SH	49639	49637	43886.635	96356.768959	49550	-5908.33600357885	161112.88459422986	2871	4505	17676
HepG2_skew	(-Inf,-1.5)	Other cCREs	H1	2805	2805	1502.0910000000001	2664.999883	2798	2304.553995432683	20221.447021047148	529	483	1865
HepG2_skew	(-Inf,-1.5)	Other cCREs	HCT116	2275	2274	1039.578	1979.889836	2273	1457.2519984300004	11517.713658486315	325	263	1576
HepG2_skew	(-Inf,-1.5)	Other cCREs	HepG2	3274	3273	1474.054	2683.117024	3270	2080.106996647199	17983.611831668906	486	445	2195
HepG2_skew	(-Inf,-1.5)	Other cCREs	K562	3584	3584	2374.578	4508.532396	3574	1362.774000875885	18191.421102522167	448	550	2146
HepG2_skew	(-Inf,-1.5)	Other cCREs	MCF-7	1877	1877	1330.384	2656.213424	1867	586.8969998925456	10573.930082129138	252	256	1066
HepG2_skew	(-Inf,-1.5)	Other cCREs	SK-N-SH	2448	2448	1727.958	3252.037018	2443	1331.4570019737594	16332.270856570005	409	532	1303
HepG2_skew	(-Inf,-1.5)	PLS	H1	1276	1276	238.973	102.319855	1275	5527.221005541738	38474.59325922969	852	560	957
HepG2_skew	(-Inf,-1.5)	PLS	HCT116	1251	1251	279.526	195.592476	1251	5395.306003473351	37857.7759258884	836	563	922
HepG2_skew	(-Inf,-1.5)	PLS	HepG2	1268	1268	273.982	187.919318	1267	5325.213008336724	36961.773275302374	822	569	945
HepG2_skew	(-Inf,-1.5)	PLS	K562	1329	1329	314.389	234.131225	1328	5261.099003288081	36754.20230557704	820	569	978
HepG2_skew	(-Inf,-1.5)	PLS	MCF-7	1226	1226	255.897	163.426635	1225	5376.201007739758	37488.503448314426	837	558	918
