skew_type	skew_bin	ccre_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-CGI	34	34	64.82	143.14785	34	12.176000420935432	255.39301576226165	4	2	5
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	4702	4702	10442.112	24810.177972	4691	-4505.911999617356	13889.381358963197	19	172	570
HepG2_skew	(-Inf,-1.5)	Other cCREs	non-CpG-ti	3258	3258	480.069	85.293783	3239	486.1010002166733	3356.2439263793303	86	129	630
HepG2_skew	(-Inf,-1.5)	Other cCREs	non-CpG-tv	3562	3562	248.877	29.237043	3533	-1000.1860001989412	7298.820053317425	79	119	557
HepG2_skew	(-Inf,-1.5)	PLS	CpG-CGI	339	339	182.785	180.296399	339	1295.887000453193	9299.26351561263	198	142	224
HepG2_skew	(-Inf,-1.5)	PLS	CpG-nonCGI	406	406	639.273	1276.7269549999999	406	263.5959999728948	4005.3327887610026	77	109	202
HepG2_skew	(-Inf,-1.5)	PLS	non-CpG-ti	679	679	96.819	16.573147	676	2271.9640045268466	14983.504629438992	355	248	451
HepG2_skew	(-Inf,-1.5)	PLS	non-CpG-tv	978	978	70.886	8.134954	977	3085.6210017494177	22138.99635831363	495	354	671
HepG2_skew	(-Inf,-1.5)	dELS	CpG-CGI	178	178	220.36599999999999	421.297678	178	45.38199931650884	1197.934367630578	25	50	84
HepG2_skew	(-Inf,-1.5)	dELS	CpG-nonCGI	13048	13048	28257.377	66271.596965	13038	-10271.808999389643	45745.17935824718	320	1294	4331
HepG2_skew	(-Inf,-1.5)	dELS	non-CpG-ti	11518	11518	1579.999	265.198997	11508	7349.822994963615	44251.935861547565	1346	1082	5711
HepG2_skew	(-Inf,-1.5)	dELS	non-CpG-tv	11091	11091	661.144	66.680212	11080	2052.6669986118804	38777.753386048375	917	1101	5039
HepG2_skew	(-Inf,-1.5)	dELS	unknown	2	0	0	0	2	0.39300002157688096	0.46530503232002307	0	0	1
HepG2_skew	(-Inf,-1.5)	non-cCRE	CpG-CGI	109	109	142.44299999999998	281.503895	107	74.3310002749786	1079.1886064601526	19	31	35
HepG2_skew	(-Inf,-1.5)	non-cCRE	CpG-nonCGI	28786	28786	65547.144	158223.918216	28734	-28354.141968605712	82248.55256155733	75	1123	434
HepG2_skew	(-Inf,-1.5)	non-cCRE	non-CpG-ti	16106	16106	2454.65	443.864196	15954	1530.2490145500046	11500.139186712955	205	675	426
HepG2_skew	(-Inf,-1.5)	non-cCRE	non-CpG-tv	15694	15694	1052.025	115.665403	15581	-5546.755997052998	28037.16828568309	175	704	428
HepG2_skew	(-Inf,-1.5)	non-cCRE	unknown	24	0	0	0	24	-20.092000246047967	74.76736220832113	0	3	0
HepG2_skew	(-Inf,-1.5)	pELS	CpG-CGI	203	203	114.112	111.886408	203	460.4229982371907	3520.941314880735	78	78	126
HepG2_skew	(-Inf,-1.5)	pELS	CpG-nonCGI	1583	1583	2992.258	6623.884444	1583	-713.5380006583873	6290.34529390671	85	348	612
HepG2_skew	(-Inf,-1.5)	pELS	non-CpG-ti	1582	1582	221.329	37.826557	1582	2089.238999491326	13362.51528116549	351	392	868
HepG2_skew	(-Inf,-1.5)	pELS	non-CpG-tv	1654	1654	98.307	9.404547	1653	1612.9500033159281	13166.701643716648	326	434	869
HepG2_skew	[-0.05,0.05)	Other cCREs	CpG-CGI	18634	18634	31269.095	62485.249689	18527	-12359.758994128562	61166.48440132568	462	2700	633
HepG2_skew	[-0.05,0.05)	Other cCREs	CpG-nonCGI	1268473	1268473	2660445.702	5942083.457548	1258835	-977744.7655949142	3418078.667062927	13879	52712	52443
HepG2_skew	[-0.05,0.05)	Other cCREs	non-CpG-ti	10696534	10696534	1596038.9249999998	323196.491277	10661305	313113.8054985445	15708232.834402312	333917	298257	379757
HepG2_skew	[-0.05,0.05)	Other cCREs	non-CpG-tv	6991855	6991855	422165.097	59793.794001	6956718	242649.92555507252	10622375.296778724	228653	200697	255458
HepG2_skew	[-0.05,0.05)	Other cCREs	unknown	14272	0	0	0	9004	-2250.7690023335153	7047.372129984734	7	644	288
HepG2_skew	[-0.05,0.05)	PLS	CpG-CGI	59049	59049	28925.829999999998	24705.394164	59030	-885.950990529964	287089.9465984654	6237	23673	33228
HepG2_skew	[-0.05,0.05)	PLS	CpG-nonCGI	43302	43302	61792.682	114869.895198	43226	-26015.301999123407	194481.71058002856	2140	11901	12129
HepG2_skew	[-0.05,0.05)	PLS	non-CpG-ti	375131	375131	53976.547	9959.200621	374882	133857.96594931747	1698535.5052231231	44141	115665	110116
HepG2_skew	[-0.05,0.05)	PLS	non-CpG-tv	322971	322971	24155.759	3450.273965	322632	72835.12694189524	1542724.6759552783	36219	106582	112303
HepG2_skew	[-0.05,0.05)	PLS	unknown	4661	0	0	0	4659	-498.7479980707849	11318.380605769904	198	2218	339
HepG2_skew	[-0.05,0.05)	dELS	CpG-CGI	65505	65505	83080.845	151967.06317100002	65401	-46271.27101044274	264250.158775907	2458	13866	16023
HepG2_skew	[-0.05,0.05)	dELS	CpG-nonCGI	3373981	3373981	6660053.475000001	14185600.061927002	3368530	-2713744.6098339087	11637151.114751969	66606	285350	427760
HepG2_skew	[-0.05,0.05)	dELS	non-CpG-ti	24623267	24623267	3582360.915999992	711112.064374	24594573	2996638.090270299	52527901.9386195	1283134	1619468	2209880
HepG2_skew	[-0.05,0.05)	dELS	non-CpG-tv	15733244	15733244	920634.2300000006	124150.31297399997	15708997	2105462.8453581273	34676033.81913172	854029	1050429	1492615
HepG2_skew	[-0.05,0.05)	dELS	unknown	12026	0	0	0	10897	-2871.4100034451126	10949.390673531096	33	980	1179
HepG2_skew	[-0.05,0.05)	non-cCRE	CpG-CGI	69714	69714	70906.779	119449.542229	69549	-31327.184002545793	218323.13508172898	2682	20889	15745
HepG2_skew	[-0.05,0.05)	non-cCRE	CpG-nonCGI	17078773	17078773	37002038.032	84743283.37888993	16912385	-13699871.023664957	40989255.03131256	87089	525861	90362
HepG2_skew	[-0.05,0.05)	non-cCRE	non-CpG-ti	169828402	169828402	25920344.789000217	5488061.027434892	168102794	-10239021.320740847	176670998.10087416	2406510	3481673	520357
HepG2_skew	[-0.05,0.05)	non-cCRE	non-CpG-tv	111202806	111202806	6833417.852999997	1129100.7375210056	109608125	-5426857.182517866	117281421.67084387	1684084	2288334	374053
HepG2_skew	[-0.05,0.05)	non-cCRE	unknown	162461	0	0	0	92741	-26254.587986198596	96836.75862315665	311	5352	3066
HepG2_skew	[-0.05,0.05)	pELS	CpG-CGI	89969	89969	47079.026	44354.799526	89919	-12250.058988706787	301598.62614940375	6184	34934	37691
