skew_type	skew_bin	ccre_class	mut_class	af_class	n_active_trained	n_active_untrained	n_active_all	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-CGI	LOW_FREQ	1	0	1	2	2	2.988	4.47305	2	0.267000004649162	0.0356450012433529	0	0	2
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-CGI	LOW_FREQ	1	1	2	1	1	1.514	2.292196	1	-0.377999991178513	0.142883993330956	0	0	0
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-CGI	RARE	0	0	0	2	2	2.96	7.160882	2	0.2300000190734801	8.50541213005829	0	0	0
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-CGI	SINGLETON	0	0	0	7	7	14.006	30.511872	7	2.215000309050086	79.16046185033667	1	0	0
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-CGI	SINGLETON	0	1	1	1	1	2.207	4.870849	1	-0.0590000003576279	0.00348100004220009	0	0	0
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-CGI	SINGLETON	1	0	1	2	2	2.375	2.820857	2	-1.26099997758865	1.96398094767952	0	0	2
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-CGI	ULTRARARE	0	0	0	13	13	27.587	65.671245	13	11.88900006283074	164.4693798046769	3	0	0
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-CGI	ULTRARARE	0	1	1	3	3	6.888	18.053226000000002	3	0.09200000017881389	0.13724000696301425	0	2	0
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-CGI	ULTRARARE	1	0	1	3	3	4.295	7.293673	3	-0.8190000057220459	0.974531027931214	0	0	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	COMMON	0	0	0	173	173	378.226	904.629962	173	-174.45799976773586	497.1959897900254	2	11	18
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	COMMON	0	1	1	2	2	3.322	5.517842	2	-1.9819999337196328	2.022643850856786	0	0	0
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	COMMON	1	0	1	6	6	12.182	27.147538	6	-4.856999993324282	10.931207112150675	0	1	2
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	LOW_FREQ	0	0	0	233	233	545.994	1349.901364	231	-280.0159991527907	922.0301662985371	0	11	25
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	LOW_FREQ	0	1	1	4	4	7.939	17.530195	4	-2.51999992132187	2.793853812309271	0	0	0
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	LOW_FREQ	1	0	1	11	11	26	62.792812	11	-11.33200008887798	33.57521486284369	0	1	5
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	LOW_FREQ	2	0	2	2	2	4.2	8.902418	2	-1.274999976158142	0.980432967392922	0	1	0
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	RARE	0	0	0	738	738	1731.604	4293.079814	736	-716.5960011640566	2005.5979282147791	3	17	77
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	RARE	0	1	1	17	17	42.81	115.599408	16	-11.757000040262932	17.332755346911867	0	0	6
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	RARE	0	2	2	1	1	1.772	3.139984	1	0.912000000476837	0.831744000869751	0	0	0
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	RARE	1	0	1	32	32	74.799	185.574207	32	-30.974999697878967	124.34183970142016	0	1	11
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	RARE	1	1	2	1	1	1.427	2.036329	1	-1.27900004386902	1.63584111221695	0	1	0
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	RARE	1	2	3	1	1	2.659	7.070281	1	0.519999980926514	0.270399980163575	0	0	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	RARE	2	2	4	1	1	1.609	2.588881	1	-0.419999986886978	0.176399988985062	0	0	0
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	RARE	3	2	5	2	2	3.313	5.782129	2	0.277999937534332	2.48069193521309	0	0	2
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	SINGLETON	0	0	0	687	687	1397.058	3076.737168	685	-490.2440007403494	1659.558486825793	5	27	75
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	SINGLETON	0	1	1	15	15	27.532	54.168132	15	-14.368999809026725	42.89646108239848	0	0	5
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	SINGLETON	0	2	2	2	2	4.374	9.66362	2	-0.276999989524484	0.0931449940945209	0	0	0
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	SINGLETON	1	0	1	31	31	58.321	125.247665	31	-29.90699988231065	64.247624676399	0	2	13
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	SINGLETON	1	1	2	5	5	6.962	11.393054	5	-6.055000036954878	13.735791116663458	0	1	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	SINGLETON	1	2	3	1	1	0.942	0.887364	1	-1.74699997901917	3.05200892669296	0	0	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	SINGLETON	1	3	4	2	2	2.8609999999999998	5.298565	2	-0.14600001275539398	0.0922660015251637	0	1	2
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	SINGLETON	2	0	2	1	1	1.609	2.588881	1	-4.88700008392334	23.8827698202667	0	0	0
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	SINGLETON	2	1	3	2	2	3.601	6.598321	2	-0.623000010848046	0.2255650072669987	0	0	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	SINGLETON	3	1	4	1	1	1.833	3.359889	1	-1.11500000953674	1.24322502126694	0	0	0
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	SINGLETON	3	3	6	1	1	0.545	0.297025	1	-1.00899994373322	1.01808088645363	0	0	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	ULTRARARE	0	0	0	2515	2515	5634.2300000000005	13436.073668000001	2511	-2518.077998206604	7873.456394978251	9	82	252
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	ULTRARARE	0	1	1	55	55	131.962	332.996606	55	-54.6030002147891	136.96637329651446	0	4	12
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	ULTRARARE	0	2	2	4	4	9.158000000000001	22.764066	4	-6.920000195503233	25.932171281414092	0	0	0
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	ULTRARARE	0	3	3	2	2	5.655	16.046297	2	-1.67400003969669	2.2357701186645	0	0	0
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	ULTRARARE	1	0	1	119	119	252.087	574.503773	119	-110.19100042060018	329.48054738081044	0	3	44
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	ULTRARARE	1	1	2	19	19	35.136	75.653794	19	-17.02599991858005	59.74241296530222	0	6	8
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	ULTRARARE	1	2	3	1	1	2.813	7.912969	1	-0.712000012397766	0.506944017654419	0	0	0
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	ULTRARARE	1	3	4	1	1	2.659	7.070281	1	0.0260000005364418	6.7600002789497e-4	0	0	0
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	ULTRARARE	2	0	2	2	2	4.268	9.659162	2	-1.7620000541210201	2.2297701700139094	0	1	0
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	ULTRARARE	2	2	4	6	6	9.227	17.399567	6	-3.08800003118813	3.9023081270029847	0	1	3
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	ULTRARARE	2	3	5	3	3	5.64	10.769753999999999	3	-5.608000192791231	15.664035052897411	0	0	2
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	ULTRARARE	3	2	5	2	2	4.51	10.174658	2	-2.1690000295639	2.9045810631218	0	0	2
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG-nonCGI	ULTRARARE	3	3	6	1	1	1.273	1.620529	1	2.02900004386902	4.11684117802048	0	0	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	non-CpG-ti	COMMON	0	0	0	60	60	8.948	1.6971100000000001	59	-4.2139997137710345	36.57431745172106	0	3	15
HepG2_skew	(-Inf,-1.5)	Other cCREs	non-CpG-ti	COMMON	1	0	1	3	3	0.407	0.055811	3	2.1389999985694863	3.1705550167036023	0	0	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	non-CpG-ti	COMMON	2	0	2	1	1	0.248	0.061504	1	0.312999993562698	0.0979689959702492	0	0	0
HepG2_skew	(-Inf,-1.5)	Other cCREs	non-CpG-ti	LOW_FREQ	0	0	0	78	78	10.685	1.762599	78	20.326999932993225	63.55233927865121	4	0	9
HepG2_skew	(-Inf,-1.5)	Other cCREs	non-CpG-ti	LOW_FREQ	0	1	1	3	3	0.535	0.095761	3	2.783000022172923	3.279491109606275	0	0	2
HepG2_skew	(-Inf,-1.5)	Other cCREs	non-CpG-ti	LOW_FREQ	1	0	1	5	5	0.46199999999999997	0.044208	5	-0.511000037193299	1.750605155010226	0	0	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	non-CpG-ti	RARE	0	0	0	179	179	27.058	4.973092	178	11.73700027819721	120.54602870820166	2	3	24
HepG2_skew	(-Inf,-1.5)	Other cCREs	non-CpG-ti	RARE	0	1	1	6	6	0.7010000000000001	0.088595	6	7.636000066995623	16.90234616775895	1	1	2
HepG2_skew	(-Inf,-1.5)	Other cCREs	non-CpG-ti	RARE	1	0	1	4	4	0.67	0.20627600000000001	4	0.4719999134540571	2.9316459175624914	0	1	2
HepG2_skew	(-Inf,-1.5)	Other cCREs	non-CpG-ti	RARE	1	1	2	2	2	0.214	0.029169999999999998	2	0.11700001358985901	0.32924900407886504	0	0	1
HepG2_skew	(-Inf,-1.5)	Other cCREs	non-CpG-ti	RARE	2	0	2	1	1	0.128	0.016384	1	-1.95899999141693	3.83768096637154	0	1	0
