vep_consequence	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved
3 prime UTR variant	8564355	8563410	2474086.692	3588854.197052	8557492	2858440.6484267847	30629283.479933202	848703
5 prime UTR variant	3721968	3721722	882941.986	983717.379672	3719095	1807303.694714778	17660532.923299097	502969
TF binding site variant	1166402	1161579	342644.999	491676.507827	1130677	37877.63292421292	2941754.2123775855	63298
coding sequence variant	179	167	40.864	47.286088	179	74.13499903911708	1005.5135857191759	28
downstream gene variant	19052025	19044115	5386706.83	8109236.740591995	18988079	-2224823.011192572	26367330.30673465	349692
incomplete terminal codon variant	339	309	95.927	145.012515	339	197.72399934194982	2829.4973539837724	67
intergenic variant	125433751	125310906	31191372.36100003	43873003.58147493	121493510	-14151061.240010474	137129663.3294359	1717828
intron variant	323777394	323669522	86939554.07500008	125215672.91577905	322920936	-26790132.27715045	478380531.82152116	7388101
mature miRNA variant	10369	10311	3542.623	5528.293457	10326	9884.80597312481	99089.46060819655	2054
missense variant	4558993	4555785	2026461.904	3501108.716504	4554526	16425226.1914472	118293957.93126383	2672040
non coding transcript exon variant	15545605	15541977	4573629.7	6778035.406113997	15514518	854247.4855378647	43623146.51393202	873073
non coding transcript variant	14	14	1.61	0.256564	14	-2.665000155568131	24.67300174699928	1
regulatory region variant	15384292	15375498	4133382.7679999988	6028963.084173995	15325006	-453082.9182594622	27577922.672846504	539185
splice acceptor variant	77253	77233	7459.717	2156.197381	77143	219493.3805228763	1640977.7537371437	32821
splice donor variant	103904	103882	22264.11	26256.295524	103751	297421.634175155	2417489.2433065195	43636
splice region variant	895195	895028	243793.158	343364.320522	894007	563442.9083991856	5616684.812779572	145412
start lost	24983	24982	4349.555	1458.891749	24954	78326.48996231167	539067.101162194	14162
stop gained	145264	145091	74337.255	133337.595527	145029	500519.906542551	3727320.9583396576	81850
stop lost	12555	12547	966.921	176.073735	12547	21000.460012991218	146527.01134247403	4371
stop retained variant	4044	4043	430.567	53.687875	4042	7215.1049880891815	40665.8312519207	1325
synonymous variant	2103366	2102262	1029985.521	1771045.812835	2101785	-654971.9608678243	29629976.693391707	405778
upstream gene variant	23545703	23519794	6442703.371	9213550.895684993	23467355	-2234363.8391766683	36632549.688101366	543412
