vep_consequence	af_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved
3 prime UTR variant	COMMON	164557	164468	67318.367	111764.492745	164390	-25955.8319694649	451474.3857424977	8241
3 prime UTR variant	LOW_FREQ	204502	204425	101733.008	184463.409706	204265	11526.75995640329	644237.7789390149	14870
3 prime UTR variant	RARE	539682	539566	298612.088	556122.002382	539242	49315.583887607565	1857896.0236805198	43404
3 prime UTR variant	SINGLETON	4475882	4475522	703359.726	572622.013262	4472479	2039114.581357314	16185063.32827734	482843
3 prime UTR variant	ULTRARARE	3179732	3179429	1303063.503	2163882.278957	3177116	784439.5551949249	11490611.963293852	299345
5 prime UTR variant	COMMON	64015	64002	20331.740999999998	28304.601617	63964	-4820.016035695563	217968.62954696242	4453
5 prime UTR variant	LOW_FREQ	82430	82420	30115.622	45268.42849	82324	14253.463998969408	339092.3911030549	8159
5 prime UTR variant	RARE	221676	221654	88492.758	138766.522488	221437	60304.62400984778	1011369.8218710077	25633
5 prime UTR variant	SINGLETON	1971995	1971885	314621.734	201076.443122	1970648	1143157.5087847845	9432539.354785074	281345
5 prime UTR variant	ULTRARARE	1381852	1381761	429380.131	570301.383955	1380722	594408.1139568712	6659562.725992999	183379
TF binding site variant	COMMON	26776	26605	11169.447	18600.268987	25839	-7997.464000482927	63246.56915441676	878
TF binding site variant	LOW_FREQ	30319	30048	15519.475	28589.090445	28834	-4861.903009313275	76191.51585444984	1239
TF binding site variant	RARE	76092	75379	42991.944	81703.360952	72118	-10946.98400056024	207392.8251786742	3419
TF binding site variant	SINGLETON	599813	598180	97482.946	75712.924416	585194	76668.15497005942	1460582.8404809965	35339
TF binding site variant	ULTRARARE	433402	431367	175481.187	287070.863027	418692	-14984.171035489984	1134340.4617090474	22423
coding sequence variant	COMMON	9	9	1.4060000000000001	0.458268	9	0.5739999674260549	5.670235784859898	0
coding sequence variant	LOW_FREQ	3	3	0.307	0.032707	3	-1.874000072479248	10.48803007385254	0
coding sequence variant	RARE	21	17	5.852	8.433594	21	8.464000165462487	121.34863831989534	4
coding sequence variant	SINGLETON	76	76	16.659	18.185327	76	46.29199968837199	483.3280325383393	15
coding sequence variant	ULTRARARE	70	62	16.64	20.176192	70	20.6789992903359	384.6786490022293	9
downstream gene variant	COMMON	458792	458458	190197.853	332585.714813	456964	-189559.6018862322	827907.3064884197	5632
downstream gene variant	LOW_FREQ	501972	501623	255760.792	498399.835782	499811	-132837.37588748577	808562.2871941715	7601
downstream gene variant	RARE	1254253	1253330	722574.055	1455783.905069	1248611	-342455.0826869745	2087038.2129759646	19403
downstream gene variant	SINGLETON	9843640	9840397	1474889.373	1099701.828229	9813978	-359464.57321867516	12291922.618228836	195154
downstream gene variant	ULTRARARE	6993368	6990307	2743284.7569999998	4722765.456698999	6968715	-1200506.3775132028	10351899.881847277	121902
incomplete terminal codon variant	COMMON	5	5	2.552	4.925006	5	-9.094000071287152	48.157118708402614	0
incomplete terminal codon variant	LOW_FREQ	13	11	3.7140000000000004	5.614394	13	4.886999726295469	107.5065316724105	2
incomplete terminal codon variant	RARE	45	28	16.089	31.927801000000002	45	44.45899910852317	359.62375976732267	12
incomplete terminal codon variant	SINGLETON	153	153	27.764	24.666792	153	79.13300056476152	1209.961541360904	30
