vep_consequence	af_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved
3 prime UTR variant	COMMON	CpG	26902	26902	50484.331	106957.853187	26878	-21751.46498959711	94906.35125588549	572
3 prime UTR variant	COMMON	non-CpG-ti	86367	86367	12994.623	2984.051065	86281	-5542.699986753399	230189.57761364494	4751
3 prime UTR variant	COMMON	non-CpG-tv	51199	51199	3839.413	1822.588493	51142	1395.2130069840932	126135.35681516229	2918
3 prime UTR variant	COMMON	unknown	89	0	0	0	89	-56.880000098492005	243.10005780483425	0
3 prime UTR variant	LOW_FREQ	CpG	39056	39056	80858.51	178693.447424	39017	-28203.948001801276	143203.79280281183	1228
3 prime UTR variant	LOW_FREQ	non-CpG-ti	102762	102762	16207.047	3881.666627	102654	23940.775968290753	310704.3819644595	8515
3 prime UTR variant	LOW_FREQ	non-CpG-tv	62607	62607	4667.451	1888.2956550000001	62517	15830.88098935598	190176.4566176379	5125
3 prime UTR variant	LOW_FREQ	unknown	77	0	0	0	77	-40.94899944216011	153.14755410571033	2
3 prime UTR variant	RARE	CpG	118085	118085	245045.035	541832.426643	118006	-81660.67799787827	458393.91201107093	4321
3 prime UTR variant	RARE	non-CpG-ti	260981	260981	41903.369	10358.995763	260786	78138.95289666404	870735.674713906	24115
3 prime UTR variant	RARE	non-CpG-tv	160500	160500	11663.684	3930.579976	160334	52911.29498863792	528318.6844332479	14966
3 prime UTR variant	RARE	unknown	116	0	0	0	116	-73.98599981609735	447.75252229449234	2
3 prime UTR variant	SINGLETON	CpG	136366	136366	245182.277	491318.963693	136250	-60806.77403086751	560399.4389991186	7817
3 prime UTR variant	SINGLETON	non-CpG-ti	2557597	2557597	363123.234	71547.849852	2555862	1234109.8131452918	9176108.23309958	279318
3 prime UTR variant	SINGLETON	non-CpG-tv	1781559	1781559	95054.215	9755.199717	1780007	865694.6852436269	6447511.498828594	195679
3 prime UTR variant	SINGLETON	unknown	360	0	0	0	360	116.85699926223599	1044.157350041468	29
3 prime UTR variant	ULTRARARE	CpG	488326	488326	976791.206	2091305.77104	487942	-294657.0340265508	1950466.3247126546	21829
3 prime UTR variant	ULTRARARE	non-CpG-ti	1673029	1673029	263697.271	61990.815701	1671778	642077.1115157878	5947094.495815156	170752
