vep_consequence	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved
3 prime UTR variant	CpG	808735	808735	1598361.359	3410108.461987	808093	-487079.8990466949	3207369.8197815414	35767
3 prime UTR variant	non-CpG-ti	4680736	4680736	697925.544	150763.379008	4677361	1972723.953539281	16534832.36320675	487451
3 prime UTR variant	non-CpG-tv	3073939	3073939	177799.789	27982.356057	3071093	1372846.971934434	10884540.689972157	325437
3 prime UTR variant	unknown	945	0	0	0	945	-50.37800023599993	2540.6069727816093	48
5 prime UTR variant	CpG	482424	482424	524070.965	919212.895489	481957	31813.407987507766	2510598.3768297615	57605
5 prime UTR variant	non-CpG-ti	1776014	1776014	258585.757	51053.041391	1774830	948956.0607661643	7992929.110898388	235069
5 prime UTR variant	non-CpG-tv	1463284	1463284	100285.264	13451.442792	1462062	826448.3409619813	7156338.614103365	210273
5 prime UTR variant	unknown	246	0	0	0	246	85.88499912433328	666.8214675852729	22
TF binding site variant	CpG	123082	123082	223653.06	470305.568014	120215	-95634.4639862238	437265.3989709734	2921
TF binding site variant	non-CpG-ti	605827	605827	90833.659	17667.174043	592892	88669.34993511604	1448908.0786182638	35767
TF binding site variant	non-CpG-tv	432670	432670	28158.28	3703.76577	417026	44908.76497527131	1055310.5777249483	24609
TF binding site variant	unknown	4823	0	0	0	544	-66.01799995056358	270.1570634004393	1
coding sequence variant	CpG	24	24	24.589000000000002	44.210743	24	5.567999843973674	108.28261371194618	4
coding sequence variant	non-CpG-ti	76	76	11.112	2.382778	76	40.93999969772995	381.54475030192975	11
coding sequence variant	non-CpG-tv	67	67	5.163	0.692567	67	24.74999974668027	498.72304282524493	13
coding sequence variant	unknown	12	0	0	0	12	2.87699975073338	16.9631788800559	0
downstream gene variant	CpG	1620539	1620539	3410197.582	7742140.01194	1614140	-1413276.6372675486	4563043.744216471	12611
downstream gene variant	non-CpG-ti	10324320	10324320	1532591.6939999997	298616.368484	10294149	-433361.14537133346	12646395.796372069	197594
downstream gene variant	non-CpG-tv	7099256	7099256	443917.554	68480.360168	7072200	-376059.00755549845	9148694.86906585	139443
downstream gene variant	unknown	7910	0	0	0	7590	-2126.220998190809	9195.89708028617	44
incomplete terminal codon variant	CpG	32	32	64.152	138.735478	32	-27.844000130891754	333.8401047660727	4
incomplete terminal codon variant	non-CpG-ti	172	172	26.218	5.8189720000000005	172	134.20700080692774	1278.704409798692	36
incomplete terminal codon variant	non-CpG-tv	105	105	5.557	0.458065	105	34.01900005899368	739.0911597164053	13
incomplete terminal codon variant	unknown	30	0	0	0	30	57.34199860692026	477.8616797026026	14
intergenic variant	CpG	7775373	7775373	17338689.761	41192609.109467	7601012	-6332228.503709145	19041189.077491004	44389
intergenic variant	non-CpG-ti	69033478	69033478	10690374.533000031	2197931.651667011	67157049	-4449997.058697478	68511924.6557367	975017
intergenic variant	non-CpG-tv	48502055	48502055	3162308.0669999863	482462.8203410006	46696834	-3357781.409605877	49541179.12963137	698383
intergenic variant	unknown	122845	0	0	0	38615	-11054.267997972322	35370.46657656518	39
intron variant	CpG	25188938	25188938	52730555.215	118280908.15786086	25107036	-20687308.186396375	70222416.17957424	248025
intron variant	non-CpG-ti	178282936	178282936	27044335.50700024	5856069.679080874	177885976	-5291207.995912813	243474863.43423817	4151950
intron variant	non-CpG-tv	120197648	120197648	7164663.35299998	1078695.0788390061	119829509	-787820.2988684498	164569441.9108764	2987363
intron variant	unknown	107872	0	0	0	98415	-23795.795972809432	113810.29683253364	763
mature miRNA variant	CpG	1413	1413	2526.758	5344.822076	1412	962.7169928979138	17852.259323834103	300
mature miRNA variant	non-CpG-ti	5278	5278	785.8050000000001	155.53175099999999	5257	5405.600984333782	46766.83024230776	1037
mature miRNA variant	non-CpG-tv	3620	3620	230.06	27.93963	3599	3587.092997752013	34122.62739211998	717
mature miRNA variant	unknown	58	0	0	0	58	-70.6050018589012	347.74364993477	0
missense variant	CpG	865778	865778	1619376.502	3419053.26062	865350	3550447.6145333266	28643532.964428738	548625
missense variant	non-CpG-ti	1968791	1968791	305088.756	71603.973968	1967019	7231167.869909174	49529573.2011092	1184381
missense variant	non-CpG-tv	1721216	1721216	101996.646	10451.481916	1718949	5641895.0000040615	40096443.75572986	938436
missense variant	unknown	3208	0	0	0	3208	1715.7070006495337	24408.009996059427	598
non coding transcript exon variant	CpG	1561919	1561919	3000881.353	6480741.0626530005	1558015	-1052249.5678367282	6929390.736527349	65376
non coding transcript exon variant	non-CpG-ti	8279686	8279686	1230302.204	252425.939574	8265998	1091981.998580323	21250840.626428477	469408
non coding transcript exon variant	non-CpG-tv	5700372	5700372	342446.143	44868.403887	5687173	815966.33279624	15431299.852709198	338231
non coding transcript exon variant	unknown	3628	0	0	0	3332	-1451.278001970961	11615.298267001923	58
non coding transcript variant	non-CpG-ti	9	9	1.256	0.205014	9	-3.140000090003012	20.73719464707945	1
non coding transcript variant	non-CpG-tv	5	5	0.354	0.05155	5	0.47499993443489585	3.935807099919805	0
regulatory region variant	CpG	1216667	1216667	2541070.689	5743373.953743	1212824	-1011928.7957554325	3806267.217614472	17402
regulatory region variant	non-CpG-ti	8426393	8426393	1240431.713	237079.723561	8401096	322683.4292713401	13959970.33166808	305985
regulatory region variant	non-CpG-tv	5732438	5732438	351880.366	48509.40687	5705540	237478.5282250895	9807641.40756742	215793
regulatory region variant	unknown	8794	0	0	0	5546	-1316.0800004592163	4043.7159965312208	5
splice acceptor variant	CpG	332	332	633.432	1357.1416	331	236.63099903799593	4092.2398849951574	91
splice acceptor variant	non-CpG-ti	46558	46558	5414.355	701.617079	46495	130132.36973406396	960648.9263803838	19816
splice acceptor variant	non-CpG-tv	30343	30343	1411.93	97.43870199999999	30297	89106.0677896787	676193.8672933851	12913
splice acceptor variant	unknown	20	0	0	0	20	18.312000095844276	42.72017837894683	1
splice donor variant	CpG	5078	5078	10559.782000000001	24344.332068	5076	17364.5429149638	173091.12357021094	2560
splice donor variant	non-CpG-ti	56662	56662	8976.397	1642.228349	56588	162251.4885629661	1295230.0053941063	23660
splice donor variant	non-CpG-tv	42142	42142	2727.931	269.73510699999997	42067	117754.5126975121	948897.1590995113	17403
splice donor variant	unknown	22	0	0	0	20	51.089999713003614	270.95524269150934	13
splice region variant	CpG	83172	83172	153000.408	327081.384024	83074	-59023.26301313857	767406.3590276813	7526
splice region variant	non-CpG-ti	504020	504020	72904.254	14088.334548	503444	425132.10961150046	3157909.4850635743	91484
splice region variant	non-CpG-tv	307836	307836	17888.496	2194.60195	307326	197271.40980069825	1690826.7582042334	46386
splice region variant	unknown	167	0	0	0	163	62.65200012549756	542.2104840849121	16
start lost	CpG	13	13	26.074	62.796252	13	30.81600006669757	197.5027133498507	7
start lost	non-CpG-ti	17266	17266	4009.544	1379.613238	17246	53967.95597909263	372607.1142871199	9747
start lost	non-CpG-tv	7703	7703	313.937	16.482259	7694	24324.20798316192	166250.164061791	4407
start lost	unknown	1	0	0	0	1	3.50999999046326	12.3200999330521	1
stop gained	CpG	33096	33096	63999.941999999995	131982.16328	33083	93311.40286021754	629983.638067246	19085
stop gained	non-CpG-ti	57749	57749	7521.791	1067.609801	57680	259210.5150292935	1942094.7485220192	37088
stop gained	non-CpG-tv	54246	54246	2815.522	287.822446	54093	147816.4226505426	1154129.908565915	25635
stop gained	unknown	173	0	0	0	173	181.56600249744974	1112.6631844779693	42
stop lost	CpG	1	1	1.772	3.139984	1	-2.1010000705719	4.41420129654313	0
stop lost	non-CpG-ti	5965	5965	706.479	136.217961	5960	9248.617006424234	69478.65335348646	2082
stop lost	non-CpG-tv	6581	6581	258.67	36.71579	6578	11765.911006436567	76964.6316165968	2288
stop lost	unknown	8	0	0	0	8	-11.966999799013125	79.31217109426841	1
stop retained variant	non-CpG-ti	4043	4043	430.567	53.687875	4041	7215.036988085485	40665.82662792021	1325
stop retained variant	unknown	1	0	0	0	1	0.068000003695488	0.00462400050258638	0
synonymous variant	CpG	459186	459186	834330.075	1737572.672969	458978	-1515982.6350689852	13269913.909361081	20030
synonymous variant	non-CpG-ti	1190526	1190526	165838.837	29971.744971	1189562	969379.2734113868	10643068.178831972	307435
synonymous variant	non-CpG-tv	452550	452550	29816.609	3501.394895	452141	-108340.36820830317	5710842.159372832	78226
synonymous variant	unknown	1104	0	0	0	1104	-28.23100192286075	6152.445825805556	87
upstream gene variant	CpG	2126784	2126784	4051429.37	8776871.953126	2119577	-1687519.521086552	6217290.851113779	31681
upstream gene variant	non-CpG-ti	12519679	12519679	1843384.7179999996	358473.63386	12483405	-223877.51981824505	16997035.82992391	289601
upstream gene variant	non-CpG-tv	8873331	8873331	547889.283	78205.308699	8838994	-314379.63526005455	13372812.685718495	221762
upstream gene variant	unknown	25909	0	0	0	25379	-8587.163011815977	45410.32134517774	368
