ccre_class	activity_bin	n_SNP	n_Indel	total_SNP	total_Indel	pval	prop_SNP	prop_Indel	padj	sig
PLS	[-Inf,1)	576116	57497	1852264	191237	9.943588783714375e-21	0.3110334164028454	0.3006583454038706	1.3258118378285832e-20	***
dELS	[-Inf,1)	63219659	5830093	73727418	6927880	0	0.8574782721944773	0.8415407022061583	0	***
non-cCRE	[-Inf,1)	387338224	42978593	403093634	45295906	0	0.9609137712157468	0.9488405640898319	0	***
pELS	[-Inf,1)	8428067	864609	10865272	1137960	0	0.7756885423577062	0.7597885690182432	0	***
PLS	[1,2)	359429	35981	1852264	191237	5.137403531117416e-10	0.19404847257194438	0.18814873690760678	5.360768902035565e-10	***
dELS	[1,2)	8221797	866370	73727418	6927880	0	0.11151613908410572	0.12505557255610664	0	***
non-cCRE	[1,2)	12924212	2021455	403093634	45295906	0	0.032062555470672605	0.04462776393080646	0	***
pELS	[1,2)	1694940	191265	10865272	1137960	8.18257849617869e-249	0.15599609471350556	0.16807708531055573	2.8054554844041218e-248	***
PLS	[2,3)	277995	27554	1852264	191237	2.5085555347859197e-12	0.15008389732781072	0.14408299649126477	2.866920611183908e-12	***
dELS	[2,3)	1662400	165988	73727418	6927880	7.505198274763459e-126	0.02254792104614324	0.02395942192994105	2.2515594824290377e-125	***
non-cCRE	[2,3)	2137094	229216	403093634	45295906	3.116563727306331e-100	0.0053017309620920485	0.005060413186127682	7.479752945535194e-100	***
pELS	[2,3)	481065	52216	10865272	1137960	2.2119003656337155e-15	0.0442754677471489	0.0458856198811909	2.7939794092215353e-15	***
PLS	[3,4)	257711	26146	1852264	191237	0.0037217005833432197	0.13913297456518078	0.1367204045242291	0.0037217005833432197	**
dELS	[3,4)	461202	46975	73727418	6927880	1.3830793852231668e-62	0.0062555018541406125	0.006780573566516741	2.5533773265658465e-62	***
non-cCRE	[3,4)	548220	51516	403093634	45295906	0	0.0013600314015378373	0.001137321328775276	0	***
pELS	[3,4)	169020	18789	10865272	1137960	5.846035442638219e-15	0.015555984240431349	0.016511125171359275	7.0152425311658626e-15	***
PLS	[4,5)	224564	26199	1852264	191237	6.148987542238841e-89	0.12123757736478169	0.13699754754571553	1.3415972819430198e-88	***
dELS	[4,5)	133090	14482	73727418	6927880	2.8204155656568447e-63	0.0018051629042536116	0.0020903941754187427	5.6408311313136895e-63	***
non-cCRE	[4,5)	125968	12357	403093634	45295906	3.860832750755817e-47	3.12503074657835e-4	2.7280611188128126e-4	6.618570429867114e-47	***
pELS	[4,5)	68617	8261	10865272	1137960	3.270215479826872e-33	0.006315258375492118	0.007259481879855179	4.905323219740308e-33	***
PLS	[5,Inf)	156449	17860	1852264	191237	2.208041108763514e-40	0.08446366176743704	0.09339196912731323	3.5328657740216223e-40	***
dELS	[5,Inf)	29270	3972	73727418	6927880	7.377591635103462e-106	3.970029168795793e-4	5.73335565858531e-4	1.967357769360923e-105	***
non-cCRE	[5,Inf)	19916	2769	403093634	45295906	8.027345061796474e-26	4.940787529281596e-5	6.11313525774272e-5	1.133272244018326e-25	***
pELS	[5,Inf)	23563	2820	10865272	1137960	2.138511408595965e-11	0.0021686525657157963	0.00247811873879574	2.3329215366501435e-11	***
