emvar_class	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	total	prop	variant_type
HepG2	PLS	3879	3858	1016.239	1385.074093	3878	4007.412995612483	29687.485241816536	876	1239	1348	165015	0.02350695391328061	SNP
HepG2	dELS	208987	208972	70825.41	122192.14051	208693	30035.123979195596	618251.9322647161	15154	17725	47396	2699722	0.0774105630135251	SNP
HepG2	non-cCRE	368800	368674	126601.681	226974.874835	365364	-51127.07392203877	522091.71578748553	6317	12585	4755	5245553	0.07030717257074708	SNP
HepG2	pELS	26800	26785	8152.189	12645.657985	26764	7568.907997188748	102110.87205005831	2635	6026	6507	455890	0.05878611068459497	SNP
HepG2+SKNSH	PLS	7566	7551	2446.43	3366.462316	7565	7457.881000777358	63894.94443983802	1699	2507	3164	165015	0.04585037723843287	SNP
HepG2+SKNSH	dELS	262323	262296	134623.721	258230.659943	262003	-24630.49204727565	762183.6200272435	14176	23195	58377	2699722	0.09716667123503828	SNP
HepG2+SKNSH	non-cCRE	581644	581399	310572.01900000003	636734.694879	577432	-168868.42977913396	902347.6123787608	6478	21354	7127	5245553	0.11088325673194037	SNP
HepG2+SKNSH	pELS	37964	37941	15646.099	25833.998459	37923	4296.751003862827	145460.88561442535	3218	9114	9749	455890	0.08327447410559564	SNP
K562	PLS	48738	48683	10806.44	9173.231408	48708	60335.8619801663	422673.6787230352	12840	17947	27312	165015	0.29535496773020636	SNP
K562	dELS	807258	806934	252829.933	385282.22861500003	805948	29611.485931000083	2206041.6544055925	47543	76007	194763	2699722	0.2990152319386959	SNP
K562	non-cCRE	1572851	1571526	611209.877	1029303.572035	1560470	-356487.7982837783	2165472.3096557255	19756	64575	26978	5245553	0.29984464936299376	SNP
K562	pELS	145552	145328	38070.739	45916.057595	145371	48726.66000069143	571232.5729599317	15414	39359	48821	455890	0.3192699993419465	SNP
K562+HepG2	PLS	6289	6283	1685.015	1896.165021	6284	9119.19999071362	62368.0200021409	1815	2261	3823	165015	0.03811168681635003	SNP
K562+HepG2	dELS	126951	126928	52111.543	92565.145587	126731	13952.306958407751	473113.5548606868	10029	13453	44403	2699722	0.047023730591520166	SNP
K562+HepG2	non-cCRE	198728	198600	77518.09	146871.107958	196811	-41247.400911213714	284610.9413412048	2709	8834	4321	5245553	0.037885042816267415	SNP
K562+HepG2	pELS	22346	22327	7157.224	10265.454944	22307	10235.188999622247	113974.86956965874	2927	6250	9316	455890	0.04901621005067012	SNP
K562+HepG2+SKNSH	PLS	56950	56918	14851.573	16012.436495	56914	113947.6889776405	786010.4452601654	21110	21855	33573	165015	0.3451201405932794	SNP
K562+HepG2+SKNSH	dELS	701477	701330	349458.642	655274.277994	700179	-40037.06895050476	2184293.946263666	41483	69680	210584	2699722	0.25983304947694613	SNP
K562+HepG2+SKNSH	non-cCRE	1267712	1267097	671691.423	1341655.098209	1256012	-375153.66937867	1910602.35594033	13038	56531	24800	5245553	0.24167366148049596	SNP
K562+HepG2+SKNSH	pELS	128764	128629	45866.791	69519.484085	128562	57705.97401719261	658418.538009217	16728	36259	48455	455890	0.2824453267235517	SNP
K562+SKNSH	PLS	15250	15245	3401.443	2938.978075	15234	23629.00699350005	167311.69929758454	4749	6040	8642	165015	0.09241584098415295	SNP
K562+SKNSH	dELS	141447	141394	59054.017	99582.141149	141171	-6410.772011768186	382227.1072514564	7560	14028	39930	2699722	0.05239317233404032	SNP
K562+SKNSH	non-cCRE	262379	262151	126688.174	227222.994652	260236	-79727.98283477384	387458.3965313835	2736	11830	5414	5245553	0.05001932112782008	SNP
K562+SKNSH	pELS	26366	26336	8276.694	11000.208198	26324	11440.969994516465	124416.10404725606	3312	7479	9638	455890	0.057834126653359366	SNP
SKNSH	PLS	26343	26325	5860.281	5578.8662190000005	26323	28723.0339886154	239057.7670994916	6505	9888	11448	165015	0.1596400327242978	SNP
SKNSH	dELS	451279	451155	191159.423	330362.834711	450275	2595.488974007671	1248365.795558729	26468	39900	93634	2699722	0.1671575814102341	SNP
SKNSH	non-cCRE	993439	990656	472276.732	885882.134196	976909	-230398.46464469185	1409261.9029226894	12888	36288	12314	5245553	0.18938689590973534	SNP
SKNSH	pELS	68098	68036	23239.295	33549.174829	68019	18730.415002208207	271937.9804683164	6849	17042	16953	455890	0.14937375244028164	SNP
HepG2	PLS	339	NA	NA	NA	NA	NA	NA	NA	NA	NA	14693	0.023072211257061187	Indel
HepG2	dELS	16876	NA	NA	NA	NA	NA	NA	NA	NA	NA	192265	0.08777468598028762	Indel
HepG2	non-cCRE	27599	NA	NA	NA	NA	NA	NA	NA	NA	NA	355218	0.07769595009261918	Indel
HepG2	pELS	2321	NA	NA	NA	NA	NA	NA	NA	NA	NA	37331	0.062173528702686776	Indel
HepG2+SKNSH	PLS	472	NA	NA	NA	NA	NA	NA	NA	NA	NA	14693	0.03212414074729463	Indel
HepG2+SKNSH	dELS	14796	NA	NA	NA	NA	NA	NA	NA	NA	NA	192265	0.07695628429511352	Indel
HepG2+SKNSH	non-cCRE	26879	NA	NA	NA	NA	NA	NA	NA	NA	NA	355218	0.07566902578135117	Indel
HepG2+SKNSH	pELS	2399	NA	NA	NA	NA	NA	NA	NA	NA	NA	37331	0.06426294500549141	Indel
K562	PLS	5265	NA	NA	NA	NA	NA	NA	NA	NA	NA	14693	0.3583339004968352	Indel
K562	dELS	62100	NA	NA	NA	NA	NA	NA	NA	NA	NA	192265	0.3229917041583231	Indel
K562	non-cCRE	122585	NA	NA	NA	NA	NA	NA	NA	NA	NA	355218	0.3450979398566514	Indel
K562	pELS	13198	NA	NA	NA	NA	NA	NA	NA	NA	NA	37331	0.35353995338994404	Indel
K562+HepG2	PLS	706	NA	NA	NA	NA	NA	NA	NA	NA	NA	14693	0.048050091880487304	Indel
K562+HepG2	dELS	11211	NA	NA	NA	NA	NA	NA	NA	NA	NA	192265	0.05831014485215718	Indel
K562+HepG2	non-cCRE	20009	NA	NA	NA	NA	NA	NA	NA	NA	NA	355218	0.056328789644668906	Indel
K562+HepG2	pELS	2299	NA	NA	NA	NA	NA	NA	NA	NA	NA	37331	0.06158420615574188	Indel
