ccre_class	variant_type	n_cell_lines	prop
PLS	SNP	1 cell line	0.47850195436778475
PLS	SNP	2 cell lines	0.17637790503893586
PLS	SNP	3 cell lines	0.3451201405932794
PLS	Indel	1 cell line	0.5194310215748996
PLS	Indel	2 cell lines	0.17014905056829782
PLS	Indel	3 cell lines	0.31041992785680256
pELS	SNP	1 cell line	0.5274298624668231
pELS	SNP	2 cell lines	0.19012481080962512
pELS	SNP	3 cell lines	0.2824453267235517
pELS	Indel	1 cell line	0.5434625378371862
pELS	Indel	2 cell lines	0.18223460394846108
pELS	Indel	3 cell lines	0.2743028582143527
dELS	SNP	1 cell line	0.5435833763624551
dELS	SNP	2 cell lines	0.19658357416059877
dELS	SNP	3 cell lines	0.25983304947694613
dELS	Indel	1 cell line	0.564184849036486
dELS	Indel	2 cell lines	0.1868514810287884
dELS	Indel	3 cell lines	0.24896366993472552
non-cCRE	SNP	1 cell line	0.5595387178434762
non-cCRE	SNP	2 cell lines	0.19878762067602784
non-cCRE	SNP	3 cell lines	0.24167366148049596
non-cCRE	Indel	1 cell line	0.6039530654415035
non-cCRE	Indel	2 cell lines	0.1850131468562967
non-cCRE	Indel	3 cell lines	0.21103378770219977
