ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	n_active	sum_mean_activity	sum_mean_activity_sq	sum_abs_mean_skew	sum_abs_mean_skew_sq	prop	variant_type
Other cCREs	29581770	29559181	8358708.713999998	12489311.299044028	29435801	-1825599.7597838845	47445784.5403052	839836	929217	1276402	5562807	12968747.683311695	15741408.6039283	1971258.3041620497	563928.9251693591	0.05698441516331363	SNP
PLS	1852264	1844999	408327.51	384747.955956	1850778	849883.6227097734	10532941.777469411	273772	630473	720690	1394664	4275112.919825886	15507504.682793718	247806.6425653777	110639.4912763167	0.003568081989957327	SNP
dELS	73727418	73707992	21674161.567000013	32077137.74608898	73622746	1143025.415285314	174197728.43743092	3684061	5439935	8649053	17656074	37803993.43211721	46159788.935295	5530437.8620840795	1682517.8201036996	0.14202374625423572	SNP
non-cCRE	403093634	402874611	104296991.1660012	148961438.82341018	398310246	-47108311.00267286	472392452.3765287	5611936	9414653	1819742	29652317	111897569.27456118	91029153.0985656	18997395.73202017	3786203.5276073623	0.7764935968856763	SNP
pELS	10865272	10854703	2797540.735	3504314.064151	10853834	790503.8781389314	28601266.235049915	647079	2429006	1775609	3507651	7496450.665798929	12099496.125018831	899914.5519639988	290506.7839527958	0.02093015970681697	SNP
Other cCREs	3032370	NA	NA	NA	NA	NA	NA	NA	NA	NA	605256	1424152.9890811895	1671635.1971171126	184321.77287190183	43272.81272335565	0.05358930958688196	Indel
PLS	191237	NA	NA	NA	NA	NA	NA	NA	NA	NA	145333	458168.9370118131	1707347.4486325693	24073.218971025228	10171.009731656844	0.003379620164249925	Indel
dELS	6927880	NA	NA	NA	NA	NA	NA	NA	NA	NA	1812000	3920000.8318404406	4827169.087910044	483870.30289963447	130653.0467191355	0.12243238988011615	Indel
non-cCRE	45295906	NA	NA	NA	NA	NA	NA	NA	NA	NA	4208508	15757365.97504265	12408338.210565476	2071676.8563425897	316791.55761030025	0.8004881758005469	Indel
pELS	1137960	NA	NA	NA	NA	NA	NA	NA	NA	NA	389244	842764.4322822741	1368502.2454433965	88336.96533821918	25927.73257055627	0.020110504568205134	Indel
