ccre_class	skew_bin	n_SNP	n_Indel	total_SNP	total_Indel	pval	prop_SNP	prop_Indel	padj	sig	ratio	log2ratio
PLS	(-Inf,-1.5)	4082	427	1852264	191237	0.8164612150861309	0.0022037895246034044	0.0022328315127302773	0.8354486852044131	ns	1.0131782040901112	0.018887946642588502
dELS	(-Inf,-1.5)	38651	2866	73727418	6927880	1.550605424686527e-34	5.242418770178552e-4	4.136907683158484e-4	2.4366656673645426e-34	***	0.7891219424688549	-0.34167983875313457
non-cCRE	(-Inf,-1.5)	73105	3362	403093634	45295906	0	1.8135984752366493e-4	7.422304346887333e-5	0	***	0.40925841349303216	-1.288916019104473
pELS	(-Inf,-1.5)	5941	513	10865272	1137960	2.9034679764426826e-5	5.46787968124498e-4	4.508067067383739e-4	3.4527727287426494e-5	***	0.8244634721657407	-0.27847251837771464
PLS	[-0.05,0.05)	781434	81036	1852264	191237	0.1162816865000622	0.42188046628342396	0.4237464507391352	0.12790985515006842	ns	1.0044230169558446	0.006366994322984017
dELS	[-0.05,0.05)	44819964	4242650	73727418	6927880	1.990797261132928e-118	0.6079144667727276	0.6124023510799841	4.171194261421373e-118	***	1.0073824272205292	0.010611469955354454
non-cCRE	[-0.05,0.05)	300276644	32997026	403093634	45295906	0	0.7449302560804024	0.7284770062883829	0	***	0.9779130332568426	-0.03222192425774448
pELS	[-0.05,0.05)	6263870	660704	10865272	1137960	3.704676680548965e-17	0.5765037451432417	0.5806038876586171	4.93956890739862e-17	***	1.0071120830522216	0.010224252029166872
PLS	[-0.2,-0.05)	416240	39818	1852264	191237	3.517002814409886e-61	0.22471958640884884	0.20821284584050156	5.951850916693654e-61	***	0.9265451630979983	-0.11006679484690315
dELS	[-0.2,-0.05)	12036621	1137608	73727418	6927880	1.0579959628165862e-10	0.16325840951055684	0.16420723222688616	1.3300520675408512e-10	***	1.0058117846374581	0.008360362027464688
