activity_type	activity_bin	n
HepG2_activity	[-Inf,1)	52403272
HepG2_activity	[1,2)	3470824
HepG2_activity	[2,3)	498860
HepG2_activity	[3,4)	153855
HepG2_activity	[4,5)	46973
HepG2_activity	[5,Inf)	11569
K562_activity	[-Inf,1)	51405447
K562_activity	[1,2)	4007224
K562_activity	[2,3)	788271
K562_activity	[3,4)	225107
K562_activity	[4,5)	91524
K562_activity	[5,Inf)	67780
SKNSH_activity	[-Inf,1)	52150892
SKNSH_activity	[1,2)	3604189
SKNSH_activity	[2,3)	564355
SKNSH_activity	[3,4)	170663
SKNSH_activity	[4,5)	59725
SKNSH_activity	[5,Inf)	35529
mean_activity	[-Inf,1)	52410896
mean_activity	[1,2)	3391874
mean_activity	[2,3)	527138
mean_activity	[3,4)	160971
mean_activity	[4,5)	65974
mean_activity	[5,Inf)	28500
