activity_type	activity_bin	ccre_class	n
mean_activity	[-Inf,1)	PLS	57497
mean_activity	[-Inf,1)	dELS	5830093
mean_activity	[-Inf,1)	non-cCRE	42978593
mean_activity	[-Inf,1)	pELS	864609
mean_activity	[1,2)	PLS	35981
mean_activity	[1,2)	dELS	866370
mean_activity	[1,2)	non-cCRE	2021455
mean_activity	[1,2)	pELS	191265
mean_activity	[2,3)	PLS	27554
mean_activity	[2,3)	dELS	165988
mean_activity	[2,3)	non-cCRE	229216
mean_activity	[2,3)	pELS	52216
mean_activity	[3,4)	PLS	26146
mean_activity	[3,4)	dELS	46975
mean_activity	[3,4)	non-cCRE	51516
mean_activity	[3,4)	pELS	18789
mean_activity	[4,5)	PLS	26199
mean_activity	[4,5)	dELS	14482
mean_activity	[4,5)	non-cCRE	12357
mean_activity	[4,5)	pELS	8261
mean_activity	[5,Inf)	PLS	17860
mean_activity	[5,Inf)	dELS	3972
mean_activity	[5,Inf)	non-cCRE	2769
mean_activity	[5,Inf)	pELS	2820
