skew_type	skew_bin	n
HepG2_skew	(-Inf,-1.5)	7715
HepG2_skew	[-1.5,-1.0)	22111
HepG2_skew	[-1.0,-0.5)	119043
HepG2_skew	[-0.5,-0.2)	891128
HepG2_skew	[-0.2,-0.05)	8223318
HepG2_skew	[-0.05,0.05)	38676306
HepG2_skew	[0.05,0.2)	7620955
HepG2_skew	[0.2,0.5)	882111
HepG2_skew	[0.5,1.0)	117777
HepG2_skew	[1.0,1.5)	19123
HepG2_skew	[1.5,Inf)	5766
K562_skew	(-Inf,-1.5)	15309
K562_skew	[-1.5,-1.0)	34118
K562_skew	[-1.0,-0.5)	183370
K562_skew	[-0.5,-0.2)	1124109
K562_skew	[-0.2,-0.05)	8082075
K562_skew	[-0.05,0.05)	38472441
K562_skew	[0.05,0.2)	7431918
K562_skew	[0.2,0.5)	1025529
K562_skew	[0.5,1.0)	174999
K562_skew	[1.0,1.5)	30873
K562_skew	[1.5,Inf)	10612
SKNSH_skew	(-Inf,-1.5)	10532
SKNSH_skew	[-1.5,-1.0)	25420
SKNSH_skew	[-1.0,-0.5)	134992
SKNSH_skew	[-0.5,-0.2)	834525
SKNSH_skew	[-0.2,-0.05)	7560601
SKNSH_skew	[-0.05,0.05)	39455127
SKNSH_skew	[0.05,0.2)	7506786
SKNSH_skew	[0.2,0.5)	880834
SKNSH_skew	[0.5,1.0)	143324
SKNSH_skew	[1.0,1.5)	24627
SKNSH_skew	[1.5,Inf)	8585
mean_skew	(-Inf,-1.5)	8034
mean_skew	[-1.5,-1.0)	22807
mean_skew	[-1.0,-0.5)	118046
mean_skew	[-0.5,-0.2)	833236
mean_skew	[-0.2,-0.05)	7559888
mean_skew	[-0.05,0.05)	39966979
mean_skew	[0.05,0.2)	7118436
mean_skew	[0.2,0.5)	814421
mean_skew	[0.5,1.0)	118297
mean_skew	[1.0,1.5)	19547
mean_skew	[1.5,Inf)	5662
