skew_type	skew_bin	ccre_class	COMMON	SINGLETON	gw_COMMON	gw_SINGLETON	odds	lci	uci	log2odds	log2lci	log2uci
HepG2_skew	(-Inf,-1.5)	Other cCREs	23	417	3204935	25747115	2.168003605978063	1.4370106494615786	3.422055316634624	1.116367156286961	0.5230707534225825	1.7748630808061205
HepG2_skew	(-Inf,-1.5)	PLS	5	174	3204935	25747115	3.6306128130509343	1.6349449781828262	10.0293921938879	1.8602130820313085	0.7092420846294927	3.3261622725788587
HepG2_skew	(-Inf,-1.5)	dELS	57	1649	3204935	25747115	3.5413343283480803	2.725474674494564	4.684584648335836	1.8242930513202251	1.446507514624187	2.227921139165133
HepG2_skew	(-Inf,-1.5)	non-cCRE	80	1827	3204935	25747115	2.8093257988270692	2.248264015810203	3.554397511994656	1.4902239441853447	1.1688114625761115	1.8296050366039744
HepG2_skew	(-Inf,-1.5)	pELS	3	264	3204935	25747115	8.24670962571282	3.1830299603660084	30.49241233605709	3.0438186098371687	1.6704007364485562	4.930378385202107
HepG2_skew	[-0.05,0.05)	Other cCREs	121791	861795	3204935	25747115	0.8766880571182514	0.871294564751686	0.8820789356259099	-0.1898645002279784	-0.19876755142194238	-0.18102032919477068
HepG2_skew	[-0.05,0.05)	PLS	3999	38284	3204935	25747115	1.1917283078839425	1.153472155409643	1.2314541711751859	0.2530553653756341	0.20598317806746452	0.3003629386378863
HepG2_skew	[-0.05,0.05)	dELS	222945	1916605	3204935	25747115	1.0757580783775216	1.0708267008917762	1.0806236246156513	0.10535367420807139	0.09872501790893051	0.11186412765106946
HepG2_skew	[-0.05,0.05)	non-cCRE	1976680	14313297	3204935	25747115	0.7778600579874904	0.7759939521281053	0.7797355303932781	-0.362417466420563	-0.36588268637804094	-0.3589432192322141
HepG2_skew	[-0.05,0.05)	pELS	35266	295198	3204935	25747115	1.0424159006603413	1.0309103049143156	1.0540801014937773	0.05993099556978098	0.04391881545623384	0.07598450420173393
HepG2_skew	[-0.2,-0.05)	Other cCREs	22365	231920	3204935	25747115	1.2933791437317925	1.2757002812417608	1.31138004631256	0.3711452516378169	0.35128941565644983	0.3910858483923568
HepG2_skew	[-0.2,-0.05)	PLS	1388	20483	3204935	25747115	1.8363714391102812	1.7390822646529955	1.9403463170288795	0.8768578992548439	0.7983261787628542	0.9563141705928158
HepG2_skew	[-0.2,-0.05)	dELS	49122	610862	3204935	25747115	1.5612391025553731	1.5467880892206656	1.5757483837828148	0.6426915018609732	0.6292755603476592	0.656037182986144
HepG2_skew	[-0.2,-0.05)	non-cCRE	300631	2851762	3204935	25747115	1.2032963589907333	1.198561428074428	1.2080609336188561	0.26699200659607186	0.2613038511708631	0.27269322487217207
HepG2_skew	[-0.2,-0.05)	pELS	8217	100083	3204935	25747115	1.517978682114707	1.4841217753738063	1.5527810807209337	0.6021515302636886	0.5696094730369112	0.6348544452943232
HepG2_skew	[-0.5,-0.2)	Other cCREs	2029	35547	3204935	25747115	2.181399281576705	2.0858789201398533	2.2821762409276904	1.125253863893529	1.0606554155836683	1.1904102079694725
HepG2_skew	[-0.5,-0.2)	PLS	247	6487	3204935	25747115	3.257062066457189	2.8686011148513733	3.7127004800540124	1.7035712119403938	1.5203473722076237	1.892468931306145
HepG2_skew	[-0.5,-0.2)	dELS	5544	109916	3204935	25747115	2.47377642512427	2.4077329345523806	2.5419105756843483	1.3067151183661152	1.2676753774113754	1.3459132772799223
HepG2_skew	[-0.5,-0.2)	non-cCRE	17857	278554	3204935	25747115	1.9519384590058462	1.922530929622781	1.9818518471730142	0.9649075681227902	0.9430068084104891	0.9868491182571952
HepG2_skew	[-0.5,-0.2)	pELS	974	19992	3204935	25747115	2.5536989100061596	2.394540055523321	2.7260085385640282	1.3525884362984726	1.2597485689719174	1.4467900810443284
HepG2_skew	[-1.0,-0.5)	Other cCREs	299	6827	3204935	25747115	2.833595575841978	2.523706082956055	3.19155292437829	1.502633864691235	1.3355439002758032	1.6742585716868594
HepG2_skew	[-1.0,-0.5)	PLS	34	1782	3204935	25747115	6.341610167220042	4.542727925682141	9.13386974334784	2.6648491945176973	2.1835589016915167	3.1912262158202678
HepG2_skew	[-1.0,-0.5)	dELS	713	22609	3204935	25747115	3.944374256042555	3.6607426715436557	4.255342199006956	1.9797964461682165	1.8721363643182976	2.0892751528182836
HepG2_skew	[-1.0,-0.5)	non-cCRE	1314	30585	3204935	25747115	2.897517029482314	2.7418051365830425	3.0642715390663158	1.5348171403611641	1.4551260406739843	1.6155441467101865
HepG2_skew	[-1.0,-0.5)	pELS	132	3979	3204935	25747115	3.725388245082308	3.1338121014102027	4.46190988227334	1.8973907853243792	1.6479186806112875	2.1576613755923004
HepG2_skew	[-1.5,-1.0)	Other cCREs	66	1308	3204935	25747115	2.43203023740928	1.9020224662021799	3.1572470812250684	1.282161165907005	0.9275342870434035	1.6586671681293985
