skew_type	skew_bin_coarse	ccre_class	indel_type	indel_len_coarse	COMMON	SINGLETON	gw_COMMON	gw_SINGLETON	odds	lci	uci	log2odds	log2lci	log2uci
HepG2_skew	< -0.5	PLS	Deletion	1 bp	10	738	3204935	25747115	8.362836764561596	4.646238750459578	16.827046465357867	3.063992403067159	2.2160632900171753	4.072710067531715
HepG2_skew	< -0.5	PLS	Deletion	2-4 bp	4	309	3204935	25747115	7.717686563153488	3.271917187090524	23.93557045705068	2.948168453186449	1.7101362338280228	4.581084285141856
HepG2_skew	< -0.5	PLS	Deletion	5-9 bp	2	254	3204935	25747115	10.580683030341213	3.5801538086561515	51.66190318890156	3.403360857753217	1.84002156911491	5.691028887213084
HepG2_skew	< -0.5	PLS	Deletion	10+ bp	15	451	3204935	25747115	3.5165347673248477	2.141858680047538	6.20548677919828	1.814154481033728	1.0988632941308825	2.6335443846328737
HepG2_skew	< -0.5	PLS	Insertion	1 bp	3	257	3204935	25747115	8.0288698536962	3.0981008008983335	29.698768631808335	3.0051969278155193	1.6313840849248729	4.89233121023625
HepG2_skew	< -0.5	PLS	Insertion	2-4 bp	2	145	3204935	25747115	6.057934462117938	2.0323598354545163	29.73118254818332	2.5988259703932903	1.023155858244939	4.893904942003432
HepG2_skew	< -0.5	PLS	Insertion	5-9 bp	4	80	3204935	25747115	2.016537406847321	0.8294722725592832	6.377453045379913	1.0118801680411262	-0.26973433903449967	2.6729803718838947
HepG2_skew	< -0.5	PLS	Insertion	10+ bp	2	95	3204935	25747115	3.983292219838566	1.3227390542792339	19.652333220575994	1.9939613216924512	0.4035284794330956	4.296628701311446
HepG2_skew	< -0.5	pELS	Deletion	1 bp	35	1660	3204935	25747115	5.743560371284721	4.131574677612477	8.228527255013223	2.521945325337772	2.046691744502573	3.0406342396360446
HepG2_skew	< -0.5	pELS	Deletion	2-4 bp	32	938	3204935	25747115	3.5420445979540585	2.504263382726787	5.176373318320628	1.8245823772061713	1.3243863038724017	2.371941667768618
HepG2_skew	< -0.5	pELS	Deletion	5-9 bp	21	482	3204935	25747115	2.7328808714331263	1.7841668405737203	4.402405996239693	1.450422572946192	0.8352505305126076	2.138292198785222
HepG2_skew	< -0.5	pELS	Deletion	10+ bp	33	700	3204935	25747115	2.5664772834058316	1.819219051464606	3.7359673575798458	1.3597894909155996	0.8633192678023356	1.9014818497843489
HepG2_skew	< -0.5	pELS	Insertion	1 bp	21	550	3204935	25747115	3.1176422118532754	2.038384894518492	5.016065890390249	1.6404553703696232	1.0274264916334557	2.3265562993191593
HepG2_skew	< -0.5	pELS	Insertion	2-4 bp	13	345	3204935	25747115	3.0764017401270434	1.8087579947448746	5.687488824496283	1.6212439137821224	0.8549993935107213	2.5077918054101893
HepG2_skew	< -0.5	pELS	Insertion	5-9 bp	3	162	3204935	25747115	5.072484801679333	1.9436369627770385	18.847782817504147	2.3426926373452255	0.9587587740301066	4.236322915127894
HepG2_skew	< -0.5	pELS	Insertion	10+ bp	8	182	3204935	25747115	2.531054860872114	1.304398929079288	5.62359855116704	1.3397387783495716	0.3833851617367078	2.4914936091842077
