skew_type	skew_bin_coarse	ccre_class	indel_type	COMMON	SINGLETON	gw_COMMON	gw_SINGLETON	odds	lci	uci	log2odds	log2lci	log2uci
HepG2_skew	< -0.5	PLS	Deletion	31	1752	3204935	25747115	6.819429989449708	4.812602448864479	10.000687101375282	2.7696511548268914	2.2668172525692984	3.322027219256648
HepG2_skew	< -0.5	PLS	Insertion	11	577	3204935	25747115	5.995779187728512	3.4060195948279954	11.672247526896477	2.583947252759586	1.7680867348637423	3.5450104780158735
HepG2_skew	< -0.5	pELS	Deletion	121	3780	3204935	25747115	3.8582030544483374	3.2212449042118285	4.659152119636722	1.9479290733861747	1.6876183498422441	2.2200674346882248
HepG2_skew	< -0.5	pELS	Insertion	45	1239	3204935	25747115	3.3555951408375786	2.5002143146095444	4.607460453737803	1.7465686622794736	1.3220517658362918	2.203971783123226
HepG2_skew	< -0.5	dELS	Deletion	669	22391	3204935	25747115	4.162901348214086	3.8547803080176783	4.502063797977276	2.0575893701214913	1.9466486402790835	2.170586501121985
HepG2_skew	< -0.5	dELS	Insertion	260	6321	3204935	25747115	3.015617949390386	2.664077624750285	3.4264506834312733	1.592453664205642	1.41363611965044	1.7767149225803731
HepG2_skew	< -0.5	non-cCRE	Deletion	1151	29833	3204935	25747115	3.2262456623541205	3.0417222963925035	3.424959837013289	1.6898562966355857	1.6048884436916884	1.7760870703267442
HepG2_skew	< -0.5	non-cCRE	Insertion	466	7980	3204935	25747115	2.127663558418938	1.9378076402420803	2.3408898155754034	1.0892700394788433	0.9544253662935344	1.227057029168409
HepG2_skew	< -0.5	Other cCREs	Deletion	300	6729	3204935	25747115	2.7836356744358013	2.4797065454241936	3.134993945110839	1.4769704018908383	1.310169398631784	1.648462656626357
HepG2_skew	< -0.5	Other cCREs	Insertion	88	1823	3204935	25747115	2.5512008072391197	2.0616475662815716	3.1927439979758105	1.3511764591937532	1.0437977285184015	1.6747968787278107
HepG2_skew	[-0.5,-0.2)	PLS	Deletion	108	3641	3204935	25747115	4.159595288340786	3.4375965430934676	5.0799714176640896	2.056443166850221	1.7814002314261361	2.344820379731638
HepG2_skew	[-0.5,-0.2)	PLS	Insertion	139	2846	3204935	25747115	2.531509705914985	2.135976433076527	3.0213452355532295	1.3399980156119635	1.0948957293891426	1.5951910437690677
HepG2_skew	[-0.5,-0.2)	pELS	Deletion	459	12382	3204935	25747115	3.3520126496039704	3.0540334792000525	3.6868906650604165	1.7450275933948072	1.6107158774625794	1.8824046338675975
HepG2_skew	[-0.5,-0.2)	pELS	Insertion	515	7610	3204935	25747115	1.8362893280675094	1.6793921900180382	2.011420157061678	0.8767933895155903	0.7479391835339243	1.0082144715964838
HepG2_skew	[-0.5,-0.2)	dELS	Deletion	2639	71967	3204935	25747115	3.400042012530993	3.2703199509224405	3.5357240046391536	1.7655525730969908	1.7094317883314762	1.8220056636776851
