emvar_class	ccre_class	n	total	prop
HepG2	PLS	339	14693	0.023072211257061187
HepG2	dELS	16876	192265	0.08777468598028762
HepG2	non-cCRE	27599	355218	0.07769595009261918
HepG2	pELS	2321	37331	0.062173528702686776
HepG2+SKNSH	PLS	472	14693	0.03212414074729463
HepG2+SKNSH	dELS	14796	192265	0.07695628429511352
HepG2+SKNSH	non-cCRE	26879	355218	0.07566902578135117
HepG2+SKNSH	pELS	2399	37331	0.06426294500549141
K562	PLS	5265	14693	0.3583339004968352
K562	dELS	62100	192265	0.3229917041583231
K562	non-cCRE	122585	355218	0.3450979398566514
K562	pELS	13198	37331	0.35353995338994404
K562+HepG2	PLS	706	14693	0.048050091880487304
K562+HepG2	dELS	11211	192265	0.05831014485215718
K562+HepG2	non-cCRE	20009	355218	0.056328789644668906
K562+HepG2	pELS	2299	37331	0.06158420615574188
K562+HepG2+SKNSH	PLS	4561	14693	0.31041992785680256
K562+HepG2+SKNSH	dELS	47867	192265	0.24896366993472552
K562+HepG2+SKNSH	non-cCRE	74963	355218	0.21103378770219977
K562+HepG2+SKNSH	pELS	10240	37331	0.2743028582143527
K562+SKNSH	PLS	1322	14693	0.08997481794051589
K562+SKNSH	dELS	9918	192265	0.0515850518815177
K562+SKNSH	non-cCRE	18832	355218	0.05301533143027662
K562+SKNSH	pELS	2105	37331	0.056387452787227774
SKNSH	PLS	2028	14693	0.1380249098210032
SKNSH	dELS	29497	192265	0.15341845889787534
SKNSH	non-cCRE	64351	355218	0.18115917549223293
SKNSH	pELS	4769	37331	0.12774905574455547
