ccre_class	n_cell_lines	n	prop
PLS	1 cell line	7632	0.5194310215748996
PLS	2 cell lines	2500	0.17014905056829782
PLS	3 cell lines	4561	0.31041992785680256
pELS	1 cell line	20288	0.5434625378371862
pELS	2 cell lines	6803	0.18223460394846105
pELS	3 cell lines	10240	0.2743028582143527
dELS	1 cell line	108473	0.5641848490364861
dELS	2 cell lines	35925	0.1868514810287884
dELS	3 cell lines	47867	0.24896366993472552
non-cCRE	1 cell line	214535	0.6039530654415035
non-cCRE	2 cell lines	65720	0.1850131468562967
non-cCRE	3 cell lines	74963	0.21103378770219977
