skew_bin	indel_type	indel_len_coarse	n	prop
(-Inf,-1.5)	Deletion	1 bp	2795	1.8862763642552856e-4
(-Inf,-1.5)	Deletion	2-4 bp	1386	9.87679728671694e-5
(-Inf,-1.5)	Deletion	5-9 bp	1009	2.3616061355884917e-4
(-Inf,-1.5)	Deletion	10+ bp	1477	6.02258571582937e-4
(-Inf,-1.5)	Insertion	1 bp	585	6.312641501636053e-5
(-Inf,-1.5)	Insertion	2-4 bp	524	8.319099047923567e-5
(-Inf,-1.5)	Insertion	5-9 bp	160	5.297797473811497e-5
(-Inf,-1.5)	Insertion	10+ bp	98	4.0429726740427543e-5
[-1.5,-1.0)	Deletion	1 bp	7750	5.230283299813404e-4
[-1.5,-1.0)	Deletion	2-4 bp	4471	3.186086628348589e-4
[-1.5,-1.0)	Deletion	5-9 bp	2483	5.811563959034911e-4
[-1.5,-1.0)	Deletion	10+ bp	3638	0.0014834236177513368
[-1.5,-1.0)	Insertion	1 bp	2107	2.2736300246063528e-4
[-1.5,-1.0)	Insertion	2-4 bp	1525	2.4211118412372976e-4
[-1.5,-1.0)	Insertion	5-9 bp	485	1.60589485924911e-4
[-1.5,-1.0)	Insertion	10+ bp	348	1.435667847517223e-4
[-1.0,-0.5)	Deletion	1 bp	37189	0.0025097936211194924
[-1.0,-0.5)	Deletion	2-4 bp	23244	0.0016563944886901051
[-1.0,-0.5)	Deletion	5-9 bp	12835	0.0030040847126143
[-1.0,-0.5)	Deletion	10+ bp	16926	0.00690171197197887
[-1.0,-0.5)	Insertion	1 bp	11463	0.0012369540091154542
[-1.0,-0.5)	Insertion	2-4 bp	8274	0.0013135920901244198
[-1.0,-0.5)	Insertion	5-9 bp	3538	0.0011714754663965674
[-1.0,-0.5)	Insertion	10+ bp	4577	0.0018882332580707842
[-0.5,-0.2)	Deletion	1 bp	185610	0.012526359784236978
[-0.5,-0.2)	Deletion	2-4 bp	167170	0.011912728733192431
[-0.5,-0.2)	Deletion	5-9 bp	101714	0.02380658141479166
[-0.5,-0.2)	Deletion	10+ bp	88671	0.03615630995316899
[-0.5,-0.2)	Insertion	1 bp	65145	0.007029692831180866
[-0.5,-0.2)	Insertion	2-4 bp	55985	0.008888258782404597
[-0.5,-0.2)	Insertion	5-9 bp	42614	0.014110021346812695
[-0.5,-0.2)	Insertion	10+ bp	126327	0.05211598050957132
[-0.2,-0.05)	Deletion	1 bp	2048702	0.1382618304115396
[-0.2,-0.05)	Deletion	2-4 bp	1917945	0.1366749925834944
[-0.2,-0.05)	Deletion	5-9 bp	702819	0.1644976870771227
[-0.2,-0.05)	Deletion	10+ bp	502002	0.20469533341352575
[-0.2,-0.05)	Insertion	1 bp	571237	0.06164127168324913
[-0.2,-0.05)	Insertion	2-4 bp	599529	0.0951820826927971
[-0.2,-0.05)	Insertion	5-9 bp	551976	0.18276606615028593
[-0.2,-0.05)	Insertion	10+ bp	665678	0.2746242820113707
[-0.05,0.05)	Deletion	1 bp	11247422	0.7590606897103725
[-0.05,0.05)	Deletion	2-4 bp	10474368	0.7464156525431078
[-0.05,0.05)	Deletion	5-9 bp	2632774	0.6162116186340788
[-0.05,0.05)	Deletion	10+ bp	848178	0.3458513681300422
[-0.05,0.05)	Insertion	1 bp	7164170	0.7730741344748028
[-0.05,0.05)	Insertion	2-4 bp	4737505	0.7521330789128462
[-0.05,0.05)	Insertion	5-9 bp	1962896	0.6499390918846683
[-0.05,0.05)	Insertion	10+ bp	899666	0.371155617731158
[0.05,0.2)	Deletion	1 bp	1106361	0.07466556724986913
[0.05,0.2)	Deletion	2-4 bp	1289204	0.09187017726713295
[0.05,0.2)	Deletion	5-9 bp	733588	0.1716992984929723
[0.05,0.2)	Deletion	10+ bp	793883	0.3237121473148116
[0.05,0.2)	Insertion	1 bp	1357504	0.1464860869920846
[0.05,0.2)	Insertion	2-4 bp	798889	0.12683276181863762
[0.05,0.2)	Insertion	5-9 bp	393801	0.1303923714365276
[0.05,0.2)	Insertion	10+ bp	645206	0.26617859460494175
[0.2,0.5)	Deletion	1 bp	148158	0.009998816943661346
[0.2,0.5)	Deletion	2-4 bp	131657	0.00938203102725319
[0.2,0.5)	Deletion	5-9 bp	76106	0.017812923345401164
[0.2,0.5)	Deletion	10+ bp	184205	0.07511106308627956
[0.2,0.5)	Insertion	1 bp	80965	0.008736803746666036
[0.2,0.5)	Insertion	2-4 bp	77966	0.012377993823862765
[0.2,0.5)	Insertion	5-9 bp	52504	0.017384722410312428
[0.2,0.5)	Insertion	10+ bp	62860	0.02593278186635995
[0.5,1.0)	Deletion	1 bp	27728	0.0018712941333835621
[0.5,1.0)	Deletion	2-4 bp	19935	0.0014205912980570145
[0.5,1.0)	Deletion	5-9 bp	8056	0.0018855400424480564
[0.5,1.0)	Deletion	10+ bp	12104	0.004935502877752112
[0.5,1.0)	Insertion	1 bp	11890	0.0012830308966573106
[0.5,1.0)	Insertion	2-4 bp	14794	0.002348716628148497
[0.5,1.0)	Insertion	5-9 bp	9362	0.003099873746863952
[0.5,1.0)	Insertion	10+ bp	14428	0.005952245891947842
[1.0,1.5)	Deletion	1 bp	4592	3.099027214547503e-4
[1.0,1.5)	Deletion	2-4 bp	2833	2.0188287671911323e-4
[1.0,1.5)	Deletion	5-9 bp	868	2.0315898173347977e-4
[1.0,1.5)	Deletion	10+ bp	1068	4.3548554803695105e-4
[1.0,1.5)	Insertion	1 bp	1685	1.818256569274658e-4
[1.0,1.5)	Insertion	2-4 bp	2891	4.5897930052570673e-4
[1.0,1.5)	Insertion	5-9 bp	2114	6.99971491227344e-4
[1.0,1.5)	Insertion	10+ bp	3496	0.0014422686192299458
[1.5,Inf)	Deletion	1 bp	1246	8.408945795570969e-5
[1.5,Inf)	Deletion	2-4 bp	676	4.817254665094265e-5
[1.5,Inf)	Deletion	5-9 bp	264	6.179028937515974e-5
[1.5,Inf)	Deletion	10+ bp	283	1.1539551506971643e-4
[1.5,Inf)	Insertion	1 bp	368	3.9710291839351585e-5
[1.5,Inf)	Insertion	2-4 bp	877	1.3923377605017115e-4
[1.5,Inf)	Insertion	5-9 bp	673	2.228386062421961e-4
[1.5,Inf)	Insertion	10+ bp	1275	5.259989958576032e-4
