skew_type	skew_bin	ccre_class	pleio_bin	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	pleio_set	phyloP_mean	phyloP_var	phyloP_se	phyloP_lci	phyloP_uci	frac_conserved	frac_conserved_se	frac_conserved_lci	frac_conserved_uci	mutrate_mean	mutrate_var	mutrate_se	mutrate_lci	mutrate_uci
HepG2_skew	(-Inf,-1.5)	Other cCREs	0	10849	10849	10655.718	23870.399752000005	10793	-4868.894997574043	23148.188081065546	163	373	1449	trained	-0.45111600088706044	1.9414150890493818	0.013411832219936507	-0.47740319203813597	-0.4248288097359849	0.01510238117298249	0.001173943427957934	0.01280145205418494	0.01740331029178004	0.9821843487879068	1.2356674324578196	0.010672248906144554	0.9612667409318635	1.00310195664395
HepG2_skew	(-Inf,-1.5)	Other cCREs	1	641	641	533.9400000000004	1117.0278499999997	639	-128.31400135718286	1452.5619261141971	23	42	281	trained	-0.2008043839705522	2.2363572290233096	0.059158909483200295	-0.3167558465576248	-0.08485292138347962	0.03599374021909233	0.007368905495850835	0.021550685447224695	0.05043679499095997	0.8329797191887681	1.0504166542755446	0.04048105148450348	0.7536368582791413	0.912322580098395
HepG2_skew	(-Inf,-1.5)	PLS	0	581	581	493.437	988.320439	580	392.27200273261394	4432.855506228294	88	93	225	trained	0.6763310391941619	7.19784071670703	0.11140049461837688	0.4579860697421433	0.8946760086461806	0.15172413793103448	0.014896419605702928	0.12252715550385675	0.18092112035821223	0.8492891566265061	0.981465078313253	0.04110071334383636	0.7687317584725868	0.9298465547804253
HepG2_skew	(-Inf,-1.5)	PLS	1	449	449	198.061	300.2629449999999	447	852.671998822363	6376.17978000854	154	141	308	trained	1.9075436215265391	10.64948598071896	0.1543513959263965	1.605014885510802	2.210072357542276	0.34451901565995524	0.022476717434742933	0.3004646494878591	0.38857338183205137	0.44111581291759466	0.4752122901288575	0.03253274143567362	0.37735163970367436	0.504879986131515
HepG2_skew	(-Inf,-1.5)	PLS	2	300	300	93.05	103.73706800000005	300	821.3229972814444	5974.694526903047	139	129	213	trained	2.7377433242714813	12.46194974590344	0.20381322941935048	2.3382693946095543	3.1372172539334082	0.4633333333333333	0.028789787283893777	0.4069053502569015	0.5197613164097651	0.31016666666666665	0.2504216042363435	0.02889184453765131	0.25353865137287007	0.3667946819604632
HepG2_skew	(-Inf,-1.5)	PLS	3	1072	1072	205.215	89.41100300000002	1071	4850.801007865928	33643.367478986394	744	490	802	trained	4.529225964393957	10.909339818739864	0.10092633426152724	4.331410349241364	4.72704157954655	0.6946778711484594	0.014072658145105513	0.6670954611840526	0.7222602811128661	0.19143190298507462	0.04680327266939116	0.006607553955977089	0.17848109723135952	0.20438270873878972
HepG2_skew	(-Inf,-1.5)	dELS	0	26190	26189	24980.310999999983	56025.241789000014	26168	-5742.770999362809	78740.19057682568	1242	2134	9062	trained	-0.2194577728279887	2.960977370101439	0.010637321330770399	-0.2403069226362987	-0.19860862301967872	0.04746254967899725	0.0013144113378710804	0.04488630345676993	0.050038795901224564	0.9538474550383742	1.2294881516565956	0.006851769052747317	0.9404179876949894	0.967276922381759
HepG2_skew	(-Inf,-1.5)	dELS	1	7188	7187	4567.580000000001	9063.563054	7185	2311.915993080824	31044.96905044516	806	938	4376	trained	0.3217697972276721	4.217854163438771	0.024228827253254058	0.2742812958112942	0.3692582986440501	0.11217814892136395	0.0037230911017934196	0.10488089036184885	0.11947540748087905	0.6355336023375541	0.8573215255545553	0.010921896121171865	0.6141266859400573	0.6569405187350509
HepG2_skew	(-Inf,-1.5)	dELS	2	1874	1874	920.1790000000003	1599.0273669999997	1868	1882.934997456497	14867.85124032277	401	335	1320	trained	1.0079951806512297	6.946899752226613	0.060982760544543164	0.8884689699839251	1.1275213913185342	0.21466809421841543	0.009499963471783964	0.19604816581371887	0.233288022623112	0.4910240128068305	0.6124919284140006	0.01807862480151577	0.4555899081958596	0.5264581174178014
HepG2_skew	(-Inf,-1.5)	dELS	3	585	585	250.816	336.94164199999994	585	724.3760023494256	5320.257410912415	159	120	408	trained	1.2382495766656847	7.57414235043914	0.11378599158548713	1.01522903315813	1.4612701201732394	0.2717948717948718	0.018393719638924375	0.23574318130257998	0.30784656228716356	0.42874529914529913	0.392817570290364	0.025912989525281992	0.3779558396757464	0.47953475861485184
