activity_type	activity_bin	n
HepG2_activity	[-Inf,1)	483861664
HepG2_activity	[1,2)	27933931
HepG2_activity	[2,3)	5193781
HepG2_activity	[3,4)	1604660
HepG2_activity	[4,5)	432656
HepG2_activity	[5,Inf)	93666
K562_activity	[-Inf,1)	478301038
K562_activity	[1,2)	30434056
K562_activity	[2,3)	6839398
K562_activity	[3,4)	2177751
K562_activity	[4,5)	859733
K562_activity	[5,Inf)	508382
SKNSH_activity	[-Inf,1)	484453789
SKNSH_activity	[1,2)	26783891
SKNSH_activity	[2,3)	5265582
SKNSH_activity	[3,4)	1706127
SKNSH_activity	[4,5)	582975
SKNSH_activity	[5,Inf)	327994
mean_activity	[-Inf,1)	485923045
mean_activity	[1,2)	25632753
mean_activity	[2,3)	5080659
mean_activity	[3,4)	1637500
mean_activity	[4,5)	606841
mean_activity	[5,Inf)	239560
