activity_type	activity_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint
mean_activity	[-Inf,1)	PLS	576116	569591	150866.684	192965.192438	575774	131926.3478312614	2302630.825172752	53954	141946	106378
mean_activity	[-Inf,1)	dELS	63219659	63205836	18085676.74999998	26568832.455580052	63139292	1941349.7406386144	146969551.3653116	3178152	4258426	6303997
mean_activity	[-Inf,1)	non-cCRE	387338224	387144349	98458568.24200092	139132355.7794989	382754146	-43856142.55453811	451567538.5440168	5418757	8466423	1392298
mean_activity	[-Inf,1)	pELS	8428067	8420992	2187331.009	2828827.003317	8421022	191185.2968832536	19395251.354460254	408149	1674386	967829
mean_activity	[1,2)	PLS	359429	359092	85503.656	87749.57059	359087	152351.57192312204	1866348.3879149137	48415	120491	131519
mean_activity	[1,2)	dELS	8221797	8218580	2803454.071	4325164.590391	8205954	-605746.5468070201	21224995.598484527	396090	880148	1697043
mean_activity	[1,2)	non-cCRE	12924212	12905158	4753375.782	8011998.099013994	12772840	-2713917.0241503897	17197568.329971127	156653	739113	298906
mean_activity	[1,2)	pELS	1694940	1693167	439121.809	514009.025123	1692151	248525.55216378995	5556950.2823963445	136247	498702	484649
mean_activity	[2,3)	PLS	277995	277868	56190.334	41197.089228	277825	154471.79396395426	1700977.4627618869	46702	104791	132761
mean_activity	[2,3)	dELS	1662400	1660879	583138.882	890798.153406	1657786	-134631.42275192388	4431423.632144853	82158	213721	455595
mean_activity	[2,3)	non-cCRE	2137094	2132609	854274.817	1455939.147799	2108325	-443651.95546761906	2708013.626935534	24857	152161	86639
mean_activity	[2,3)	pELS	481065	479732	115316.228	116291.552688	479921	185944.3170529615	2135398.5212531667	59072	160785	193215
mean_activity	[3,4)	PLS	257711	257642	48965.183	29992.927441	257505	161108.92099203216	1821615.2384211724	48999	102740	136496
mean_activity	[3,4)	dELS	461202	460677	152410.685	223275.054505	458831	-40609.72884682914	1181287.3288907567	20862	62463	138391
mean_activity	[3,4)	non-cCRE	548220	546962	182108.786	285637.043028	535399	-80871.30759287893	667846.8588586765	7608	42228	28931
mean_activity	[3,4)	pELS	169020	168789	37211.181	31942.793637	168655	98790.9890123806	917150.9904615196	26812	59369	80775
mean_activity	[4,5)	PLS	224564	224376	40411.748	21166.729796	224410	145857.53196870218	1652770.6770371152	44340	91231	126087
mean_activity	[4,5)	dELS	133090	132846	40306.576	55924.508192	131987	-12697.917945516774	315394.146341204	5609	20547	43368
mean_activity	[4,5)	non-cCRE	125968	125709	41120.196	63419.916714	120758	-14054.299942930002	194388.79576170832	2937	11929	10064
mean_activity	[4,5)	pELS	68617	68479	13924.252	10156.04493	68523	47457.804013361456	427020.0510917771	12105	25710	36439
mean_activity	[5,Inf)	PLS	156449	156430	26389.905	11676.446463	156177	104167.45603070114	1188599.1861615777	31362	69274	87449
mean_activity	[5,Inf)	dELS	29270	29174	9174.603	13142.984015	28896	-4638.709002010641	75076.366258033	1190	4630	10659
mean_activity	[5,Inf)	non-cCRE	19916	19824	7543.343	12088.837357	18778	326.1390190513372	57096.220984761465	1124	2799	2904
mean_activity	[5,Inf)	pELS	23563	23544	4636.256	3087.644456	23562	18599.919013185085	169495.0353868711	4694	10054	12702
