skew_type	skew_bin	n
HepG2_skew	(-Inf,-1.5)	115536
HepG2_skew	[-1.5,-1.0)	375226
HepG2_skew	[-1.0,-0.5)	1858228
HepG2_skew	[-0.5,-0.2)	9142421
HepG2_skew	[-0.2,-0.05)	63628962
HepG2_skew	[-0.05,0.05)	368093166
HepG2_skew	[0.05,0.2)	65055655
HepG2_skew	[0.2,0.5)	8774175
HepG2_skew	[0.5,1.0)	1710714
HepG2_skew	[1.0,1.5)	287093
HepG2_skew	[1.5,Inf)	79182
K562_skew	(-Inf,-1.5)	252949
K562_skew	[-1.5,-1.0)	536477
K562_skew	[-1.0,-0.5)	2642562
K562_skew	[-0.5,-0.2)	11114253
K562_skew	[-0.2,-0.05)	55648775
K562_skew	[-0.05,0.05)	378565599
K562_skew	[0.05,0.2)	57556661
K562_skew	[0.2,0.5)	10118848
K562_skew	[0.5,1.0)	2167804
K562_skew	[1.0,1.5)	389511
K562_skew	[1.5,Inf)	126919
SKNSH_skew	(-Inf,-1.5)	162578
SKNSH_skew	[-1.5,-1.0)	461105
SKNSH_skew	[-1.0,-0.5)	2320292
SKNSH_skew	[-0.5,-0.2)	10749351
SKNSH_skew	[-0.2,-0.05)	74526416
SKNSH_skew	[-0.05,0.05)	338887438
SKNSH_skew	[0.05,0.2)	79251755
SKNSH_skew	[0.2,0.5)	10169434
SKNSH_skew	[0.5,1.0)	2110213
SKNSH_skew	[1.0,1.5)	363788
SKNSH_skew	[1.5,Inf)	117988
mean_skew	(-Inf,-1.5)	135579
mean_skew	[-1.5,-1.0)	392466
mean_skew	[-1.0,-0.5)	1892291
mean_skew	[-0.5,-0.2)	9220991
mean_skew	[-0.2,-0.05)	61689721
mean_skew	[-0.05,0.05)	371395668
mean_skew	[0.05,0.2)	63864695
mean_skew	[0.2,0.5)	8534559
mean_skew	[0.5,1.0)	1650128
mean_skew	[1.0,1.5)	269251
mean_skew	[1.5,Inf)	75009
