ccre_class	emvar_conserved	emvar_unconserved	total_conserved	total_unconserved	conserved_status	count_prop	phyloP	count
PLS	49594	115421	273772	1578492	prop_conserved	0.18115073857078154	TRUE	49594
PLS	49594	115421	273772	1578492	prop_unconserved	0.0731210547788649	FALSE	115421
pELS	51083	404807	647079	10218193	prop_conserved	0.0789439929282205	TRUE	51083
pELS	51083	404807	647079	10218193	prop_unconserved	0.039616300064013274	FALSE	404807
dELS	162413	2537309	3684061	70043357	prop_conserved	0.04408531780554122	TRUE	162413
dELS	162413	2537309	3684061	70043357	prop_unconserved	0.03622483428371373	FALSE	2537309
non-cCRE	63922	5181631	5611936	397481698	prop_conserved	0.011390365107513699	TRUE	63922
non-cCRE	63922	5181631	5611936	397481698	prop_unconserved	0.01303614990595114	FALSE	5181631
Genome-wide	347952	9098276	11056684	508063674	prop_conserved	0.03146983308919745	TRUE	347952
Genome-wide	347952	9098276	11056684	508063674	prop_unconserved	0.017907747523787737	FALSE	9098276
