skew_type	skew_bin	ccre_class	n_COMMON	n_SINGLETON	n_MR_COMMON	n_MR_SINGLETON	sum_MR_COMMON	sum_MR_SINGLETON	sum_MR_sq_COMMON	sum_MR_sq_SINGLETON	n_phyloP_COMMON	n_phyloP_SINGLETON	sum_phyloP_COMMON	sum_phyloP_SINGLETON	sum_phyloP_sq_COMMON	sum_phyloP_sq_SINGLETON	n_conserved_COMMON	n_conserved_SINGLETON	n_tf_chip_peak_COMMON	n_tf_chip_peak_SINGLETON	n_tf_footprint_COMMON	n_tf_footprint_SINGLETON	gw_SINGLETON	gw_COMMON	odds	lci	uci	log2odds	log2lci	log2uci
HepG2_skew	(-Inf,-1.5)	Other cCREs	308	4531	308	4531	408.58	1910.667	939.875226	3392.131811	307	4512	-207.9929996514693	-823.48200145748	668.0913893147012	7657.430999447568	4	90	18	160	42	768	271223115	11777645	0.636891376391896	0.5674315352437718	0.7169880101232609	-0.650880757105478	-0.817481763669597	-0.47997910131630905
HepG2_skew	(-Inf,-1.5)	PLS	27	1305	27	1305	17.5	346.999	29.95657	348.071289	27	1302	-4.35600005136803	4258.616002467344	40.11592525457867	30765.483606449452	2	664	14	470	15	877	271223115	11777645	2.0254534110217883	1.394772220833391	3.0602019734407513	1.0182449008916237	0.48002953588555575	1.613626873985053
HepG2_skew	(-Inf,-1.5)	dELS	849	14792	849	14791	1004.703	5366.0199999999995	2278.408757	9409.67464	849	14776	-405.1580004859715	4344.557996762916	2431.5882824871587	54659.50659470954	31	1373	97	1480	294	6841	271223115	11777645	0.7557221121858629	0.7051805289205875	0.8107544827657045	-0.40407225868373764	-0.5039354546273398	-0.3026629993379832
HepG2_skew	(-Inf,-1.5)	non-cCRE	1890	21338	1889	21330	2777.552	9897.79	6460.309712	18379.743776	1880	21198	-1481.3839987706167	-4911.402987363979	4355.845741646211	31697.3900304828	5	259	97	937	31	613	271223115	11777645	0.4899804385647775	0.46746954619668024	0.5138416327032279	-1.029203941065468	-1.0970557127365186	-0.9606043092395578
HepG2_skew	(-Inf,-1.5)	pELS	100	2279	100	2279	94.845	775.355	191.785667	1160.844687	100	2278	-61.558000296354265	2334.9440004378553	238.8176215811977	19414.222196918166	0	466	22	597	37	1190	271223115	11777645	0.9802648305655518	0.8029456556517504	1.2086560043257855	-0.02875653124264336	-0.31662574721307013	0.27340369746557863
HepG2_skew	[-0.05,0.05)	Other cCREs	424293	10034661	423823	10029062	156101.162	1423461.64	257643.595838	929860.9755280002	421936	9997708	-123921.21297290304	451180.93564969505	753879.0265766333	14933508.449329857	8732	326827	16613	281679	15098	361474	271223115	11777645	1.0280308090020722	1.0247894481126953	1.0312315109706804	0.03988350123263528	0.03532752595821996	0.04436825339963731
HepG2_skew	[-0.05,0.05)	PLS	14780	422431	14755	422009	3832.852	67309.816	4424.915096	38268.084054	14755	422141	-3592.0810002624053	130528.2968835068	61308.88353864876	1905897.4445597185	944	49000	5261	135344	4529	140080	271223115	11777645	1.2414162689701367	1.2212169772538426	1.2620086286708911	0.31198695791808584	0.2883195510196595	0.33572177442358964
HepG2_skew	[-0.05,0.05)	dELS	922053	23180490	921641	23175363	333633.305	3411362.565999995	526730.595353	2432440.751882002	920557	23151787	-224975.37897197373	3144519.444997131	2079098.16711959	50366476.38508536	29707	1248553	78020	1538114	87658	2142773	271223115	11777645	1.1002678152629994	1.097848880381181	1.1026585864348106	0.13785473168110723	0.13467948009062702	0.14098616182327334
HepG2_skew	[-0.05,0.05)	non-cCRE	6730454	157618909	6723538	157558731	2390977.423	21506633.794	3947247.898775	12579748.530994153	6654534	155960320	-2384062.2222945234	-5983943.545565496	10012494.011714824	161614193.75984818	63698	2379251	183846	3244187	21630	517826	271223115	11777645	1.0404706504788397	1.0391938577744049	1.0416729136885778	0.057236270209412334	0.055464808776998005	0.05890234107325516
HepG2_skew	[-0.05,0.05)	pELS	122277	3278547	122161	3276663	37734.629	497885.522	52525.789603	331163.795092	122106	3276035	-31414.15196676042	417621.9689013193	287861.8237707325	7406305.6130692465	3884	181141	28796	683562	14872	415884	271223115	11777645	1.1663133548164872	1.1596705781562933	1.1729996727985172	0.22195545123525187	0.2137150443566556	0.23020261093502978
HepG2_skew	[-0.2,-0.05)	Other cCREs	109501	2140383	109386	2139073	76623.003	412878.49	157520.658435	469582.060388	108796	2130403	-48183.42396537227	538.7832756254544	216890.31651634385	3185496.1235726383	1684	62037	5034	70988	5777	114138	271223115	11777645	0.847590617624316	0.842461885420124	0.8527901807526208	-0.23856047695286775	-0.2473166773872026	-0.2297372682596162
HepG2_skew	[-0.2,-0.05)	PLS	7104	222483	7097	222301	2452.234	42083.55	3309.606234	28718.201344	7093	222336	-925.6809985671424	142796.77901673902	29410.799329123827	1277846.952968462	567	37333	2737	78288	2672	96661	271223115	11777645	1.360074159394954	1.3283153794589158	1.3928342922806913	0.44368531800093153	0.409597723765129	0.4780236284163131
HepG2_skew	[-0.2,-0.05)	dELS	284805	6142399	284670	6141028	188365.78	1254941.805	367401.067698	1458000.147975	284318	6133830	-109026.28498708106	798608.9655311593	727894.6101453378	14418747.3148789	8319	351261	28227	495715	41266	897304	271223115	11777645	0.9350877122283784	0.9315016420585713	0.9385953699563642	-0.0968263972006347	-0.10236978252380997	-0.09142475124552878
HepG2_skew	[-0.2,-0.05)	non-cCRE	1130833	21390793	1129860	21381443	795369.559	3951040.099999994	1668781.908111	4545442.435900003	1118384	21151938	-548307.3755248328	-872034.3472903447	2048181.349622192	24247354.489497673	10108	364837	42032	610393	8136	176721	271223115	11777645	0.8061194178025113	0.8045191936871938	0.8077358778525497	-0.31093452076205047	-0.31380125466329484	-0.3080444727086359
HepG2_skew	[-0.2,-0.05)	pELS	40420	1000314	40381	999726	20636.179	206269.775	35145.021237	202048.520641	40349	999394	-12058.65300123406	221753.24496510113	107515.5155115027	2806118.4812219674	1469	74627	10523	243261	7460	211123	271223115	11777645	1.074913135957377	1.0642353112910878	1.0857208185368357	0.10422007991995182	0.08981717799958608	0.1186531772744593
HepG2_skew	[-0.5,-0.2)	Other cCREs	20817	382360	20799	382150	17548.395	84352.815	37710.706993	106664.317955	20645	380361	-10769.417995445549	-14919.353940454552	45004.9771944213	604371.8659107591	292	10677	1093	13956	1744	36337	271223115	11777645	0.7972810524992354	0.7862422394625234	0.8085565438304154	-0.3268397112348853	-0.3469542228244492	-0.3065794273711032
HepG2_skew	[-0.5,-0.2)	PLS	2099	75938	2092	75893	747.931	14339.947	1010.876259	9700.773815	2097	75881	317.23899858584616	102319.68096044289	10352.228418959496	690158.3453802866	252	20859	919	27911	965	40685	271223115	11777645	1.5704509223370031	1.5037284470350067	1.6408752000011497	0.6511788584898134	0.588544059377379	0.7144655160080935
HepG2_skew	[-0.5,-0.2)	dELS	58152	1205697	58133	1205466	44247.06	275189.83400000003	89674.70238	350927.103558	58029	1203785	-25696.012974750476	175522.87691650627	156121.33529715615	3273269.4556547236	1718	79109	6545	111021	12515	281001	271223115	11777645	0.8998782285261973	0.8923939411431965	0.9074547010403916	-0.1521983056531435	-0.16424737636619788	-0.14010246744345375
HepG2_skew	[-0.5,-0.2)	non-cCRE	141384	2358975	141272	2357873	123574.866	549795.269	268278.941122	738218.082407	140009	2335948	-82268.29593982035	-237199.7623049686	286098.1765900682	3004136.0018845308	1051	39758	6441	86411	1818	40536	271223115	11777645	0.7221137295044983	0.7182105292192917	0.7260373807175807	-0.46970202221980795	-0.47752129131237775	-0.46188426624269624
HepG2_skew	[-0.5,-0.2)	pELS	8213	215618	8212	215489	4933.927	47452.897	8992.281099	48432.909663	8191	215371	-2078.038002952352	92298.26702543849	23862.56077151259	865434.3866382133	415	24348	2376	58108	2178	69788	271223115	11777645	1.1400056378026349	1.1151775755658213	1.16556384123755	0.1890409591354474	0.15727345632502485	0.221028027130347
HepG2_skew	[-1.0,-0.5)	Other cCREs	5169	90066	5167	90033	4936.627	22260.015	10806.250163	30199.240291	5134	89596	-2850.299996991293	272.1810216696459	11598.03006861522	174334.82739215807	69	3141	319	3552	680	14523	271223115	11777645	0.7564168071296334	0.7355147834307331	0.7780760478804551	-0.40274667542149045	-0.44317375576230206	-0.36201692613065156
HepG2_skew	[-1.0,-0.5)	PLS	483	22843	483	22835	212.44	4613.241	335.207626	3448.043213	483	22833	262.7820011954754	52657.11898524873	3209.717307728794	337806.2158510778	93	9445	214	8785	229	14272	271223115	11777645	2.0496388975240167	1.8730413929234266	2.247499588412892	1.0353697601503689	0.9053827824990013	1.168320851537394
HepG2_skew	[-1.0,-0.5)	dELS	13782	279624	13777	279595	12115.383	71329.712	25338.548119	98519.981288	13758	279152	-6488.541005739478	76337.64993602212	39693.78959440669	999373.6048204132	448	24572	1662	27202	4078	96181	271223115	11777645	0.880853884704016	0.8659163424318531	0.8961157140907677	-0.18302536892623028	-0.20770044428715415	-0.1582430575084102
HepG2_skew	[-1.0,-0.5)	non-cCRE	26360	389979	26350	389844	27754.309	108325.206	62724.874475	161813.958426	26131	386292	-16839.595986169403	-47553.142879444415	56070.260317691296	531164.0527253541	176	6415	1246	16539	456	9808	271223115	11777645	0.6419049632996842	0.6339498486592728	0.649982156057121	-0.6395683787321895	-0.6575593806305463	-0.6215279824712922
HepG2_skew	[-1.0,-0.5)	pELS	1898	48514	1897	48491	1262.477	11604.526	2350.821589	12852.350918	1896	48449	-456.7359981829068	36912.00900121289	6631.886510609606	300544.94620218297	109	8172	552	13440	671	20667	271223115	11777645	1.1094068490693139	1.0596425693488194	1.162093255844024	0.14978853727126282	0.08357770781866794	0.21672584700860326
HepG2_skew	[-1.5,-1.0)	Other cCREs	933	16337	933	16335	982.991	4682.869	2220.795993	7263.971135	930	16225	-497.7550003533254	-822.8229987473461	1892.3228492216292	25377.93365900245	11	415	55	638	128	2725	271223115	11777645	0.7595846884075169	0.7110527762592094	0.8122058717511802	-0.39671727073379204	-0.49197145034266043	-0.30008263778556676
HepG2_skew	[-1.5,-1.0)	PLS	86	4635	86	4634	64.727	1038.958	138.948587	939.623192	85	4631	55.99599905451768	14850.758985930124	765.1515506289795	98614.78648501849	18	2479	38	1789	41	3108	271223115	11777645	2.313983306077907	1.8718729408736734	2.894545917974306	1.2103784563531415	0.9044825108868129	1.5333370431131272
HepG2_skew	[-1.5,-1.0)	dELS	2670	52126	2670	52121	2627.972	14594.595	5737.380534	22288.056179	2665	52040	-1189.058000503108	16125.453995057853	7955.264649273563	195280.5331046151	100	4847	323	4991	920	21514	271223115	11777645	0.8474345952690147	0.8150734202490005	0.8813614046943153	-0.2388260690835152	-0.29499807449049487	-0.1821943733063356
HepG2_skew	[-1.5,-1.0)	non-cCRE	5770	77070	5767	77038	7446.154	26541.798	17360.77807	45450.065156	5722	76386	-3769.560998219997	-10066.374949701249	11886.709362731994	96205.40859589886	32	1022	277	3537	89	1841	271223115	11777645	0.5798073463941558	0.5644905374839183	0.5956397725598878	-0.786354481841153	-0.8249786974842049	-0.747488004904272
HepG2_skew	[-1.5,-1.0)	pELS	336	8652	336	8650	225.646	2303.298	425.080648	2924.580848	335	8644	-105.7549983561038	8294.853001231793	1352.8652228152262	63527.86019218184	19	1666	101	2397	128	4176	271223115	11777645	1.1149884414082587	0.9998938015335052	1.2469116513264673	0.15702875444206577	-1.5322013697792705e-4	0.31835924807969196
HepG2_skew	[0.05,0.2)	Other cCREs	97108	2277143	97020	2275780	25604.958	305161.875	33179.749584	148225.769117	96573	2267235	-38533.657972938265	-116687.41880455051	187648.0289637353	3485647.3351009185	1546	60723	4338	73168	4342	100535	271223115	11777645	1.0184244767194544	1.0119070343366325	1.0250161760696634	0.02633899836744531	0.017076753211774237	0.03564667748812485
