skew_bin	n_in	n_out	n_total	prop_in	odds	lci	uci	pval
(-Inf,-1.5)	10865	124714	135579	0.08013777944961978	2.313809622346094	2.268838409457405	2.3596752020148917	0
[-1.5,-1.0)	34362	358104	392466	0.0875540811178548	2.550637378295108	2.5222397820487394	2.579050358378578	0
[-1.0,-0.5)	161493	1730798	1892291	0.08534258208700458	2.4899049792706456	2.47746060579441	2.5027091321804806	0
[-0.5,-0.2)	644370	8576621	9220991	0.06988077528760195	2.029901058691167	2.024641124481534	2.0352094174987974	0
[-0.2,-0.05)	3029386	58660335	61689721	0.049106819594791164	1.442166523570265	1.4402328194387097	1.4440120998113093	0
[-0.05,0.05)	11559202	359836466	371395668	0.03112368558913832	0.619356410778691	0.618748641681784	0.61994069938377	0
[0.05,0.2)	2751234	61113461	63864695	0.043079106539223276	1.2285767945679462	1.226947373983664	1.230173944426204	0
[0.2,0.5)	511961	8022598	8534559	0.05998681361274789	1.7136305601573298	1.7088839366462791	1.7186364172473325	0
[0.5,1.0)	114495	1535633	1650128	0.06938552645612947	1.9854961782871938	1.9736114052644933	1.9974770907108828	0
[1.0,1.5)	20353	248898	269251	0.07559117700584213	2.1722535090889794	2.1414018743646337	2.20362922030772	0
[1.5,Inf)	5563	69446	75009	0.07416443360130118	2.1274160368262813	2.0698203595773412	2.1862800958484603	0
