skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	n_in	n_out	prop_in	gw_in	gw_out	odds	lci	uci	pval
mean_skew	(-Inf,-1.5)	PLS	4082	4082	1472.867	1990.296065	4079	13255.30400350865	93013.81926846816	2143	1552	2810	1552	2530	0.3802057814796668	630473	1221791	1.1895261640953971	1.115913691659245	1.2676838198650038	9.198202992996316e-8
mean_skew	(-Inf,-1.5)	dELS	38651	38649	32402.074	69593.091282	38573	-2023.4070012718444	136764.84714195837	2617	3901	16974	3901	34750	0.10092882460997128	5439935	68287483	1.409789369555518	1.363520408800039	1.457252087690692	3.682144950398164e-84
mean_skew	(-Inf,-1.5)	non-cCRE	73105	73072	78766.375	178300.267705	72451	-34751.47294242855	131579.95150642018	473	3249	1609	3249	69856	0.04444292456056357	9414653	393678981	1.945743738572685	1.8779254296143673	2.0154196596152496	3.0542783402450435e-248
mean_skew	(-Inf,-1.5)	pELS	5941	5941	3732.898	7149.402922	5938	5155.873997278048	47855.4968745778	1125	1594	3202	1594	4347	0.26830499915839084	2429006	8436266	1.2742477028617973	1.202415659334316	1.3498325185779434	4.583502402179811e-16
mean_skew	[-0.05,0.05)	PLS	781434	776399	161500.537	146345.360561	780785	175674.34789312675	3565243.960793976	85050	248942	249971	248942	532492	0.3185707302216182	630473	1221791	0.8446256301357894	0.8393856746377084	0.849896391901332	0
mean_skew	[-0.05,0.05)	dELS	44819964	44808536	11215260.910999987	14898848.858437045	44761226	2711511.2516023624	101146987.13927723	2272309	3052904	4197465	3052904	41767060	0.06811482490258136	5439935	68287483	0.8120935752204431	0.8106780374725845	0.8134895728264342	0
mean_skew	[-0.05,0.05)	non-cCRE	300276644	300125299	69129009.32099964	89533144.2239522	296738718	-28551962.123907413	336980404.80875725	4248978	6385630	1006962	6385630	293891014	0.0212658231254243	9414653	393678981	0.7158022903789886	0.7148226279962209	0.716790290088355	0
mean_skew	[-0.05,0.05)	pELS	6263870	6257649	1423632.525	1628391.138129	6257937	379565.7980156528	14647973.521846903	325676	1308218	785102	1308218	4955652	0.20885139697982238	2429006	8436266	0.8198133441981785	0.8174401931072713	0.822192856498317	0
mean_skew	[-0.2,-0.05)	PLS	416240	415314	115861.465	130657.994247	415866	199504.20497920184	2330956.257092432	63299	146053	179539	146053	270187	0.3508865077839708	630473	1221791	1.0618932338101792	1.0542245800094405	1.0696109580421511	3.711119624286877e-59
mean_skew	[-0.2,-0.05)	dELS	12036621	12032884	5990088.542	11137597.217528004	12016417	-602183.289455111	30699900.05560243	600117	994181	1824098	994181	11042440	0.08259635324564926	5439935	68287483	1.1593311443509249	1.1566426551683118	1.1619355108665776	0
mean_skew	[-0.2,-0.05)	non-cCRE	43081688	43048644	21153993.456999995	41709995.77638897	42528544	-8231279.698026931	59172960.31490241	612380	1279466	357094	1279466	41802222	0.029698604195824454	9414653	393678981	1.3238894570352677	1.321357473528455	1.3263600065517966	0
mean_skew	[-0.2,-0.05)	pELS	1900109	1898261	762262.329	1204663.754689	1897808	125413.6210439668	5539558.101923968	125848	458154	402012	458154	1441955	0.24111985154535873	2429006	8436266	1.127576023399647	1.1234068056236444	1.1317223788723352	0
mean_skew	[-0.5,-0.2)	PLS	154255	154097	40628.936	42898.657418	154158	169009.89595559266	1253718.5213320043	37558	57187	81874	57187	97068	0.3707302842695537	630473	1221791	1.1558320098833719	1.1434081551607098	1.1684347541446183	2.5299150559339445e-150
mean_skew	[-0.5,-0.2)	dELS	2449358	2448537	1366019.904	2609049.365108	2444992	-175907.00913036492	6925578.240593849	132386	231387	591056	231387	2217971	0.09446842805339195	5439935	68287483	1.3233283368815798	1.3176356585790963	1.3291580116614643	0
mean_skew	[-0.5,-0.2)	non-cCRE	5383911	5379211	3520804.888	7159648.814744	5330181	-1671147.209556833	8426497.557637658	64992	208949	87573	208949	5174962	0.038809891173906846	9414653	393678981	1.7040099312539394	1.6964511592155946	1.7115270999239691	0
mean_skew	[-0.5,-0.2)	pELS	427926	427421	179838.229	285013.803037	427303	102303.23599986744	1661649.771738611	42214	114081	139039	114081	313845	0.26659048527081786	2429006	8436266	1.2754072524660056	1.2665478165901323	1.2842365613087283	0
mean_skew	[-1.0,-0.5)	PLS	53007	52994	14880.256	16471.118376	52977	102774.3559716857	677338.2470084938	19402	20257	32731	20257	32750	0.3821570735940536	630473	1221791	1.2052533269142713	1.1839536072223655	1.2269652217939586	1.143362383754536e-92
mean_skew	[-1.0,-0.5)	dELS	615734	615611	380846.462	745203.94851	614635	5062.622893198966	2146066.768785348	43293	61958	215794	61958	553776	0.10062462037178392	5439935	68287483	1.4091332422018608	1.397399618143963	1.4209720345938623	0
mean_skew	[-1.0,-0.5)	non-cCRE	915473	914992	702962.434	1510588.37472	907472	-318128.3105041496	1562767.0047608542	11188	41104	23240	41104	874369	0.044899194187048665	9414653	393678981	1.9700280491745545	1.9505044250119195	1.9897648604895815	0
mean_skew	[-1.0,-0.5)	pELS	106887	106801	48339.677	78691.864137	106711	56482.23901360098	594276.9656291849	15441	29816	46167	29816	77071	0.27894879639245185	2429006	8436266	1.3479284187292147	1.3298864385233868	1.3661592820890258	0
