skew_bin	n_in	n_out	n_total	prop_in	odds	lci	uci	pval
(-Inf,-1.5)	26696	108883	135579	0.1969036502703221	8.70684434603387	8.594193820787462	8.825284034867561	0
[-1.5,-1.0)	82517	309949	392466	0.2102526078692167	9.487368722302884	9.413482436515814	9.562176297848634	0
[-1.0,-0.5)	349648	1542643	1892291	0.18477496325882226	8.212831963378727	8.1797493091793	8.2445034907767	0
[-0.5,-0.2)	974748	8246243	9220991	0.10570967914403126	4.4252748176134595	4.415145403482707	4.434064007735527	0
[-0.2,-0.05)	2993355	58696366	61689721	0.04852275146454302	2.022946919334395	2.0201705089715687	2.0255236122650127	0
[-0.05,0.05)	6930532	364465136	371395668	0.018660777701909007	0.36521223509750445	0.3647685546875002	0.3656087722778316	0
[0.05,0.2)	2202814	61661881	63864695	0.03449188945472925	1.3152187457720046	1.3132733803175138	1.3171798532003671	0
[0.2,0.5)	521887	8012672	8534559	0.061149849687605416	2.3588218841688002	2.352188741231001	2.3655272950344286	0
[0.5,1.0)	129733	1520395	1650128	0.07861996160297868	3.0436005617779176	3.0263754737739945	3.0611827042452773	0
[1.0,1.5)	23506	245745	269251	0.0873014399203717	3.3950423873287874	3.3498529156353776	3.440958292563931	0
[1.5,Inf)	6060	68949	75009	0.0807903051633804	3.1171735666079425	3.035939492438824	3.2003264238369065	0
