skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	n_in	n_out	prop_in	gw_in	gw_out	odds	lci	uci	pval
mean_skew	(-Inf,-1.5)	PLS	4082	4082	1472.867	1990.296065	4079	13255.30400350865	93013.81926846816	2143	1552	2810	2810	1272	0.6883880450759432	720690	1131574	3.4767598430190065	3.2523215859501122	3.718111192785475	0
mean_skew	(-Inf,-1.5)	dELS	38651	38649	32402.074	69593.091282	38573	-2023.4070012718444	136764.84714195837	2617	3901	16974	16974	21677	0.43916069441929056	8649053	65078365	5.901566898613414	5.78363606378734	6.022730485608962	0
mean_skew	(-Inf,-1.5)	non-cCRE	73105	73072	78766.375	178300.267705	72451	-34751.47294242855	131579.95150642018	473	3249	1609	1609	71496	0.02200943847890021	1819742	401273892	4.969258375568155	4.726968831623168	5.221072941637097	0
mean_skew	(-Inf,-1.5)	pELS	5941	5941	3732.898	7149.402922	5938	5155.873997278048	47855.4968745778	1125	1594	3202	3202	2739	0.538966503955563	1775609	9089663	5.9932590184735375	5.693191373069079	6.309838620902656	0
mean_skew	[-0.05,0.05)	PLS	781434	776399	161500.537	146345.360561	780785	175674.34789312675	3565243.960793976	85050	248942	249971	249971	531463	0.31988754008655884	720690	1131574	0.5996471138838141	0.5959915368757838	0.6032929340852493	0
mean_skew	[-0.05,0.05)	dELS	44819964	44808536	11215260.910999987	14898848.858437045	44761226	2711511.2516023624	101146987.13927723	2272309	3052904	4197465	4197465	40622499	0.09365168164793707	8649053	65078365	0.5676843186645198	0.5668430220429016	0.5684563018798827	0
mean_skew	[-0.05,0.05)	non-cCRE	300276644	300125299	69129009.32099964	89533144.2239522	296738718	-28551962.123907413	336980404.80875725	4248978	6385630	1006962	1006962	299269682	0.0033534476294466643	1819742	401273892	0.4222723538756582	0.4210548363226417	0.42354796227991237	0
mean_skew	[-0.05,0.05)	pELS	6263870	6257649	1423632.525	1628391.138129	6257937	379565.7980156528	14647973.521846903	325676	1308218	785102	785102	5478768	0.12533816953416976	1775609	9089663	0.522387209901013	0.5207275139497773	0.5240668002549645	0
mean_skew	[-0.2,-0.05)	PLS	416240	415314	115861.465	130657.994247	415866	199504.20497920184	2330956.257092432	63299	146053	179539	179539	236701	0.43133528733423027	720690	1131574	1.254284140611133	1.2455646151682587	1.2630960857844606	0
mean_skew	[-0.2,-0.05)	dELS	12036621	12032884	5990088.542	11137597.217528004	12016417	-602183.289455111	30699900.05560243	600117	994181	1824098	1824098	10212523	0.15154568711601038	8649053	65078365	1.4358767762709914	1.4332788043796645	1.438376971558049	0
mean_skew	[-0.2,-0.05)	non-cCRE	43081688	43048644	21153993.456999995	41709995.77638897	42528544	-8231279.698026931	59172960.31490241	612380	1279466	357094	357094	42724594	0.008288765287005468	1819742	401273892	2.0488884119512423	2.0413056857669027	2.056224022520198	0
mean_skew	[-0.2,-0.05)	pELS	1900109	1898261	762262.329	1204663.754689	1897808	125413.6210439668	5539558.101923968	125848	458154	402012	402012	1498097	0.21157312554174523	1775609	9089663	1.4831033309882802	1.4772455023936255	1.4888927708261603	0
mean_skew	[-0.5,-0.2)	PLS	154255	154097	40628.936	42898.657418	154158	169009.89595559266	1253718.5213320043	37558	57187	81874	81874	72381	0.5307704774561602	720690	1131574	1.8755602783731287	1.855851206390595	1.8953563907232893	0
mean_skew	[-0.5,-0.2)	dELS	2449358	2448537	1366019.904	2609049.365108	2444992	-175907.00913036492	6925578.240593849	132386	231387	591056	591056	1858302	0.24131058016018891	8649053	65078365	2.495585710227155	2.4880435265910514	2.502959545633049	0
mean_skew	[-0.5,-0.2)	non-cCRE	5383911	5379211	3520804.888	7159648.814744	5330181	-1671147.209556833	8426497.557637658	64992	208949	87573	87573	5296338	0.016265684926812497	1819742	401273892	3.7800055591153963	3.7539682268341195	3.806227638423299	0
mean_skew	[-0.5,-0.2)	pELS	427926	427421	179838.229	285013.803037	427303	102303.23599986744	1661649.771738611	42214	114081	139039	139039	288887	0.3249136532951959	1775609	9089663	2.5881699230768023	2.5710226253678212	2.6054496929678335	0
mean_skew	[-1.0,-0.5)	PLS	53007	52994	14880.256	16471.118376	52977	102774.3559716857	677338.2470084938	19402	20257	32731	32731	20276	0.6174844831814666	720690	1131574	2.607582274945117	2.561592075040376	2.6546521019414837	0
mean_skew	[-1.0,-0.5)	dELS	615734	615611	380846.462	745203.94851	614635	5062.622893198966	2146066.768785348	43293	61958	215794	215794	399940	0.3504662727736328	8649053	65078365	4.138582919587767	4.116190351225356	4.1599333528365605	0
mean_skew	[-1.0,-0.5)	non-cCRE	915473	914992	702962.434	1510588.37472	907472	-318128.3105041496	1562767.0047608542	11188	41104	23240	23240	892233	0.02538578417932588	1819742	401273892	5.805157074312554	5.729929270736768	5.881345574261655	0
mean_skew	[-1.0,-0.5)	pELS	106887	106801	48339.677	78691.864137	106711	56482.23901360098	594276.9656291849	15441	29816	46167	46167	60720	0.4319234331583822	1775609	9089663	3.969506391400601	3.9208006686955685	4.0180320065629385	0
mean_skew	[-1.5,-1.0)	PLS	12488	12484	3734.4	4474.651794	12471	34667.54797589255	229699.88482884175	5986	5002	8467	8467	4021	0.6780108904548366	720690	1131574	3.3331851067958476	3.20947935155778	3.461869964268058	0
mean_skew	[-1.5,-1.0)	dELS	123550	123532	81675.89	166782.881494	123277	10906.66699808242	464089.6376422137	9652	12780	52160	52160	71390	0.42217725617159046	8649053	65078365	5.52487358555098	5.461841078690099	5.588298292383132	0
mean_skew	[-1.5,-1.0)	non-cCRE	194394	194316	168252.253	377884.552397	192343	-67118.15683932623	308199.29107094585	1844	9057	4682	4682	189712	0.024085105507371626	1819742	401273892	5.455444975886166	5.297131860947845	5.615026276657198	0
mean_skew	[-1.5,-1.0)	pELS	20503	20485	10170.348	17591.603004	20470	15736.004017203477	145111.3701435394	3673	5733	10109	10109	10394	0.4930497975905965	1775609	9089663	5.0017593553908215	4.866434710043364	5.141422055844728	0
mean_skew	[0.05,0.2)	PLS	313963	313022	51076.427	30089.251579	313720	86324.60595887485	1640181.6259570287	40148	109027	116234	116234	197729	0.3702155986533445	720690	1131574	0.9081555189421583	0.9010083990970982	0.9154092783190472	9.138875143551234e-126
mean_skew	[0.05,0.2)	dELS	11150681	11148116	2075569.804	1840973.8854980003	11134829	-625822.7076987294	26637324.95422929	509217	860464	1341812	1341812	9808869	0.1203345338280236	8649053	65078365	1.034680766361514	1.0326322461558464	1.0367310482726348	1.1554575924933483e-252
mean_skew	[0.05,0.2)	non-cCRE	46523755	46499324	8207783.258999991	6971771.180948983	45962942	-7068293.57159667	57314339.16248618	591546	1247765	268865	268865	46254890	0.00577909070323322	1819742	401273892	1.330611090388686	1.3251329228675344	1.33606914891079	0
mean_skew	[0.05,0.2)	pELS	1700743	1699282	289315.886	213072.229398	1698953	41004.2370044001	4556654.496905348	98582	395931	286391	286391	1414352	0.16839169704064635	1775609	9089663	1.0436193010312964	1.0390510566671092	1.048229695914086	9.749439310983493e-81
mean_skew	[0.2,0.5)	PLS	90126	89984	14702.7	9000.873186	90065	49253.06397302752	556200.0747032574	15079	32706	37790	37790	52336	0.41930186627610233	720690	1131574	1.1411371899449188	1.125705942576672	1.1567283837867708	1.8512488631459383e-80
mean_skew	[0.2,0.5)	dELS	1965695	1965104	410725.89	456709.371276	1962468	-120462.2980002238	4755142.694265989	91144	173052	313389	313389	1652306	0.1594291077710428	8649053	65078365	1.4431794516460525	1.4375768621060192	1.4487830562827742	0
mean_skew	[0.2,0.5)	non-cCRE	5469817	5465663	1097316.176	1242129.829532	5413034	-927647.2686759564	6956406.747256499	67586	191483	54242	54242	5415575	0.009916602328743357	1819742	401273892	2.2457917605739164	2.226410687648918	2.265224068353032	0
mean_skew	[0.2,0.5)	pELS	341338	341026	62004.751	53277.346503	340898	46903.91304374405	1072494.9119457202	26040	88786	78155	78155	263183	0.22896659615981813	1775609	9089663	1.5441564206485163	1.5316209116901338	1.5568152041935186	0
mean_skew	[0.5,1.0)	PLS	22121	22082	3744.936	2420.061784	22112	15838.655993747749	153735.72575786046	4216	8118	9445	9445	12676	0.42696984765607343	720690	1131574	1.1721956092842467	1.141042180737968	1.2041472173446255	5.926136382128567e-31
mean_skew	[0.5,1.0)	dELS	430682	430562	100076.533	125478.202031	430015	-45979.97994193973	1053573.761858926	19199	40128	78481	78481	352201	0.18222493626387914	8649053	65078365	1.682854650786761	1.6698903372792664	1.6960044044017692	0
mean_skew	[0.5,1.0)	non-cCRE	980225	979565	205153.035	246698.509443	971731	-188892.2386758631	1270950.02350537	11061	39341	12659	12659	967566	0.012914381902114311	1819742	401273892	2.8983880930656687	2.847574375383687	2.949991398439811	0
mean_skew	[0.5,1.0)	pELS	79046	78971	14929.523	13674.780841	78929	14842.88599718642	274456.0389814463	6890	21373	20243	20243	58803	0.256091389823647	1775609	9089663	1.7711281539632966	1.7428458293195694	1.7998899936927186	0
mean_skew	[1.0,1.5)	PLS	3727	3724	594.125	325.030951	3724	3048.672004914376	27979.369480083056	753	1352	1497	1497	2230	0.40166353635631874	720690	1131574	1.0543575031575538	0.9868035347654667	1.1263047932964922	0.11406489208466376
mean_skew	[1.0,1.5)	dELS	75500	75485	17670.426	23087.171904	75365	-8887.001986477291	183639.34996868137	3317	7135	14191	14191	61309	0.18796026490066226	8649053	65078365	1.7429424690640385	1.7112211463018263	1.7751967945466862	0
mean_skew	[1.0,1.5)	non-cCRE	152273	152195	27095.078	27905.057914	150883	-36441.56995941722	206713.93752476756	1517	6824	2222	2222	150051	0.014592212670663874	1819742	401273892	3.269582801119736	3.1341813590709227	3.4099012279397116	0
mean_skew	[1.0,1.5)	pELS	14644	14615	2638.653	2330.116897	14627	2320.8770037000063	48006.28471395328	1222	4119	4030	4030	10614	0.2751980333242284	1775609	9089663	1.946242972635447	1.876286573816132	2.0182934010343527	6.0624883634772116e-254
mean_skew	[1.5,Inf)	PLS	821	817	130.861	74.659995	821	532.96800020081	4874.291246969352	138	277	332	332	489	0.4043848964677223	720690	1131574	1.0670740282525673	0.925590633325392	1.2290000547286655	0.37139141042175633
mean_skew	[1.5,Inf)	dELS	20982	20976	3825.131	3813.753021	20949	-3189.432994213538	48660.98806490829	810	2045	3633	3633	17349	0.1731484129253646	8649053	65078365	1.5762200549679413	1.5204355455284695	1.6337197266041743	2.4600833882076793e-124
mean_skew	[1.5,Inf)	non-cCRE	42349	42330	5854.89	3372.235668	41947	-12649.381987916076	61633.57712050998	371	1785	594	594	41755	0.014026305225625162	1819742	401273892	3.1428060473258927	2.893691148923659	3.4078263943255425	3.3748137571324216e-121
mean_skew	[1.5,Inf)	pELS	4265	4251	675.9159999999999	458.024594	4260	775.1930023320024	13229.274346676284	368	1201	1159	1159	3106	0.27174677608440795	1775609	9089663	1.9117564570092416	1.7855967457430904	2.045876649104395	3.470604205332377e-71
