ccre_class	af_class	mutrate_mean
PLS	SINGLETON	0.16574285914280892
PLS	ULTRARARE	0.2740788269067772
PLS	RARE	0.3311001792776641
PLS	LOW_FREQ	0.31337408177073256
PLS	COMMON	0.27220982392832704
pELS	SINGLETON	0.16169042580399012
pELS	ULTRARARE	0.34855782986447237
pELS	RARE	0.45098637538951136
pELS	LOW_FREQ	0.41344734488845347
pELS	COMMON	0.3442793211868628
dELS	SINGLETON	0.15777513729499795
dELS	ULTRARARE	0.4168803734582617
dELS	RARE	0.570598999636858
dELS	LOW_FREQ	0.5105205014868323
dELS	COMMON	0.4176744443205997
non-cCRE	SINGLETON	0.14200375465318557
non-cCRE	ULTRARARE	0.3546271044792313
non-cCRE	RARE	0.5327457839096669
non-cCRE	LOW_FREQ	0.47307658317205853
non-cCRE	COMMON	0.3958207356050426
