ccre_class	af_class	phyloP_mean
PLS	SINGLETON	0.5602468527601135
PLS	ULTRARARE	0.4039011743504835
PLS	RARE	0.23378921717708737
PLS	LOW_FREQ	0.12973001752893745
PLS	COMMON	-0.18602111713244318
pELS	SINGLETON	0.15749041286699514
pELS	ULTRARARE	0.01027112140783577
pELS	RARE	-0.09327799891356091
pELS	LOW_FREQ	-0.11366478748346374
pELS	COMMON	-0.2800466530906343
dELS	SINGLETON	0.1126346055338593
dELS	ULTRARARE	-0.06007273116764987
dELS	RARE	-0.16221623025249715
dELS	LOW_FREQ	-0.16262941875736397
dELS	COMMON	-0.30669297221669367
non-cCRE	SINGLETON	-0.047847951522916404
non-cCRE	ULTRARARE	-0.1677580668388729
non-cCRE	RARE	-0.25950194525176
non-cCRE	LOW_FREQ	-0.2556659748907596
non-cCRE	COMMON	-0.39201942189154454
