ccre_class	af_class	prop_conserved
PLS	SINGLETON	0.15655043159744056
PLS	ULTRARARE	0.1450195947058195
PLS	RARE	0.12640779963018994
PLS	LOW_FREQ	0.1099526981368858
PLS	COMMON	0.0742986875660882
pELS	SINGLETON	0.06387212643929224
pELS	ULTRARARE	0.05729383408975617
pELS	RARE	0.050613055513280485
pELS	LOW_FREQ	0.045899239684350265
pELS	COMMON	0.03392880211120749
dELS	SINGLETON	0.05411394741820564
dELS	ULTRARARE	0.047421461478817234
dELS	RARE	0.042329236105486584
dELS	LOW_FREQ	0.0399897761791528
dELS	COMMON	0.03074772665801232
non-cCRE	SINGLETON	0.0152769505803806
non-cCRE	ULTRARARE	0.013259468250479554
non-cCRE	RARE	0.01182985918550174
non-cCRE	LOW_FREQ	0.011538615182107035
non-cCRE	COMMON	0.009319469487632303
