skew_type	skew_bin	ccre_class	af_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	prop_conserved
mean_skew	(-Inf,-1.5)	PLS	COMMON	29	29	15.942	22.165076	29	9.544999695848666	133.8870632247309	4	13	15	NA
mean_skew	(-Inf,-1.5)	PLS	LOW_FREQ	79	79	62.291	127.826517	79	104.62299986556172	938.1268178649916	19	29	45	0.24050632911392406
mean_skew	(-Inf,-1.5)	PLS	RARE	219	219	146.008	261.459812	219	433.3240001916421	3230.2218585286923	82	73	128	0.3744292237442922
mean_skew	(-Inf,-1.5)	PLS	SINGLETON	2243	2243	559.442	514.489644	2240	8037.928998733987	56251.958801931025	1261	872	1588	0.5629464285714286
mean_skew	(-Inf,-1.5)	PLS	ULTRARARE	1512	1512	689.184	1064.355016	1512	4669.883005021608	32459.62472691866	777	565	1034	0.5138888888888888
mean_skew	(-Inf,-1.5)	dELS	COMMON	919	919	1051.126	2331.740744	917	-477.1810007130263	2552.618540133949	29	99	331	0.03162486368593239
mean_skew	(-Inf,-1.5)	dELS	LOW_FREQ	1261	1261	1713.685	3975.933189	1260	-585.4710012507859	3730.132418850892	47	124	505	0.0373015873015873
mean_skew	(-Inf,-1.5)	dELS	RARE	3410	3410	4828.577	11258.631981	3399	-1376.932999935583	12641.877834437058	168	319	1361	0.04942630185348632
mean_skew	(-Inf,-1.5)	dELS	SINGLETON	16186	16185	5894.013	10010.919199	16149	4076.143002013211	57855.92090339721	1408	1639	7587	0.08718806118025883
mean_skew	(-Inf,-1.5)	dELS	ULTRARARE	16875	16874	18914.673	42015.866169	16848	-3659.965001385657	59984.297445139215	965	1720	7190	0.057276828110161444
mean_skew	(-Inf,-1.5)	non-cCRE	COMMON	2191	2190	3109.447	7180.890799	2170	-1612.8919985534171	4822.079865427334	3	107	35	0.0013824884792626728
mean_skew	(-Inf,-1.5)	non-cCRE	LOW_FREQ	2839	2838	4586.357	11165.421247	2828	-2042.2009990839276	6656.457390883399	12	106	46	0.004243281471004243
mean_skew	(-Inf,-1.5)	non-cCRE	RARE	8081	8077	13785.595	33508.877868999996	8033	-6115.469991708524	19251.593040850465	30	344	142	0.0037345947964645835
mean_skew	(-Inf,-1.5)	non-cCRE	SINGLETON	26299	26288	11760.333	21276.997981	26003	-5409.295984567028	33915.84257844594	250	1215	742	0.009614275275929701
mean_skew	(-Inf,-1.5)	non-cCRE	ULTRARARE	33695	33679	45524.643	105168.079809	33417	-19571.613968515656	66933.97863081307	178	1477	644	0.005326630158302661
mean_skew	(-Inf,-1.5)	pELS	COMMON	99	99	101.257	210.521523	99	-39.74200042709708	294.35186485656345	3	24	39	0.030303030303030304
mean_skew	(-Inf,-1.5)	pELS	LOW_FREQ	144	144	142.335	306.747921	144	74.10199967771773	799.7737171954473	23	28	70	0.1597222222222222
mean_skew	(-Inf,-1.5)	pELS	RARE	458	458	472.013	1010.492583	458	119.3629995919764	2324.866703347221	51	120	221	0.11135371179039301
mean_skew	(-Inf,-1.5)	pELS	SINGLETON	2731	2731	886.278	1271.870876	2729	3346.723999000157	26225.340716436855	630	780	1559	0.23085379259802125
mean_skew	(-Inf,-1.5)	pELS	ULTRARARE	2509	2509	2131.015	4349.770019	2508	1655.4269994352946	18211.16387274172	418	642	1313	0.16666666666666666
mean_skew	[-0.05,0.05)	PLS	COMMON	14398	14373	3695.203	4282.883263	14374	-3368.7640061657853	59711.29288405781	916	5032	4237	0.06372617225546125
mean_skew	[-0.05,0.05)	PLS	LOW_FREQ	17796	17715	5207.09	6637.59102	17769	-261.56100929540077	77885.475261778	1480	5587	5680	0.08329112499296527
mean_skew	[-0.05,0.05)	PLS	RARE	47974	46320	14209.142	18262.80389	47907	1607.1070058539058	236117.36766955888	4534	15547	15022	0.09464170163024192
mean_skew	[-0.05,0.05)	PLS	SINGLETON	410874	410459	64281.244	36164.319818	410601	126643.11489157286	1821204.2884519496	46898	129768	130923	0.11421793906980256
mean_skew	[-0.05,0.05)	PLS	ULTRARARE	290392	287532	74107.85800000001	80997.76256999999	290134	51054.4510111612	1370325.536526631	31222	93008	94109	0.1076123446407522
mean_skew	[-0.05,0.05)	dELS	COMMON	938981	938586	330472.096	515974.981236	937525	-218549.5009614687	2098424.092600526	30578	79547	88180	0.03261566358230447
mean_skew	[-0.05,0.05)	dELS	LOW_FREQ	1083914	1083355	458929.567	794406.621311	1082117	-100426.30905400576	2501366.4612244745	45436	74612	105628	0.04198806598547107
mean_skew	[-0.05,0.05)	dELS	RARE	2732483	2731121	1288353.051	2309065.990995	2728028	-246960.4411281867	6615517.474588014	120021	189700	269307	0.04399551617505392
mean_skew	[-0.05,0.05)	dELS	SINGLETON	23788997	23784062	3446476.451999995	2401815.342230002	23760337	3335872.399961265	51672228.37692633	1287782	1587506	2178885	0.054198810395660636
mean_skew	[-0.05,0.05)	dELS	ULTRARARE	16275589	16271412	5691029.745	8877585.922664996	16253219	-58424.897215240235	38259450.73393784	788492	1121539	1555465	0.04851297456829936
mean_skew	[-0.05,0.05)	non-cCRE	COMMON	6756585	6750031	2358808.747	3866124.131883	6681957	-2354442.452265195	9994150.251554454	64855	184983	21676	0.009705988829320512
mean_skew	[-0.05,0.05)	non-cCRE	LOW_FREQ	7552031	7543392	3097836.881	5630403.286584999	7441417	-1627908.8452249817	9904319.690307802	89118	163847	25751	0.011975944904041797
mean_skew	[-0.05,0.05)	non-cCRE	RARE	18765390	18744677	8634668.970999999	16357172.362945013	18473431	-4049496.711595069	24954500.16118036	226952	414227	65318	0.012285319386528685
mean_skew	[-0.05,0.05)	non-cCRE	SINGLETON	158920606	158864337	21492458.530999996	12361508.164721144	157262336	-5664589.250048489	163127293.59466228	2418887	3286622	522025	0.01538122262154366
mean_skew	[-0.05,0.05)	non-cCRE	ULTRARARE	108282032	108222862	33545236.191000003	51317936.27781896	106879577	-14855524.864773652	129000141.11105186	1449166	2335951	372192	0.01355886728481345
mean_skew	[-0.05,0.05)	pELS	COMMON	124469	124362	37615.538	51894.260666	124304	-30890.98495918396	290726.89168623614	3993	29319	14918	0.03212286008495302
mean_skew	[-0.05,0.05)	pELS	LOW_FREQ	145894	145767	52105.611	79605.703385	145601	-13794.485994701856	353066.8444368415	6035	29750	18251	0.04144889114772563
mean_skew	[-0.05,0.05)	pELS	RARE	373150	372531	144149.94	228083.180678	372589	-28898.268015522262	956085.551604416	16992	77384	47582	0.04560521110392416
