ccre_class	mut_class	pleio_bin	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	mutrate_mean	mutrate_var	mutrate_se	mutrate_lci	mutrate_uci
Other cCREs	CpG ti (CGI)	0	37095	37095	65262.271	133589.6636609999	36773	-24703.96099716425	126237.84358816117	955	5688	819	1.7593279687289392	0.5060636487823461	0.003693557663130945	1.7520885957092025	1.7665673417486758
Other cCREs	CpG ti (CGI)	1	3664	3664	4169.849000000001	7019.496191000001	3664	-2505.9019931235816	13416.529362399913	120	524	424	1.13805922489083	0.620791992942451	0.013016532913113993	1.1125468203811264	1.1635716294005334
Other cCREs	CpG ti (CGI)	2	626	626	539.5920000000002	734.9222199999998	626	-537.3890004802961	2340.41461989865	13	73	206	0.8619680511182112	0.4316978485776349	0.02626048698409055	0.8104974966293937	0.9134386056070286
Other cCREs	CpG ti (CGI)	3	315	315	188.24800000000002	160.97569000000004	315	-275.86099907255254	1032.1263022786206	1	78	168	0.5976126984126985	0.15438310429683558	0.022138317302943945	0.5542215964989283	0.6410038003264686
Other cCREs	CpG ti (non-CGI)	0	2359907	2359907	5032478.303999995	11424852.777722005	2340594	-1904337.47306106	6466923.10407278	22775	101147	108020	2.132490095584273	0.29371620657741254	3.527901987589985e-4	2.1317986267947053	2.133181564373841
Other cCREs	CpG ti (non-CGI)	1	70397	70397	135225.78300000005	286459.460779	70234	-64249.02699854714	237105.5972887665	853	4758	10587	1.920902637896502	0.3793382792016582	0.0023213266585288992	1.9163528376457852	1.9254524381472187
Other cCREs	CpG ti (non-CGI)	2	11074	11074	16877.49500000001	31286.707235000005	11020	-9294.595004808623	40467.740456799576	191	828	3468	1.524064926855699	0.5025114289097411	0.0067362890193078265	1.5108618003778556	1.5372680533335423
Other cCREs	CpG ti (non-CGI)	3	9746	9746	10423.751000000013	14968.652583000006	9729	-8481.123002701788	38535.32019384268	197	1031	3862	1.0695414529037568	0.3919978238843516	0.006342034855112602	1.0571110645877362	1.0819718412197774
Other cCREs	non-CpG ti	0	15563739	15563739	2350741.838999999	485879.30935100006	15507962	80618.75614099998	22894377.40292869	458833	441803	595426	0.1510396594931333	0.008405696782622409	2.3239666437417508e-5	0.15099410974691596	0.15108520923935065
Other cCREs	non-CpG ti	1	366370	366370	54496.370999999985	10898.107688999995	365686	-2216.009953758329	643649.820573298	12280	21656	40936	0.1487468160602669	0.007620584754471404	1.4422289087954974e-4	0.148464139194143	0.1490294929263908
Other cCREs	non-CpG ti	2	69128	69128	10188.88	2039.853534000001	68894	-3213.7649856675434	144483.8215385327	2432	5149	15923	0.14739150561277628	0.007784211238620176	3.3556782292187316e-4	0.1467337926798494	0.14804921854570316
Other cCREs	non-CpG ti	3	54136	54136	7745.963000000002	1484.439387000001	54101	-4006.6909986715773	144974.13010265204	2448	5408	16565	0.14308340106398704	0.006947827772128874	3.5824607459878266e-4	0.14238123875777342	0.14378556337020065
Other cCREs	non-CpG tv	0	10665141	10665141	648778.2770000007	87074.48435300005	10604952	136334.83304501136	15986059.077458715	326455	316225	423385	0.06083166429773415	0.0044639097098466245	2.0458528813876816e-5	0.06079156558125895	0.06087176301420935
Other cCREs	non-CpG tv	1	258858	258858	16121.063999999998	2148.9719899999996	258148	-7186.65897899249	481587.7370403428	8846	15764	31253	0.062277634842268725	0.004423253970103786	1.3071942904926845e-4	0.06202142476133216	0.0625338449232053
Other cCREs	non-CpG tv	2	49628	49628	3067.952999999999	401.9028529999996	49369	-2813.492003773338	109803.36472641239	1807	3812	12257	0.061818993310228075	0.004276806718457806	2.9355969313291693e-4	0.06124361631168756	0.06239437030876859
Other cCREs	non-CpG tv	3	39357	39357	2403.074000000002	311.573806	39327	-5160.107991217403	103793.32184902571	1620	4125	12611	0.06105836318825118	0.004188587278680667	3.2622917009380795e-4	0.06041895401486732	0.061697772361635046
PLS	CpG ti (CGI)	0	10238	10238	10654.888000000004	16743.62337799999	10238	-1738.8449965676991	42295.57913478967	839	2704	2092	1.040719671810901	0.5523954122748929	0.007345434135879854	1.0263226209045766	1.0551167227172256
PLS	CpG ti (CGI)	1	23743	23743	12533.795000000007	11578.070931000004	23743	10826.151005513386	125825.74300505682	3705	8061	11440	0.5278943267489369	0.2089778307583948	0.002966759297944074	0.5220794785249665	0.5337091749729073
PLS	CpG ti (CGI)	2	26455	26455	12604.928	9929.927270000006	26441	12475.975003758911	137799.44538266992	4107	11033	15965	0.4764667548667549	0.14833666479590654	0.0023679382459043993	0.47182559590478224	0.48110791382872753
PLS	CpG ti (CGI)	3	92914	92914	37792.810999999994	23723.128991000012	92875	37323.33699381817	644946.4043178629	15528	40325	60002	0.40675044664958987	0.0898785556015464	9.835296652919376e-4	0.4048227285056177	0.40867816479356206
PLS	CpG ti (non-CGI)	0	56927	56927	101887.45599999998	207359.24240600003	56794	-34032.117994900094	242656.45270870632	2729	11575	11457	1.7897914170780118	0.4392008598757422	0.002777617515277993	1.784347286748067	1.7952355474079567
PLS	CpG ti (non-CGI)	1	23876	23876	33082.03000000002	59334.27352000001	23869	-9901.455003651674	118730.07141965024	1730	7808	9087	1.3855767297704817	0.5653018881018226	0.004865858023495702	1.3760396480444301	1.3951138114965334
PLS	CpG ti (non-CGI)	2	12029	12029	11364.569999999994	16364.693413999994	12012	-2139.620989467134	61813.174478767796	1126	4551	6245	0.9447643195610603	0.4678960068877585	0.0062367725645236065	0.932540245334594	0.9569883937875266
PLS	CpG ti (non-CGI)	3	16116	16116	8821.073999999993	8317.874659999996	16101	-1333.7749941461955	104065.05946201563	1803	6987	9409	0.5473488458674605	0.2165479358851093	0.0036656280475103843	0.5401642148943401	0.5545334768405809
PLS	non-CpG ti	0	271241	271241	39641.23500000002	7772.893064999999	270929	101710.98493231274	991837.2388967456	27610	51202	41073	0.14614765098196814	0.007297668808899187	1.6402664672323506e-4	0.1458261587543906	0.14646914320954568
PLS	non-CpG ti	1	143210	143210	21287.83999999999	4088.6994479999985	143185	111958.90097948874	814725.5502979533	25019	46037	45319	0.14864772013127567	0.006454277073931279	2.1229371169691907e-4	0.14823162445634971	0.14906381580620162
PLS	non-CpG ti	2	100851	100851	15330.162000000002	2941.1732899999997	100786	82949.87498058751	629536.7761482813	19162	40301	45371	0.15200803165065296	0.006057169454579694	2.4507259948503175e-4	0.1515276893556623	0.15248837394564363
PLS	non-CpG ti	3	294881	294881	44199.70200000001	8308.310987999994	294766	175205.66196305348	2142480.0183993727	54022	127912	150646	0.14988996239160887	0.005708150154298945	1.3913112572892499e-4	0.1496172653851802	0.15016265939803755
PLS	non-CpG tv	0	205864	205864	13437.168999999998	1793.2069650000005	205416	64744.56191919373	757684.1807535429	20150	40921	33364	0.06527206796720164	0.004450217653221928	1.4702812626256768e-4	0.06498389283972701	0.06556024309467627
PLS	non-CpG tv	1	133778	133778	10583.056999999993	1613.6203989999997	133750	92447.70498746843	751309.2354776365	22608	43096	48647	0.07910909865598224	0.005803720360787853	2.0828638858147948e-4	0.07870085733436255	0.07951733997760194
PLS	non-CpG tv	2	106231	106231	8933.893000000005	1351.8993270000008	106114	69807.92696475692	634602.7595230726	18465	42806	52943	0.0840987376566163	0.005653489629489971	2.3069206951927348e-4	0.08364658120035852	0.08455089411287407
