ccre_class	pleio	n_MR	sum_MR	sum_MR_sq	mutrate_mean	mutrate_var	mutrate_se	mutrate_lci	mutrate_uci
PLS	0	1680136	368260.089	344396.742329	0.21918469040601474	0.15693963207280578	3.056286733777794e-4	0.2185856582061943	0.21978372260583517
PLS	1	78866	17682.96	16137.171719999998	0.22421525118555524	0.15434454323078517	0.001398945297359859	0.2214733184027299	0.22695718396838058
PLS	2	29079	7532.888	8201.605412	0.2590490732143471	0.21494661795764922	0.0027187894396175924	0.25372024591269665	0.2643779005159976
PLS	3	56918	14851.573	16012.436495	0.2609292842334587	0.213244306312157	0.0019355923921198978	0.2571355231449037	0.2647230453220137
pELS	0	10399321	2651131.704	3295584.028056	0.25493315419343243	0.2519128808973155	1.5564052794810076e-4	0.25462809875865416	0.2552382096282107
pELS	1	240149	69462.223	92110.890409	0.2892463553876968	0.299895046259484	0.0011174915677092429	0.28705607191498667	0.2914366388604069
pELS	2	86604	31080.017	47099.661601	0.35887507505427	0.41506435305286205	0.002189216650410127	0.3545842104194662	0.36316593968907385
pELS	3	128629	45866.791	69519.484085	0.35658203826508794	0.413317553421815	0.0017925549527883448	0.3530686305576228	0.3600954459725531
dELS	0	71008983	20564098.878000017	30133648.317580026	0.2895985551292858	0.34049657260225835	6.924680274737218e-5	0.28946283139590095	0.2897342788626706
dELS	1	1467061	514814.766	837837.2038360001	0.3509157192509378	0.44795755452681335	5.525789623147643e-4	0.3498326644848008	0.35199877401707474
dELS	2	530618	245789.281	450377.94667900004	0.46321323626412975	0.6342146941917739	0.0010932693200167245	0.461070428396897	0.4653560441313625
dELS	3	701330	349458.642	655274.277994	0.49827989961929475	0.6860490025895762	9.890457027031294e-4	0.49634137004199663	0.5002184291965929
non-cCRE	0	397634508	101900433.17000107	144466794.34664643	0.25626657425316085	0.2976429795195242	2.7359350818821194e-5	0.256212949925556	0.2563201985807657
non-cCRE	1	2930856	1210088.29	2142160.581066	0.4128787937721949	0.560430586819526	4.3728408801833353e-4	0.41202171695967893	0.41373587058471084
non-cCRE	2	1042150	514778.28300000005	1010828.797489	0.49395795518879243	0.7259518259315343	8.346199943004515e-4	0.49232209999996357	0.4955938103776213
non-cCRE	3	1267097	671691.423	1341655.098209	0.5301026069827329	0.7778335057397058	7.834989017501661e-4	0.5285669491353026	0.5316382648301633
