skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	mutrate_mean	mutrate_var	mutrate_se	mutrate_lci	mutrate_uci
HepG2_skew	(-Inf,-1.5)	Other cCREs	11556	11556	11235.878	25067.856648	11497	-5007.820999178688	24799.8383544222	188	422	1762	0.9722982000692282	1.223992444171576	0.010291664067129534	0.9521265384976543	0.9924698616408021
HepG2_skew	(-Inf,-1.5)	PLS	2402	2402	989.763	1481.731455	2398	6917.068006702349	50427.097292126266	1125	853	1548	0.4120578684429642	0.44726856432998185	0.013645758664491732	0.3853121814605604	0.43880355542536803
HepG2_skew	(-Inf,-1.5)	dELS	35837	35835	30718.886	67024.773852	35806	-823.5440064760638	129973.26827850594	2608	3527	15166	0.8572313659829774	1.1355578848229233	0.005629255154909659	0.8461980258793546	0.8682647060866003
HepG2_skew	(-Inf,-1.5)	non-cCRE	60719	60695	69196.262	159064.95171	60400	-32316.409951079768	122939.81600262182	474	2536	1323	1.1400652772057007	1.32099871637018	0.0046652480489893814	1.1309213910296816	1.1492091633817199
HepG2_skew	(-Inf,-1.5)	pELS	5022	5022	3426.006	6783.001956	5021	3449.074000386057	36340.50353366959	840	1252	2475	0.6821995221027479	0.8854376220033567	0.013278243584482114	0.6561741646771629	0.7082248795283329
HepG2_skew	[-0.05,0.05)	Other cCREs	18989768	18975496	4709918.818999999	6387558.992514992	18904389	-436591.5625377595	29816900.65477528	576918	555010	688579	0.2482105774204795	0.27501297451515333	1.2038711952911395e-4	0.24797461866620243	0.24844653617475657
HepG2_skew	[-0.05,0.05)	PLS	805114	800453	168850.818	152984.763948	804429	179293.0919034885	3734150.218962664	88935	260039	268115	0.21094407541729496	0.1466255119126894	4.279931836545837e-4	0.21010520877733196	0.21178294205725795
HepG2_skew	[-0.05,0.05)	dELS	43808023	43795997	11246129.465999989	15172829.502446046	43748398	2339213.644780633	99116286.42195264	2206260	2970093	4147457	0.25678441493180276	0.28050506551493726	8.003006055828098e-5	0.25662755601310855	0.256941273850497
HepG2_skew	[-0.05,0.05)	non-cCRE	298342156	298179695	69826707.45299962	91479894.6860742	294785594	-29423331.298912425	335256834.6967356	4180676	6322109	1003583	0.2341766009687535	0.25195583465147436	2.906853715512046e-5	0.23411962663592947	0.23423357530157754
HepG2_skew	[-0.05,0.05)	pELS	6148105	6141876	1428679.647	1655394.428487	6142289	334910.1730318239	14469817.528018491	319200	1286956	787169	0.2326129096386837	0.21541713220421493	1.8727922259488807e-4	0.2322458423623977	0.2329799769149697
HepG2_skew	[-0.2,-0.05)	Other cCREs	4402635	4399000	1996792.003	3768242.369457	4376834	-578883.2551653585	7382679.022120494	111648	156640	236415	0.453919527847238	0.6505706153254637	3.8456542944158094e-4	0.4531657796055325	0.4546732760889435
HepG2_skew	[-0.2,-0.05)	PLS	431469	430319	114046.782	123101.236	431114	229942.11900707765	2449135.710751441	68057	151323	186022	0.26502846028179095	0.21583013716936528	7.082079250900942e-4	0.26364037274861435	0.26641654781496754
HepG2_skew	[-0.2,-0.05)	dELS	12593340	12589841	5718563.852	10355834.665274002	12573897	-316939.3876030037	31663236.77491384	636687	1041919	1881577	0.4542204982572854	0.6162386291726075	2.2124034993150805e-4	0.45378686717141964	0.45465412934315114
