skew_type	skew_bin	ccre_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	mutrate_mean	mutrate_var	mutrate_se	mutrate_lci	mutrate_uci
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG transition	4736	4736	10506.932	24953.325822	4725	-4493.735999196417	14144.774374725455	23	174	575	2.2185244932432435	0.34708338567239266	0.008560735240218767	2.201745452172415	2.235303534314072
HepG2_skew	(-Inf,-1.5)	Other cCREs	non-CpG transition	3258	3258	480.069	85.293783	3239	486.1010002166733	3356.2439263793303	86	129	630	0.14735082872928176	0.00446890328607996	0.0011711834803535906	0.14505530910778872	0.1496463483507748
HepG2_skew	(-Inf,-1.5)	Other cCREs	non-CpG transversion	3562	3562	248.877	29.237043	3533	-1000.1860001989412	7298.820053317425	79	119	557	0.0698700168444694	0.0033271560847511904	9.664727867870866e-4	0.06797573018236672	0.07176430350657209
HepG2_skew	(-Inf,-1.5)	PLS	CpG transition	745	745	822.058	1457.023354	745	1559.4830004260878	13304.59630437363	275	251	426	1.1034335570469798	0.7391625953777874	0.03149864374150222	1.0416962153136353	1.1651708987803242
HepG2_skew	(-Inf,-1.5)	PLS	non-CpG transition	679	679	96.819	16.573147	676	2271.9640045268466	14983.504629438992	355	248	451	0.14259057437407954	0.004082109409551611	0.0024519264193202947	0.13778479859221177	0.14739635015594732
HepG2_skew	(-Inf,-1.5)	PLS	non-CpG transversion	978	978	70.886	8.134954	977	3085.6210017494177	22138.99635831363	495	354	671	0.07248057259713701	0.0030676521298662707	0.0017710614386562552	0.06900929217737076	0.07595185301690327
HepG2_skew	(-Inf,-1.5)	dELS	CpG transition	13226	13226	28477.743	66692.894643	13216	-10226.427000073136	46943.11372587773	345	1344	4415	2.153163692726448	0.4064765493085262	0.005543748100273289	2.1422979464499123	2.1640294390029835
HepG2_skew	(-Inf,-1.5)	dELS	non-CpG transition	11518	11518	1579.999	265.198997	11508	7349.822994963615	44251.935861547565	1346	1082	5711	0.1371765063379059	0.004207715044075285	6.044141502461892e-4	0.13599185460342336	0.13836115807238844
HepG2_skew	(-Inf,-1.5)	dELS	non-CpG transversion	11091	11091	661.144	66.680212	11080	2052.6669986118804	38777.753386048375	917	1101	5039	0.05961085564872419	0.002458868571053191	4.7084970786289267e-4	0.05868799022131292	0.06053372107613546
HepG2_skew	(-Inf,-1.5)	non-cCRE	CpG transition	28895	28895	65689.587	158505.422111	28841	-28279.81096833071	83327.74116801748	94	1154	469	2.273389409932514	0.3172773130186007	0.0033136616382482514	2.2668946331215474	2.2798841867434807
HepG2_skew	(-Inf,-1.5)	non-cCRE	non-CpG transition	16106	16106	2454.65	443.864196	15954	1530.2490145500046	11500.139186712957	205	675	426	0.15240593567614555	0.0043316340262371505	5.185994249957597e-4	0.15138948080315387	0.15342239054913723
HepG2_skew	(-Inf,-1.5)	non-cCRE	non-CpG transversion	15694	15694	1052.025	115.665403	15581	-5546.755997052998	28037.16828568309	175	704	428	0.06703357971199185	0.002876722188459298	4.281363846814066e-4	0.0661944323980163	0.0678727270259674
HepG2_skew	(-Inf,-1.5)	pELS	CpG transition	1786	1786	3106.37	6735.770852000001	1786	-253.1150024211965	9811.286608787446	163	426	738	1.7392889137737961	0.7467204195633017	0.02044740911482742	1.6992119919087343	1.779365835638858
HepG2_skew	(-Inf,-1.5)	pELS	non-CpG transition	1582	1582	221.329	37.826557	1582	2089.238999491326	13362.51528116549	351	392	868	0.1399045512010114	0.004340052237337981	0.0016563199726102134	0.13665816405469539	0.1431509383473274
HepG2_skew	(-Inf,-1.5)	pELS	non-CpG transversion	1654	1654	98.307	9.404547	1653	1612.950003315928	13166.701643716648	326	434	869	0.059435912938331316	0.0021546162775386954	0.0011413457228076863	0.05719887532162825	0.061672950555034384
HepG2_skew	[-0.05,0.05)	Other cCREs	CpG transition	1287107	1287107	2691714.7970000003	6004568.707237	1277362	-990104.5245890428	3479245.1514642523	14341	55412	53076	2.0912906207487025	0.29167045957395993	4.7603501302416007e-4	2.0903575921231754	2.0922236493742297
HepG2_skew	[-0.05,0.05)	Other cCREs	non-CpG transition	10696534	10696534	1596038.9249999998	323196.491277	10661305	313113.8054985445	15708232.834402312	333917	298257	379757	0.14921084951443148	0.007951190111753968	2.7264311233740655e-5	0.14915741146441333	0.14926428756444962
HepG2_skew	[-0.05,0.05)	Other cCREs	non-CpG transversion	6991855	6991855	422165.097	59793.794001	6956718	242649.92555507252	10622375.296778724	228653	200697	255458	0.06037955549707481	0.004906231322587762	2.6489746597110354e-5	0.060327635593744475	0.06043147540040515
HepG2_skew	[-0.05,0.05)	PLS	CpG transition	102351	102351	90718.512	139575.289362	102256	-26901.25298965337	481571.657178494	8377	35574	45357	0.8863470996863734	0.5780869502973771	0.0023765696013367914	0.8816890232677532	0.8910051761049935
HepG2_skew	[-0.05,0.05)	PLS	non-CpG transition	375131	375131	53976.547	9959.200621	374882	133857.96594931747	1698535.5052231231	44141	115665	110116	0.14388719407353698	0.005845084976918962	1.2482567905629105e-4	0.14364253574258665	0.1441318524044873
HepG2_skew	[-0.05,0.05)	PLS	non-CpG transversion	322971	322971	24155.759	3450.273965	322632	72835.12694189524	1542724.6759552783	36219	106582	112303	0.07479234668128097	0.005089042522595062	1.255267474187237e-4	0.07454631425634027	0.07503837910622167
HepG2_skew	[-0.05,0.05)	dELS	CpG transition	3439486	3439486	6743134.32	14337567.125098003	3433931	-2760015.88084435	11901401.27352788	69064	299216	443783	1.9605064012471631	0.3249350197103827	3.073629295100062e-4	1.9599039699053236	1.9611088325890027
HepG2_skew	[-0.05,0.05)	dELS	non-CpG transition	24623267	24623267	3582360.915999992	711112.064374	24594573	2996638.090270299	52527901.9386195	1283134	1619468	2209880	0.14548682414888292	0.007713264022330669	1.7698899431079487e-5	0.14545213430599802	0.14552151399176783
HepG2_skew	[-0.05,0.05)	dELS	non-CpG transversion	15733244	15733244	920634.2300000006	124150.31297399996	15708997	2105462.8453581273	34676033.81913172	854029	1050429	1492615	0.0585152197474342	0.0044669238693217945	1.684981497756157e-5	0.05848219411007818	0.05854824538479022
HepG2_skew	[-0.05,0.05)	non-cCRE	CpG transition	17148487	17148487	37072944.811	84862732.92111894	16981934	-13731198.207667504	41207578.16639428	89771	546750	106107	2.1618784684036556	0.27498239634105487	1.266308557825907e-4	2.1616302719263216	2.1621266648809896
HepG2_skew	[-0.05,0.05)	non-cCRE	non-CpG transition	169828402	169828402	25920344.789000217	5488061.027434892	168102794	-10239021.320740849	176670998.10087416	2406510	3481673	520357	0.15262667777442915	0.009020428305875954	7.288000906527953e-6	0.15261239329265236	0.15264096225620594
HepG2_skew	[-0.05,0.05)	non-cCRE	non-CpG transversion	111202806	111202806	6833417.852999997	1129100.7375210056	109608125	-5426857.182517866	117281421.67084388	1684084	2288334	374053	0.06145004877844537	0.006377418961065382	7.572941488782687e-6	0.06143520581312736	0.061464891743763385
HepG2_skew	[-0.05,0.05)	pELS	CpG transition	551565	551565	812346.003	1544640.487155	550992	-362374.1378806477	1799682.8987599043	15038	130831	100878	1.4728019417475728	0.6313242281325835	0.0010698622858034484	1.470705011667398	1.4748988718277476
HepG2_skew	[-0.05,0.05)	pELS	non-CpG transition	3316664	3316664	475898.374	91458.76156	3314142	444783.0128972807	7341659.1550667165	179130	668665	382213	0.14348706230115563	0.006986993228085982	4.589806987032412e-5	0.1433971020842098	0.14357702251810145
HepG2_skew	[-0.05,0.05)	pELS	non-CpG transversion	2273647	2273647	140435.27	19295.179772	2271159	254089.93801053544	5317012.917812408	124917	484894	303543	0.06176652312342241	0.00467134348099965	4.5327251101556074e-5	0.06167768171126336	0.06185536453558146
HepG2_skew	[-0.2,-0.05)	Other cCREs	CpG transition	744147	744147	1603627.619	3700803.074647	738416	-637696.4046623487	2142724.444921285	6663	34861	39982	2.1549876825412184	0.32924360047503953	6.651648687640068e-4	2.153683959398441	2.1562914056839957
HepG2_skew	[-0.2,-0.05)	Other cCREs	non-CpG transition	2035369	2035369	289668.414	53316.981322	2027006	105977.17127081088	2784962.3780737915	59748	66602	108628	0.1423173950276338	0.005941002914329907	5.402668303670241e-5	0.14221150272888186	0.14242328732638573
HepG2_skew	[-0.2,-0.05)	Other cCREs	non-CpG transversion	1619484	1619484	103495.97	14122.313488	1609031	-46598.90777532069	2453448.211911303	45236	54939	87716	0.06390675672004169	0.00463618433271931	5.350471026798051e-5	0.06380188748791644	0.06401162595216693
HepG2_skew	[-0.2,-0.05)	PLS	CpG transition	83577	83577	73873.001	116163.195961	83496	740.6230174676778	422589.5366504326	9356	29303	39725	0.8838915132153583	0.6086373758178224	0.0026985838701204666	0.8786022888299222	0.8891807376007944
HepG2_skew	[-0.2,-0.05)	PLS	non-CpG transition	171107	171107	26001.589	4878.573575	170999	134839.1409942531	1013480.6734469738	30783	58992	68576	0.15196098932247074	0.005419718692528188	1.779731487610768e-4	0.15161216195089902	0.15230981669404245
HepG2_skew	[-0.2,-0.05)	PLS	non-CpG transversion	175635	175635	14172.192	2059.466464	175471	94515.8259976993	1009632.2046977116	27857	62427	77606	0.08069116064565718	0.005214798060893123	1.7231108423350477e-4	0.08035343092055951	0.08102889037075485
HepG2_skew	[-0.2,-0.05)	dELS	CpG transition	2282724	2282724	4614225.945	10169934.708803002	2278969	-1947511.427793377	8293575.257932477	45955	217807	378793	2.021368306023856	0.36924525084604093	4.0218952631211694e-4	2.020580014552284	2.0221565974954276
HepG2_skew	[-0.2,-0.05)	dELS	non-CpG transition	5844845	5844845	824312.064	148727.70256	5837138	1190852.9194384925	12857458.004128989	344510	465996	839303	0.1410323223284792	0.00555584680287413	3.083107244391047e-5	0.14097189342648914	0.14109275123046927
HepG2_skew	[-0.2,-0.05)	dELS	non-CpG transversion	4462272	4462272	280025.843	37172.253911	4454580	440629.3187531148	10508712.30949216	246205	357825	662930	0.06275409544734162	0.004392266949195982	3.137374367378859e-5	0.06269260290974099	0.06281558798494224
HepG2_skew	[-0.2,-0.05)	non-cCRE	CpG transition	7378352	7378352	16290735.709	38183014.216301	7326500	-6618876.041429892	19733487.68986256	33846	292592	74682	2.207909802758123	0.30014011941937996	2.0168905927848017e-4	2.207514492201937	2.208305113314309
HepG2_skew	[-0.2,-0.05)	non-cCRE	non-CpG transition	20134030	20134030	2786883.857999996	521584.377074	19909725	-1834.3690599819856	21018700.499730416	348000	560716	157054	0.13841659409467433	0.0067464592065609235	1.830512056424238e-5	0.1383807160583684	0.13845247213098025
HepG2_skew	[-0.2,-0.05)	non-cCRE	non-CpG transversion	16673842	16673842	1030495.8640000008	147407.5606619999	16425802	-1105876.9490460318	19217423.397097524	269220	468451	136125	0.06180314435029435	0.005021019213678873	1.7353141205072457e-5	0.06176913219353241	0.0618371565070563
HepG2_skew	[-0.2,-0.05)	pELS	CpG transition	373279	373279	558984.62	1096030.038916	372824	-228880.82093714105	1283793.3673422164	12795	92499	83857	1.4974981716089037	0.6937231567585073	0.001363252544091262	1.494826196622485	1.5001701465953226
HepG2_skew	[-0.2,-0.05)	pELS	non-CpG transition	879090	879090	126444.618	22932.170856	878270	282754.4499710128	2370068.652280529	68403	205969	173562	0.14383580520765793	0.005397527908772928	7.835753735503225e-5	0.14368222443444206	0.1439893859808738
