ccre_class	pleio	n_phyloP	sum_phyloP	sum_phyloP_sq	phyloP_mean	phyloP_var	phyloP_se	phyloP_lci	phyloP_uci
PLS	0	1685872	602663.5367827477	8761937.737405347	0.35747882210674814	5.069485320139894	0.0017340820232664609	0.35408002134114586	0.3608776228723504
PLS	1	78909	93066.30896439418	691418.9310643433	1.1794131083196362	7.371309706605307	0.009665160257192497	1.1604693942155389	1.1983568224237335
PLS	2	29083	40206.08798499103	293574.66373956343	1.3824601308321365	8.183458843394002	0.016774471637498976	1.3495821664226384	1.4153380952416346
PLS	3	56914	113947.6889776405	786010.4452601654	2.0021029795417737	9.802249708258781	0.013123610312364123	1.97638070332954	2.0278252557540073
pELS	0	10398564	631799.0111236498	26613714.41233107	0.060758294234054794	2.5556730657992297	4.957536991215212e-4	0.05978661698377661	0.06172997148433298
pELS	1	240154	75025.98300008838	945281.4254783064	0.31240780082817016	3.8385642616343625	0.003997969673451892	0.3045717802682045	0.32024382138813584
pELS	2	86554	25972.909998001538	383851.8592313401	0.3000775238348492	4.3448288645379645	0.007085047495400757	0.2861908307438637	0.3139642169258347
pELS	3	128562	57705.97401719261	658418.538009217	0.44885715854756936	4.919974163864936	0.006186216301766306	0.4367321745961074	0.4609821424990313
dELS	0	70927746	1137909.342452251	166323250.82679895	0.01604321872081274	2.3447100298808814	1.8181783883616418e-4	0.01568685575669386	0.01639958168493162
dELS	1	1464916	62242.09888420335	4072659.3822290376	0.04248851052497436	2.778328304478758	0.001377163235862454	0.03978927058268395	0.045187750467264774
dELS	2	529905	-17088.957100636086	1617524.2821393867	-0.03224909578251967	3.051445504704673	0.0023996825890634883	-0.03695247365708411	-0.027545717907955236
dELS	3	700179	-40037.06895050476	2184293.946263666	-0.057181190739089234	3.1163569534995004	0.002109692008744728	-0.0613161870762289	-0.05304619440194957
non-cCRE	0	393117012	-45805300.18291857	464810607.14197135	-0.11651823448159138	1.168795655181552	5.4526594604004664e-5	-0.11662510660701522	-0.11641136235616753
non-cCRE	1	2902743	-638013.3368505089	4096825.9283659006	-0.2197967015510877	1.3630535202165937	6.852549180601275e-4	-0.22113980119048554	-0.21845360191168983
non-cCRE	2	1034479	-289843.81352512154	1574416.9502513492	-0.2801833710738657	1.4434405888699189	0.0011812412845294512	-0.2824986039915434	-0.277868138156188
non-cCRE	3	1256012	-375153.66937867	1910602.35594033	-0.2986863735208501	1.4319532766198506	0.0010677449582715205	-0.30077915363906227	-0.2965935934026379
