skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	phyloP_mean	phyloP_var	phyloP_se	phyloP_lci	phyloP_uci
HepG2_skew	(-Inf,-1.5)	Other cCREs	11556	11556	11235.878	25067.856648	11497	-5007.820999178688	24799.8383544222	188	422	1762	-0.43557632418706516	1.9675147957039971	0.013081776884902994	-0.46121660688147503	-0.4099360414926553
HepG2_skew	(-Inf,-1.5)	PLS	2402	2402	989.763	1481.731455	2398	6917.068006702349	50427.097292126266	1125	853	1548	2.8845154323195783	12.713687058985947	0.07281337627373921	2.7418012148230493	3.0272296498161073
HepG2_skew	(-Inf,-1.5)	dELS	35837	35835	30718.886	67024.773852	35806	-823.5440064760638	129973.26827850594	2608	3527	15166	-0.023000167750546384	3.629502209976457	0.010068056149102113	-0.04273355780278652	-0.003266777698306241
HepG2_skew	(-Inf,-1.5)	non-cCRE	60719	60695	69196.262	159064.95171	60400	-32316.409951079768	122939.81600262182	474	2536	1323	-0.535039899852314	1.7491886829055079	0.005381456822417898	-0.5455875552242531	-0.524492244480375
HepG2_skew	(-Inf,-1.5)	pELS	5022	5022	3426.006	6783.001956	5021	3449.074000386057	36340.50353366959	840	1252	2475	0.6869296953567132	6.767177725362875	0.03671205374985632	0.6149740700069949	0.7588853207064316
HepG2_skew	[-0.05,0.05)	Other cCREs	18989768	18975496	4709918.818999999	6387558.992514992	18904389	-436591.5625377595	29816900.65477528	576918	555010	688579	-0.023094719566856114	1.5767142366668108	2.887986587042296e-4	-0.023660764937916405	-0.022528674195795823
HepG2_skew	[-0.05,0.05)	PLS	805114	800453	168850.818	152984.763948	804429	179293.0919034885	3734150.218962664	88935	260039	268115	0.22288243201511693	4.59231769480389	0.002389307811855253	0.21819938870388064	0.2275654753263532
HepG2_skew	[-0.05,0.05)	dELS	43808023	43795997	11246129.465999989	15172829.502446046	43748398	2339213.644780633	99116286.42195264	2206260	2970093	4147457	0.053469698359712124	2.262739121023504	2.2742393285789543e-4	0.05302394745131065	0.0539154492681136
HepG2_skew	[-0.05,0.05)	non-cCRE	298342156	298179695	69826707.45299962	91479894.6860742	294785594	-29423331.298912425	335256834.6967356	4180676	6322109	1003583	-0.09981264993197878	1.127327867851278	6.184035777508613e-5	-0.09993385703321794	-0.09969144283073961
HepG2_skew	[-0.05,0.05)	pELS	6148105	6141876	1428679.647	1655394.428487	6142289	334910.1730318239	14469817.528018491	319200	1286956	787169	0.054525303682686356	2.3527969462075875	6.18909431118222e-4	0.05331224119769464	0.05573836616767807
HepG2_skew	[-0.2,-0.05)	Other cCREs	4402635	4399000	1996792.003	3768242.369457	4376834	-578883.2551653585	7382679.022120494	111648	156640	236415	-0.13226072891166504	1.669269880947609	6.175658051653398e-4	-0.1334711578897891	-0.13105029993354098
HepG2_skew	[-0.2,-0.05)	PLS	431469	430319	114046.782	123101.236	431114	229942.11900707765	2449135.710751441	68057	151323	186022	0.5333673204931356	5.396478646823739	0.003538010914103414	0.526432819101493	0.5403018218847783
HepG2_skew	[-0.2,-0.05)	dELS	12593340	12589841	5718563.852	10355834.665274002	12573897	-316939.3876030037	31663236.77491384	636687	1041919	1881577	-0.025206138367683758	2.5175369636313003	4.474587227787046e-4	-0.026083157464330018	-0.024329119271037498
HepG2_skew	[-0.2,-0.05)	non-cCRE	44212274	44186224	20108115.43099999	38852006.15403698	43677507	-7731343.610536332	59986480.17665458	651121	1322863	368472	-0.177009727467649	1.342062826370965	1.7529014591098605e-4	-0.17735329615363454	-0.17666615878166347
HepG2_skew	[-0.2,-0.05)	pELS	1989244	1987274	736103.468	1126155.892348	1986853	188073.7760062287	5754682.1046505375	134547	479353	416952	0.09465912979280737	2.887421511354112	0.0012055139091561174	0.09229632253086138	0.09702193705475336
HepG2_skew	[-0.5,-0.2)	Other cCREs	816552	816006	440674.888	878018.81569	811342	-157750.53380496005	1466481.7590692933	19356	32296	76067	-0.19443161306201337	1.769675226964003	0.00147687863045541	-0.19732629517770597	-0.19153693094632077
HepG2_skew	[-0.5,-0.2)	PLS	145494	145336	38138.505	40995.736153	145382	175031.83092714587	1264248.6377723897	37558	53674	77034	1.20394430484617	7.246614494059434	0.007060122874815536	1.1901064640115315	1.2177821456808084
HepG2_skew	[-0.5,-0.2)	dELS	2549562	2548981	1339908.153	2553660.241157	2545224	-104108.42022367191	7268760.884721668	144080	240324	599522	-0.04090344119954547	2.8541713209713535	0.0010589538024182107	-0.042978990652285165	-0.03882789174680577
HepG2_skew	[-0.5,-0.2)	non-cCRE	5198450	5195580	3095622.038	6356530.14576	5143990	-1386773.8141669442	8074681.761407025	72428	198562	85790	-0.26959107894201667	1.497052173439178	5.394713809514335e-4	-0.2706484428486815	-0.26853371503535184
HepG2_skew	[-0.5,-0.2)	pELS	432363	431976	173827.49	275999.236208	431749	115213.27901510918	1698127.7403200911	43562	114157	136872	0.26685245134351016	3.861935189943174	0.0029907962020099886	0.2609904907875706	0.2727144118994497
HepG2_skew	[-1.0,-0.5)	Other cCREs	198416	198341	123402.297	254846.306353	197208	-35582.48696146567	418986.6620866331	5812	8107	30790	-0.1804312551289282	2.092047793960494	0.0032570433332077416	-0.18681506006201537	-0.174047450195841
