ccre_class	pleio	n_phyloP	n_conserved	frac_conserved	frac_conserved_se	frac_conserved_lci	frac_conserved_uci
PLS	0	1685872	224178	0.13297450814771228	2.6150971701482847e-4	0.13246194910236322	0.13348706719306133
PLS	1	78909	20221	0.2562572076695941	0.0015541257630950279	0.25321112117392786	0.2593032941652603
PLS	2	29083	8263	0.2841178695457828	0.0026445417883861322	0.27893456764054597	0.2893011714510196
PLS	3	56914	21110	0.3709104965386372	0.0020247957779591518	0.36694189681383726	0.3748790962634372
pELS	0	10398564	595996	0.05731522160175193	7.20827838233351e-5	0.0571739393454582	0.05745650385804567
pELS	1	240154	24898	0.10367514178402192	6.220497605054899e-4	0.10245592425343115	0.10489435931461268
pELS	2	86554	9457	0.10926127042077778	0.0010603877925404652	0.10718291034739846	0.1113396304941571
pELS	3	128562	16728	0.13011620852195827	9.382963118870448e-4	0.12827714775065965	0.13195526929325688
dELS	0	70927746	3521648	0.04965120419870667	2.5792790344556673e-5	0.04960065032963133	0.049701758067782
dELS	1	1464916	89165	0.060866971212001235	1.9753681261280197e-4	0.060479799059280144	0.061254143364722326
dELS	2	529905	31765	0.05994470707013521	3.261017368945124e-4	0.05930554766582197	0.06058386647444845
dELS	3	700179	41483	0.059246278451653075	2.8213955020613916e-4	0.058693284933249046	0.059799271970057105
non-cCRE	0	393117012	5548014	0.014112881993516983	5.949226886388406e-6	0.014101221508819662	0.014124542478214304
non-cCRE	1	2902743	38961	0.013422132100568324	6.754172457821364e-5	0.013289750320395026	0.013554513880741623
non-cCRE	2	1034479	11923	0.011525608543044373	1.0494307953273099e-4	0.01131992010716022	0.011731296978928525
non-cCRE	3	1256012	13038	0.010380474071903772	9.043693338612294e-5	0.01020321768246697	0.010557730461340573
