skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	frac_conserved	frac_conserved_se	frac_conserved_lci	frac_conserved_uci
HepG2_skew	(-Inf,-1.5)	Other cCREs	11556	11556	11235.878	25067.856648	11497	-5007.820999178688	24799.8383544222	188	422	1762	0.01635209185004784	0.001182807935675454	0.01403378829612395	0.01867039540397173
HepG2_skew	(-Inf,-1.5)	PLS	2402	2402	989.763	1481.731455	2398	6917.068006702349	50427.097292126266	1125	853	1548	0.4691409507923269	0.010190997496605153	0.4491665956989808	0.48911530588567304
HepG2_skew	(-Inf,-1.5)	dELS	35837	35835	30718.886	67024.773852	35806	-823.5440064760638	129973.26827850594	2608	3527	15166	0.07283695470032955	0.0013733335911194757	0.07014522086173539	0.07552868853892372
HepG2_skew	(-Inf,-1.5)	non-cCRE	60719	60695	69196.262	159064.95171	60400	-32316.409951079768	122939.81600262182	474	2536	1323	0.007847682119205298	3.590388199731361e-4	0.007143966032057952	0.008551398206352645
HepG2_skew	(-Inf,-1.5)	pELS	5022	5022	3426.006	6783.001956	5021	3449.074000386057	36340.50353366959	840	1252	2475	0.16729735112527386	0.0052673768990723685	0.15697329240309202	0.1776214098474557
HepG2_skew	[-0.05,0.05)	Other cCREs	18989768	18975496	4709918.818999999	6387558.992514992	18904389	-436591.5625377595	29816900.65477528	576918	555010	688579	0.030517675022451136	3.956073458270759e-5	0.03044013598266903	0.030595214062233242
HepG2_skew	[-0.05,0.05)	PLS	805114	800453	168850.818	152984.763948	804429	179293.0919034885	3734150.218962664	88935	260039	268115	0.11055668057715473	3.4962926301306706e-4	0.10987140722164912	0.11124195393266034
HepG2_skew	[-0.05,0.05)	dELS	43808023	43795997	11246129.465999989	15172829.502446046	43748398	2339213.644780633	99116286.42195264	2206260	2970093	4147457	0.05043064662619189	3.308487788216605e-5	0.05036580026554285	0.05049549298684094
HepG2_skew	[-0.05,0.05)	non-cCRE	298342156	298179695	69826707.45299962	91479894.6860742	294785594	-29423331.298912425	335256834.6967356	4180676	6322109	1003583	0.014182090594291388	6.886766393855695e-6	0.014168592532159432	0.014195588656423345
HepG2_skew	[-0.05,0.05)	pELS	6148105	6141876	1428679.647	1655394.428487	6142289	334910.1730318239	14469817.528018491	319200	1286956	787169	0.051967597096131427	8.955973204073604e-5	0.05179206002133158	0.05214313417093127
HepG2_skew	[-0.2,-0.05)	Other cCREs	4402635	4399000	1996792.003	3768242.369457	4376834	-578883.2551653585	7382679.022120494	111648	156640	236415	0.02550884954741258	7.536233537924743e-5	0.025361139370069254	0.025656559724755907
HepG2_skew	[-0.2,-0.05)	PLS	431469	430319	114046.782	123101.236	431114	229942.11900707765	2449135.710751441	68057	151323	186022	0.15786311741209982	5.553101586569745e-4	0.15677470950113215	0.1589515253230675
HepG2_skew	[-0.2,-0.05)	dELS	12593340	12589841	5718563.852	10355834.665274002	12573897	-316939.3876030037	31663236.77491384	636687	1041919	1881577	0.05063561440021339	6.183146841598835e-5	0.050514424722118055	0.05075680407830873
HepG2_skew	[-0.2,-0.05)	non-cCRE	44212274	44186224	20108115.43099999	38852006.15403698	43677507	-7731343.610536332	59986480.17665458	651121	1322863	368472	0.014907467131766472	1.8336292271404424e-5	0.01487152799891452	0.014943406264618424
HepG2_skew	[-0.2,-0.05)	pELS	1989244	1987274	736103.468	1126155.892348	1986853	188073.7760062287	5754682.1046505375	134547	479353	416952	0.06771864853615239	1.7825625225150287e-4	0.06736926628173945	0.06806803079056534
HepG2_skew	[-0.5,-0.2)	Other cCREs	816552	816006	440674.888	878018.81569	811342	-157750.53380496005	1466481.7590692933	19356	32296	76067	0.02385677063433176	1.6941841781768134e-4	0.023524710535409103	0.024188830733254417
HepG2_skew	[-0.5,-0.2)	PLS	145494	145336	38138.505	40995.736153	145382	175031.83092714587	1264248.6377723897	37558	53674	77034	0.2583400971234403	0.0011480029119861751	0.2560900114159474	0.2605901828309332
HepG2_skew	[-0.5,-0.2)	dELS	2549562	2548981	1339908.153	2553660.241157	2545224	-104108.42022367191	7268760.884721668	144080	240324	599522	0.05660798420885549	1.4485114695080999e-4	0.0563240759608319	0.056891892456879076
HepG2_skew	[-0.5,-0.2)	non-cCRE	5198450	5195580	3095622.038	6356530.14576	5143990	-1386773.8141669442	8074681.761407025	72428	198562	85790	0.014080120684526992	5.194861131781673e-5	0.013978301406344072	0.014181939962709913
HepG2_skew	[-0.5,-0.2)	pELS	432363	431976	173827.49	275999.236208	431749	115213.27901510918	1698127.7403200911	43562	114157	136872	0.10089658574773769	4.583818240011271e-4	0.09999815737269548	0.1017950141227799
HepG2_skew	[-1.0,-0.5)	Other cCREs	198416	198341	123402.297	254846.306353	197208	-35582.48696146567	418986.6620866331	5812	8107	30790	0.0294714210376861	3.8083989642816976e-4	0.028724974840686885	0.030217867234685312
