ccre_class	n_cell_lines	n	prop
PLS	1 cell line	78960	0.47850195436778475
PLS	2 cell lines	29105	0.17637790503893586
PLS	3 cell lines	56950	0.3451201405932794
pELS	1 cell line	240450	0.5274298624668231
pELS	2 cell lines	86676	0.19012481080962512
pELS	3 cell lines	128764	0.2824453267235517
dELS	1 cell line	1467524	0.5435833763624551
dELS	2 cell lines	530721	0.19658357416059877
dELS	3 cell lines	701477	0.25983304947694613
non-cCRE	1 cell line	2935090	0.5595387178434762
non-cCRE	2 cell lines	1042751	0.19878762067602787
non-cCRE	3 cell lines	1267712	0.24167366148049596
