ccre_class	mut_class	pleio_bin	n	pleio_set	total	prop
Other cCREs	CpG ti (CGI)	0	37095	trained	28625882	0.0012958552683197675
Other cCREs	CpG ti (CGI)	1	3664	trained	699289	0.005239607658636129
Other cCREs	CpG ti (CGI)	2	626	trained	130456	0.004798552768749617
Other cCREs	CpG ti (CGI)	3	315	trained	103554	0.0030418911872066748
Other cCREs	CpG ti (non-CGI)	0	2359907	trained	28625882	0.08243962579039486
Other cCREs	CpG ti (non-CGI)	1	70397	trained	699289	0.10066939419896495
Other cCREs	CpG ti (non-CGI)	2	11074	trained	130456	0.08488685840436622
Other cCREs	CpG ti (non-CGI)	3	9746	trained	103554	0.09411514765243255
Other cCREs	non-CpG ti	0	15563739	trained	28625882	0.5436946536704091
Other cCREs	non-CpG ti	1	366370	trained	699289	0.5239178651458839
Other cCREs	non-CpG ti	2	69128	trained	130456	0.5298951370577053
Other cCREs	non-CpG ti	3	54136	trained	103554	0.5227803851130811
Other cCREs	non-CpG tv	0	10665141	trained	28625882	0.3725698652708762
Other cCREs	non-CpG tv	1	258858	trained	699289	0.37017313299651505
Other cCREs	non-CpG tv	2	49628	trained	130456	0.3804194517691789
Other cCREs	non-CpG tv	3	39357	trained	103554	0.38006257604727967
PLS	CpG ti (CGI)	0	10238	trained	544270	0.018810516839068845
PLS	CpG ti (CGI)	1	23743	trained	324607	0.07314383238808775
PLS	CpG ti (CGI)	2	26455	trained	245566	0.1077307119063714
PLS	CpG ti (CGI)	3	92914	trained	730556	0.1271825842235229
PLS	CpG ti (non-CGI)	0	56927	trained	544270	0.1045933084682235
PLS	CpG ti (non-CGI)	1	23876	trained	324607	0.07355355861087408
PLS	CpG ti (non-CGI)	2	12029	trained	245566	0.048984794311916144
PLS	CpG ti (non-CGI)	3	16116	trained	730556	0.022059910533894733
PLS	non-CpG ti	0	271241	trained	544270	0.49835743289176326
PLS	non-CpG ti	1	143210	trained	324607	0.44117964184382963
PLS	non-CpG ti	2	100851	trained	245566	0.41068796168850735
PLS	non-CpG ti	3	294881	trained	730556	0.4036391460750442
PLS	non-CpG tv	0	205864	trained	544270	0.3782387418009444
PLS	non-CpG tv	1	133778	trained	324607	0.4121229671572086
PLS	non-CpG tv	2	106231	trained	245566	0.4325965320932051
PLS	non-CpG tv	3	326645	trained	730556	0.44711835916753817
dELS	CpG ti (CGI)	0	81739	trained	64413644	0.0012689702821346359
dELS	CpG ti (CGI)	1	39811	trained	7164625	0.005556606242476054
dELS	CpG ti (CGI)	2	16320	trained	1300757	0.012546540206971787
dELS	CpG ti (CGI)	3	15034	trained	828966	0.018135846343517104
