skew_type	skew_bin	ccre_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	total	prop
HepG2_skew	(-Inf,-1.5)	PLS	CpG ti (CGI)	339	339	182.785	180.296399	339	1295.887000453193	9299.26351561263	198	142	224	2402	0.14113238967527061
HepG2_skew	(-Inf,-1.5)	PLS	CpG ti (non-CGI)	406	406	639.273	1276.726955	406	263.5959999728948	4005.3327887610026	77	109	202	2402	0.16902581182348042
HepG2_skew	(-Inf,-1.5)	PLS	non-CpG ti	679	679	96.819	16.573147	676	2271.9640045268466	14983.504629438992	355	248	451	2402	0.2826810990840966
HepG2_skew	(-Inf,-1.5)	PLS	non-CpG tv	978	978	70.886	8.134954	977	3085.6210017494177	22138.99635831363	495	354	671	2402	0.4071606994171524
HepG2_skew	(-Inf,-1.5)	dELS	CpG ti (CGI)	178	178	220.366	421.297678	178	45.38199931650884	1197.934367630578	25	50	84	35835	0.004967210827403376
HepG2_skew	(-Inf,-1.5)	dELS	CpG ti (non-CGI)	13048	13048	28257.377	66271.596965	13038	-10271.808999389645	45745.17935824718	320	1294	4331	35835	0.3641132970559509
HepG2_skew	(-Inf,-1.5)	dELS	non-CpG ti	11518	11518	1579.999	265.198997	11508	7349.822994963615	44251.935861547565	1346	1082	5711	35835	0.32141760848332634
HepG2_skew	(-Inf,-1.5)	dELS	non-CpG tv	11091	11091	661.144	66.680212	11080	2052.6669986118804	38777.753386048375	917	1101	5039	35835	0.3095018836333194
HepG2_skew	(-Inf,-1.5)	non-cCRE	CpG ti (CGI)	109	109	142.44299999999998	281.503895	107	74.3310002749786	1079.1886064601526	19	31	35	60695	0.0017958645687453662
HepG2_skew	(-Inf,-1.5)	non-cCRE	CpG ti (non-CGI)	28786	28786	65547.144	158223.918216	28734	-28354.141968605712	82248.55256155733	75	1123	434	60695	0.47427300436609277
HepG2_skew	(-Inf,-1.5)	non-cCRE	non-CpG ti	16106	16106	2454.65	443.864196	15954	1530.2490145500046	11500.139186712957	205	675	426	60695	0.26535958480929234
