skew_type	skew_bin	ccre_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	total	prop
HepG2_skew	(-Inf,-1.5)	PLS	CpG transition	745	745	822.058	1457.0233540000002	745	1559.4830004260878	13304.596304373634	275	251	426	2402	0.31015820149875106
HepG2_skew	(-Inf,-1.5)	PLS	non-CpG transition	679	679	96.819	16.573147	676	2271.9640045268466	14983.504629438992	355	248	451	2402	0.2826810990840966
HepG2_skew	(-Inf,-1.5)	PLS	non-CpG transversion	978	978	70.886	8.134954	977	3085.6210017494177	22138.99635831363	495	354	671	2402	0.4071606994171524
HepG2_skew	(-Inf,-1.5)	dELS	CpG transition	13226	13226	28477.743000000002	66692.894643	13216	-10226.427000073136	46943.11372587776	345	1344	4415	35835	0.3690805078833543
HepG2_skew	(-Inf,-1.5)	dELS	non-CpG transition	11518	11518	1579.999	265.198997	11508	7349.822994963615	44251.935861547565	1346	1082	5711	35835	0.32141760848332634
HepG2_skew	(-Inf,-1.5)	dELS	non-CpG transversion	11091	11091	661.144	66.680212	11080	2052.6669986118804	38777.753386048375	917	1101	5039	35835	0.3095018836333194
HepG2_skew	(-Inf,-1.5)	non-cCRE	CpG transition	28895	28895	65689.587	158505.422111	28841	-28279.810968330734	83327.74116801748	94	1154	469	60695	0.47606886893483813
HepG2_skew	(-Inf,-1.5)	non-cCRE	non-CpG transition	16106	16106	2454.65	443.864196	15954	1530.2490145500046	11500.139186712957	205	675	426	60695	0.26535958480929234
HepG2_skew	(-Inf,-1.5)	non-cCRE	non-CpG transversion	15694	15694	1052.025	115.665403	15581	-5546.755997052998	28037.16828568309	175	704	428	60695	0.25857154625586953
HepG2_skew	(-Inf,-1.5)	pELS	CpG transition	1786	1786	3106.37	6735.770852000001	1786	-253.1150024211966	9811.286608787444	163	426	738	5022	0.3556352050975707
HepG2_skew	(-Inf,-1.5)	pELS	non-CpG transition	1582	1582	221.329	37.826557	1582	2089.238999491326	13362.51528116549	351	392	868	5022	0.31501393866985267
HepG2_skew	(-Inf,-1.5)	pELS	non-CpG transversion	1654	1654	98.307	9.404547	1653	1612.950003315928	13166.701643716648	326	434	869	5022	0.32935085623257665
HepG2_skew	[-0.05,0.05)	PLS	CpG transition	102351	102351	90718.512	139575.289362	102256	-26901.25298965337	481571.6571784939	8377	35574	45357	800453	0.1278663456817577
HepG2_skew	[-0.05,0.05)	PLS	non-CpG transition	375131	375131	53976.547	9959.200621	374882	133857.96594931747	1698535.5052231231	44141	115665	110116	800453	0.468648377856039
HepG2_skew	[-0.05,0.05)	PLS	non-CpG transversion	322971	322971	24155.759	3450.273965	322632	72835.12694189524	1542724.6759552783	36219	106582	112303	800453	0.4034852764622033
HepG2_skew	[-0.05,0.05)	dELS	CpG transition	3439486	3439486	6743134.32	14337567.125098001	3433931	-2760015.8808443514	11901401.273527876	69064	299216	443783	43795997	0.07853425508271909
HepG2_skew	[-0.05,0.05)	dELS	non-CpG transition	24623267	24623267	3582360.915999992	711112.064374	24594573	2996638.090270299	52527901.9386195	1283134	1619468	2209880	43795997	0.5622264290501253
HepG2_skew	[-0.05,0.05)	dELS	non-CpG transversion	15733244	15733244	920634.2300000006	124150.31297399996	15708997	2105462.8453581273	34676033.81913172	854029	1050429	1492615	43795997	0.35923931586715563
HepG2_skew	[-0.05,0.05)	non-cCRE	CpG transition	17148487	17148487	37072944.811	84862732.92111893	16981934	-13731198.207667504	41207578.16639429	89771	546750	106107	298179695	0.05751057931694511
HepG2_skew	[-0.05,0.05)	non-cCRE	non-CpG transition	169828402	169828402	25920344.789000217	5488061.027434892	168102794	-10239021.320740849	176670998.10087416	2406510	3481673	520357	298179695	0.5695505255647941
HepG2_skew	[-0.05,0.05)	non-cCRE	non-CpG transversion	111202806	111202806	6833417.852999997	1129100.7375210056	109608125	-5426857.182517866	117281421.67084388	1684084	2288334	374053	298179695	0.37293889511826084
HepG2_skew	[-0.05,0.05)	pELS	CpG transition	551565	551565	812346.0029999999	1544640.487155	550992	-362374.1378806477	1799682.8987599039	15038	130831	100878	6141876	0.08980399474036922
HepG2_skew	[-0.05,0.05)	pELS	non-CpG transition	3316664	3316664	475898.374	91458.76156	3314142	444783.0128972807	7341659.1550667165	179130	668665	382213	6141876	0.5400082971391803
HepG2_skew	[-0.05,0.05)	pELS	non-CpG transversion	2273647	2273647	140435.27	19295.179772	2271159	254089.93801053544	5317012.917812408	124917	484894	303543	6141876	0.3701877081204505
HepG2_skew	[-0.2,-0.05)	PLS	CpG transition	83577	83577	73873.001	116163.19596099999	83496	740.6230174676857	422589.5366504326	9356	29303	39725	430319	0.194221031374399
HepG2_skew	[-0.2,-0.05)	PLS	non-CpG transition	171107	171107	26001.589	4878.573575	170999	134839.1409942531	1013480.6734469738	30783	58992	68576	430319	0.39762827111979715
HepG2_skew	[-0.2,-0.05)	PLS	non-CpG transversion	175635	175635	14172.192	2059.466464	175471	94515.8259976993	1009632.2046977116	27857	62427	77606	430319	0.40815069750580385
HepG2_skew	[-0.2,-0.05)	dELS	CpG transition	2282724	2282724	4614225.945	10169934.708803	2278969	-1947511.4277933778	8293575.257932481	45955	217807	378793	12589841	0.18131476005137792
HepG2_skew	[-0.2,-0.05)	dELS	non-CpG transition	5844845	5844845	824312.064	148727.70256	5837138	1190852.9194384925	12857458.004128989	344510	465996	839303	12589841	0.4642508988000722
HepG2_skew	[-0.2,-0.05)	dELS	non-CpG transversion	4462272	4462272	280025.843	37172.253911	4454580	440629.3187531148	10508712.30949216	246205	357825	662930	12589841	0.3544343411485498
HepG2_skew	[-0.2,-0.05)	non-cCRE	CpG transition	7378352	7378352	16290735.708999999	38183014.216301	7326500	-6618876.041429892	19733487.689862587	33846	292592	74682	44186224	0.16698308504478682
HepG2_skew	[-0.2,-0.05)	non-cCRE	non-CpG transition	20134030	20134030	2786883.857999996	521584.377074	19909725	-1834.3690599819856	21018700.499730416	348000	560716	157054	44186224	0.4556630591471224
HepG2_skew	[-0.2,-0.05)	non-cCRE	non-CpG transversion	16673842	16673842	1030495.8640000008	147407.5606619999	16425802	-1105876.9490460318	19217423.397097524	269220	468451	136125	44186224	0.3773538558080908
HepG2_skew	[-0.2,-0.05)	pELS	CpG transition	373279	373279	558984.62	1096030.038916	372824	-228880.820937141	1283793.3673422164	12795	92499	83857	1987274	0.1878346921461258
HepG2_skew	[-0.2,-0.05)	pELS	non-CpG transition	879090	879090	126444.618	22932.170856	878270	282754.4499710128	2370068.652280529	68403	205969	173562	1987274	0.44235973499376535
HepG2_skew	[-0.2,-0.05)	pELS	non-CpG transversion	734905	734905	50674.23	7193.682576	733899	134771.28197255824	2097561.0060535604	53334	180115	159200	1987274	0.3698055728601089
HepG2_skew	[-0.5,-0.2)	PLS	CpG transition	27250	27250	24014.407	38349.735245	27231	17391.683988584442	205084.52519604622	5418	9894	14841	145336	0.18749655969615237
HepG2_skew	[-0.5,-0.2)	PLS	non-CpG transition	53705	53705	8826.979	1849.853609	53674	80288.74196349121	511787.7694340072	15625	19606	27299	145336	0.3695230362745638
HepG2_skew	[-0.5,-0.2)	PLS	non-CpG transversion	64381	64381	5297.119	796.147299	64319	77367.7929747716	546926.4920883557	16506	24097	34861	145336	0.44298040402928385
HepG2_skew	[-0.5,-0.2)	dELS	CpG transition	545259	545259	1118299.932	2512972.6789059998	544259	-469304.1070019143	2003753.1071170429	11545	57770	132270	2548981	0.21391253995223974
HepG2_skew	[-0.5,-0.2)	dELS	non-CpG transition	1053650	1053650	159575.077	32153.415909	1052168	261010.12581582656	2729013.3355690097	73545	94766	243945	2548981	0.41336126083325064
HepG2_skew	[-0.5,-0.2)	dELS	non-CpG transversion	950072	950072	62033.144	8534.146342	948247	104371.07196348946	2535283.2225859263	58988	87730	223170	2548981	0.37272619921450967
HepG2_skew	[-0.5,-0.2)	non-cCRE	CpG transition	1193368	1193368	2647605.631	6268941.434799	1185343	-1080215.7670888854	3218815.573239527	5286	55051	19190	5195580	0.2296890818734386
HepG2_skew	[-0.5,-0.2)	non-cCRE	non-CpG transition	2020149	2020149	315725.079	68244.253759	2001294	-74277.91564078839	2332548.0413990594	35696	72224	32654	5195580	0.3888206898941023
