pleio_set	ccre_class	pleio_bin	n	total	prop
trained	PLS	0	550812	1852264	0.29737229682161936
trained	PLS	1	325042	1852264	0.1754836243645614
trained	PLS	2	245682	1852264	0.13263875991759275
trained	PLS	3	730728	1852264	0.3945053188962265
trained	pELS	0	7217934	10865272	0.6643123154210958
trained	pELS	1	2024068	10865272	0.18628783522400544
trained	pELS	2	917134	10865272	0.08440966779294619
trained	pELS	3	706136	10865272	0.06499018156195262
trained	dELS	0	64431193	73727418	0.8739108834653616
trained	dELS	1	7166048	73727418	0.09719651378541427
trained	dELS	2	1301095	73727418	0.017647369666465195
trained	dELS	3	829082	73727418	0.01124523308275898
trained	non-cCRE	0	403093634	403093634	1
trained	Other cCREs	0	28648181	29581770	0.9684403942022402
trained	Other cCREs	1	699531	29581770	0.023647367956684134
trained	Other cCREs	2	130491	29581770	0.0044111964902708665
trained	Other cCREs	3	103567	29581770	0.0035010413508049045
all	PLS	0	465302	1852264	0.25120717133194836
all	PLS	1	217491	1852264	0.11741900722575184
all	PLS	2	145684	1852264	0.07865185524309709
all	PLS	3	123961	1852264	0.06692404538445923
all	PLS	4	113260	1852264	0.06114679117015717
all	PLS	5	134704	1852264	0.07272397455222365
all	PLS	6	651862	1852264	0.35192715509236266
all	pELS	0	6659501	10865272	0.6129161791807881
all	pELS	1	1817691	10865272	0.16729364897629806
all	pELS	2	799692	10865272	0.07360073452371924
all	pELS	3	528108	10865272	0.04860513386135202
all	pELS	4	340713	10865272	0.03135798165016025
all	pELS	5	281962	10865272	0.025950753924982275
all	pELS	6	437605	10865272	0.040275567882700036
all	dELS	0	60622242	73727418	0.8222482713283137
all	dELS	1	8786641	73727418	0.1191773866270483
all	dELS	2	2079032	73727418	0.02819889881400702
all	dELS	3	821662	73727418	0.011144592097338877
all	dELS	4	473271	73727418	0.00641919943541221
all	dELS	5	368492	73727418	0.004998032075394258
all	dELS	6	576078	73727418	0.007813619622485626
all	non-cCRE	0	403093634	403093634	1
all	Other cCREs	0	28100148	29581770	0.9499143560375191
all	Other cCREs	1	1018854	29581770	0.03444195529882086
all	Other cCREs	2	171574	29581770	0.00579999100797552
all	Other cCREs	3	95758	29581770	0.003237061203572335
all	Other cCREs	4	71694	29581770	0.002423587229567399
all	Other cCREs	5	53102	29581770	0.0017950920448641173
all	Other cCREs	6	70640	29581770	0.0023879571776807135
