vep_consequence	n_COMMON	n_SINGLETON	n_MR_COMMON	n_MR_SINGLETON	sum_MR_COMMON	sum_MR_SINGLETON	sum_MR_sq_COMMON	sum_MR_sq_SINGLETON	n_phyloP_COMMON	n_phyloP_SINGLETON	sum_phyloP_COMMON	sum_phyloP_SINGLETON	sum_phyloP_sq_COMMON	sum_phyloP_sq_SINGLETON	n_conserved_COMMON	n_conserved_SINGLETON	odds	lci	uci	log2odds	log2lci	log2uci
3 prime UTR variant	164557	4475882	164468	4475522	67318.367	703359.726	111764.492745	572622.013262	164390	4472479	-25955.8319694649	2039114.581357314	451474.3857424977	16185063.32827734	8241	482843	1.1736273607142889	1.1678598792773824	1.1794293454173836	0.23097440999127028	0.2238671889454085	0.23808899545818785
5 prime UTR variant	64015	1971995	64002	1971885	20331.741	314621.734	28304.601617	201076.443122	63964	1970648	-4820.016035695563	1143157.5087847845	217968.6295469624	9432539.354785074	4453	281345	1.328377141574512	1.317919425285996	1.3388953858934434	0.40966480258376997	0.39826216981962415	0.42104324061079196
TF binding site variant	26776	599813	26605	598180	11169.447	97482.946	18600.268987	75712.924416	25839	585194	-7997.464000482927	76668.15497005942	63246.56915441676	1460582.8404809963	878	35339	0.9642101233234367	0.9524728240424026	0.9761466689455199	-0.05258051809672744	-0.07025016467360581	-0.03483016158393365
coding sequence variant	9	76	9	76	1.406	16.659	0.458268	18.185327	9	76	0.5739999674260549	46.29199968837199	5.670235784859898	483.3280325383393	0	15	0.33147477652474516	0.1708707457665024	0.7186358205504025	-1.5930290018260118	-2.5490226759322447	-0.47666724632372176
downstream gene variant	458792	9843640	458458	9840397	190197.853	1474889.373	332585.714813	1099701.828229	456964	9813978	-189559.6018862322	-359464.57321867516	827907.3064884197	12291922.618228836	5632	195154	0.9209068173882072	0.9181183471657546	0.9236655665709341	-0.11887291131027998	-0.12324796318249985	-0.11455750816628274
incomplete terminal codon variant	5	153	5	153	2.552	27.764	4.925006	24.666792	5	153	-9.094000071287152	79.13300056476152	48.157118708402614	1209.961541360904	0	30	1.1049083472942176	0.4961859915470519	3.0575063965386695	0.14392670229715127	-1.011047089626551	1.612355516984866
intergenic variant	2978645	65721323	2974347	65678733	1168984.858	9122329.70499998	2075304.584154	5433953.2793889865	2897585	63887413	-1137331.070047083	-3410757.8120837808	4401774.445292733	65474779.13570838	26663	971898	0.9347304743794675	0.9334614716896172	0.9359771579534196	-0.0973776650008986	-0.09933761796285367	-0.09545477288790913
intron variant	7170578	169196293	7165679	169152913	2877144.493	24736040.437999975	4944194.318109	17644096.097830255	7148238	168801154	-2619067.506496257	-777525.2579387077	12746727.377555132	230004137.02517623	102990	4184164	1.0389712871202743	1.0377687102270299	1.0401422506583082	0.05515578465446557	0.0534849429349342	0.05678084594843132
mature miRNA variant	176	5377	176	5357	98.113	1075.204	181.016611	1124.029446	168	5368	-67.57399910967798	6250.275985302984	530.4381060132445	55464.92306899677	6	1177	1.3079986918106952	1.1259614377896143	1.5279779970941805	0.38736109793143403	0.1711574184817718	0.6116237686932537
missense variant	47941	2431362	47853	2430585	24311.408	618733.317	43337.046228	823362.763507	47857	2429218	61098.05789045489	9254769.02217685	561635.9260561375	65568789.94897621	14648	1482319	2.1933903755642623	2.173628166176219	2.213261668963418	1.1331626030601418	1.1201051654367289	1.1461740278217107
non coding transcript exon variant	345203	8055327	344993	8054105	144109.459	1292347.33	245659.754437	1057118.030732	344239	8041689	-83212.80298661439	1138497.7267051018	1046667.6534376072	21355528.584754027	15277	471896	1.0046645165272317	1.0011752311330702	1.008160061350245	0.0067138286245149005	0.001694504605213528	0.011724707671349532
regulatory region variant	357456	8074471	357178	8070925	139971.496	1193801.038	240225.503094	869674.491808	356151	8048348	-113771.4509625706	379775.216346547	696057.6244417585	13708043.321428072	7789	304371	0.971590390111625	0.9683198499279583	0.9749389648437495	-0.041579874373100886	-0.046444425811663255	-0.03661619179279573
splice acceptor variant	962	47288	962	47274	139.245	4244.515	107.436721	704.884949	959	47235	441.6469994396902	150988.7066436479	4905.823845235209	1124543.943724125	120	22182	2.114114130550276	1.983468622829081	2.25573854187772	1.0800532627822552	0.9880255751756903	1.1735998575434143
splice donor variant	1493	61096	1492	61085	445.53	9503.582	667.358594	6836.08161	1488	61015	465.4629997850864	196783.7514480597	9842.043037266962	1571479.58458661	184	28148	1.7606359936704499	1.672546274391238	1.8544812138265117	0.8160966670286456	0.7420461265087258	0.8910156531972959
splice region variant	16648	477900	16640	477837	6339.466	75583.362	10433.911644	59509.481556	16618	477311	-1293.3579940415218	390140.4656072732	77405.58024559915	3071445.8454792476	1433	85524	1.2360805179134344	1.217128710176714	1.255392704508701	0.30577272302459146	0.2834817397156245	0.3281387300924965
start lost	246	14481	246	14480	48.866	2266.797	25.682742	636.448185	246	14465	106.19400149560548	49476.4119713189	2346.427777372934	336361.05335263285	46	8686	2.524070377341591	2.2257103418065767	2.8740867855155376	1.3357521367967673	1.1542658498090617	1.5231036258671113
stop gained	771	86788	771	86731	426.149	30201.601	758.851999	48562.339915	770	86660	375.6429983775597	335993.35488034517	8063.343020764159	2503881.998146456	149	52659	4.840710480747992	4.509645193513585	5.202538938951508	2.2752188102740285	2.1730139306659204	2.379215858004244
stop lost	192	7619	192	7617	17.002	549.757	4.451676	82.011681	192	7615	-11.887998844496988	14253.269009623566	1100.536011018848	95299.62375343325	24	2851	1.699660463681871	1.4732388786391748	1.9708979485496823	0.7652465720766164	0.5589913754427555	0.9788530767705801
stop retained variant	69	2279	69	2278	7.605	240.748	1.010369	29.62539	69	2278	80.83799983363134	4221.54299101245	574.4135678186416	23844.165044791967	18	770	1.402155476132889	1.105313026325889	1.805026895419857	0.4876463295265501	0.1444550009061832	0.8520203338436203
synonymous variant	42090	1017864	42038	1017626	26182.341	259170.084	47804.815117	312257.82641599997	42049	1017150	-55315.35800340366	288127.63343880273	752148.5522800063	11435179.475607842	5366	227816	1.041163625501237	1.0310707889539044	1.0513909512868944	0.05819681517808457	0.04414338543819205	0.07229922363503816
upstream gene variant	560534	12174444	559934	12166921	218912.704	1857210.144	366241.76624	1382998.892618	558391	12138573	-232740.2178597183	-177707.60268168792	1061867.6754706928	17325160.717900768	7150	303751	0.9320424359685434	0.9295438241761653	0.9346414127152501	-0.101532452488894	-0.10540521098929341	-0.09751513237406711
