vep_consequence	mut_class	n_COMMON	n_SINGLETON	sum_MR_COMMON	sum_MR_SINGLETON	sum_MR_sq_COMMON	sum_MR_sq_SINGLETON	n_phyloP_COMMON	n_phyloP_SINGLETON	sum_phyloP_COMMON	sum_phyloP_SINGLETON	sum_phyloP_sq_COMMON	sum_phyloP_sq_SINGLETON	n_conserved_COMMON	n_conserved_SINGLETON	gw_SINGLETON	gw_COMMON	odds	lci	uci	log2odds	log2lci	log2uci
3 prime UTR variant	CpG transition	26983	136366	50526.087	245182.277	106984.284459	491318.963693	26959	136250	-21803.447989653912	-60806.77403086751	95176.1297998484	560399.4389991186	576	7817	6454395	1815018	1.430184130207021	1.4114246270473936	1.4492497449046988	0.5162008998956612	0.49715208798819777	0.5353062316708976
3 prime UTR variant	non-CpG transition	87047	2557581	13079.582	363121.173	2999.519454	71547.478827	86958	2555846	-5779.890986639543	1234109.238145259	232478.44168320415	9176101.176112436	4793	279318	160782109	6484763	1.1880183686871781	1.179940078286359	1.1961614232740783	0.24855714271193535	0.23871359606663525	0.2584120959258832
3 prime UTR variant	non-CpG transversion	51562	1781544	3861.238	95053.613	1828.849198	9755.171897000002	51499	1779992	1362.423007119563	865690.0932434814	127346.79269546882	6447471.281428333	2940	195678	116922263	4010613	1.1880143528478264	1.1775466411881723	1.1985724809057148	0.24855226598488928	0.23578420436310468	0.26131715527942856
5 prime UTR variant	CpG transition	10635	172268	14273.294	125407.244	27017.965618	170188.713024	10617	172179	-6427.410000161618	76709.38096681636	42547.20986845915	1008008.6425673576	502	27791	6454395	1815018	4.6521818323964	4.561917294369513	4.74446363007701	2.217907486228561	2.1896402914364264	2.246244997263859
5 prime UTR variant	non-CpG transition	31784	962141	4523.078	135053.249	930.079978	24794.867973	31766	961555	638.6709750174787	561397.5138630026	102922.0627727236	4322062.176071089	2277	130715	160782109	6484763	1.2222137703269502	1.2086028486032065	1.2360083008691254	0.28949664065443953	0.27334024749845665	0.30568843222489983
5 prime UTR variant	non-CpG transversion	22127	837454	1592.383	54159.362	370.206939	6092.49299	22112	836782	1081.9109890849795	504980.80595535995	74868.98927142227	4102065.817656938	1746	122822	116922263	4010613	1.3003285838925929	1.2830041846867635	1.317931309294909	0.378876228217748	0.3595258759747472	0.39827517890280156
TF binding site variant	CpG transition	4836	22729	8635.92	34645.132	18103.629742	65222.565264	4663	22520	-4175.018998438378	-15604.679999059064	15585.074664827913	80555.39768461711	65	709	6454395	1815018	1.3225732374898613	1.2820490461453433	1.364618266094786	0.4033476137857529	0.3584514548405628	0.4484974327320058
TF binding site variant	non-CpG transition	13470	328323	1974.724	47673.783	385.96412	8803.935567	13174	322530	-2581.977001077378	60255.20599112137	30708.4840966654	774294.3493247938	506	20060	160782109	6484763	0.9829752345018625	0.9661706464542353	1.0001772259767945	-0.024773025739035337	-0.04965007244049208	2.5566038367660037e-4
TF binding site variant	non-CpG transversion	8446	247126	580.151	15163.897	118.987561	1686.414095	8119	239904	-1334.8700017753292	32023.824978226436	17341.36834438298	605663.2460586509	308	14570	116922263	4010613	1.0035400170596105	0.9819799302268423	1.02569501021276	0.005098146608222916	-0.026234555946265746	0.036601810218812536
coding sequence variant	CpG transition	2	8	0.8500000000000001	8.86	0.398788	16.454424	2	8	0.9159999638795808	-2.919999781996014	1.1637279109210954	25.37455206744485	0	1	6454395	1815018	0.8436019292052663	0.21053483147790164	4.844661441058443	-0.24536570050055626	-2.2478691583018384	2.2763958494644347
coding sequence variant	non-CpG transition	5	34	0.395	5.335	0.032733	1.377429	5	34	1.341999992728234	17.797999853268276	7.736683795467383	101.2134139120852	0	4	160782109	6484763	0.235272653173498	0.09794750124878882	0.6843263765827715	-2.0875944556842656	-3.3518475015898095	-0.5472435394030639
