vep_consequence	n	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	frac_conserved	frac_conserved_se	frac_conserved_lci	frac_conserved_uci
3 prime UTR variant	8563410	2474086.692	3588854.197052	8556547	2858491.026427021	30626742.872960463	848655	0.09910246035165898	1.02107242975277e-4	0.09890233015542745	0.09930259054789052
5 prime UTR variant	3721722	882941.986	983717.379672	3718849	1807217.8097156535	17659866.101831518	502947	0.13513825051951758	1.7721093876714027e-4	0.134790917079534	0.13548558395950117
TF binding site variant	1161579	342644.999	491676.507827	1130133	37943.65092416354	2941484.0553141856	63297	0.054492204146252644	2.1060824470068006e-4	0.05407941198663931	0.054904996305865976
coding sequence variant	167	40.864	47.286088	167	71.25799928838377	988.5504068391205	28	0.16766467065868262	0.028907578194574478	0.11100581739731666	0.2243235239200486
downstream gene variant	19044115	5386706.83	8109236.740591995	18980489	-2222696.790194379	26358134.409654375	349648	0.01835989753264985	3.0763155086986625e-5	0.018299601748679357	0.018420193316620346
incomplete terminal codon variant	309	95.927	145.012515	309	140.3820007350296	2351.6356742811713	53	0.1715210355987055	0.02144471102376361	0.12948940199212883	0.21355266920528215
intergenic variant	125310906	31191372.36100003	43873003.58147493	121454895	-14140006.972012503	137094292.86285934	1717789	0.013708216266507561	1.0387206040508815e-5	0.013687857342668164	0.013728575190346958
intron variant	323669522	86939554.07500008	125215672.91577904	322822521	-26766336.48117763	478266721.5246886	7387338	0.022823705965123276	8.300966093707275e-6	0.02280743607157961	0.02283997585866694
mature miRNA variant	10311	3542.623	5528.293457	10268	9955.410974983712	98741.71695826176	2054	0.19920473280962078	0.003933328162398468	0.19149540961131978	0.2069140560079218
missense variant	4555785	2026461.904	3501108.716504	4551318	16423510.484446555	118269549.92126778	2671442	0.5863845638018476	2.3073210255882562e-4	0.5859323288808322	0.5868367987228629
non coding transcript exon variant	15541977	4573629.7	6778035.406113997	15511186	855698.7635398353	43611531.215665035	873015	0.056171425295507775	5.8405151088670947e-5	0.05605695119937398	0.05628589939164157
regulatory region variant	15375498	4133382.7679999983	6028963.084173995	15319460	-451766.83825900307	27573878.956849977	539180	0.03506748204188248	4.6912239647902455e-5	0.034975534052172595	0.035159430031592366
splice acceptor variant	77233	7459.717	2156.197381	77123	219475.0685227805	1640935.033558764	32820	0.42494788497145003	0.0017787707782962884	0.42146149424598933	0.4284342756969107
splice donor variant	103882	22264.11	26256.295524	103731	297370.544175442	2417218.288063827	43623	0.4199283802776227	0.0015312929082075507	0.4169270461775359	0.4229297143777095
splice region variant	895028	243793.158	343364.320522	893844	563380.2563990603	5616142.60229549	145396	0.16244854909567075	3.8989292546831963e-4	0.16168435896175284	0.16321273922958865
start lost	24982	4349.555	1458.891749	24953	78322.97996232122	539054.781062261	14161	0.5668481306540709	0.0031350166657225583	0.5607034979892547	0.5729927633188872
stop gained	145091	74337.255	133337.595527	144856	500338.3405400536	3726208.295155179	81808	0.5638392457147583	0.0013019092310401536	0.5612875036219196	0.566390987807597
stop lost	12547	966.921	176.073735	12539	21012.427012790227	146447.69917137976	4370	0.34829042799075477	0.0042533181601035345	0.3399539243969518	0.3566269315845577
stop retained variant	4043	430.567	53.687875	4041	7215.036988085485	40665.82662792021	1325	0.32772693544397724	0.007382051205264682	0.31325811508165846	0.342195755806296
synonymous variant	2102262	1029985.521	1771045.812835	2100681	-654943.7298659014	29623824.247565903	405691	0.19297832525156236	2.7217826790467e-4	0.1924448558464692	0.19351179465665552
upstream gene variant	23519794	6442703.371	9213550.895684993	23441976	-2225776.676164853	36587139.36675619	543044	0.023088807665577343	3.096788452077207e-5	0.02302811061191663	0.023149504719238056
