vep_consequence	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	mutrate_mean	mutrate_var	mutrate_se	mutrate_lci	mutrate_uci
3 prime UTR variant	8564355	8563410	2474086.692	3588854.197052	8557492	2858440.6484267847	30629283.4799332	848703	0.28891372619085154	0.3356206146345553	1.9797071214428018e-4	0.28852570359504875	0.2893017487866543
5 prime UTR variant	3721968	3721722	882941.986	983717.379672	3719095	1807303.694714778	17660532.923299097	502969	0.23724017699333805	0.208034956580171	2.3642652197157927e-4	0.23677678101027375	0.23770357297640235
TF binding site variant	1166402	1161579	342644.999	491676.507827	1130677	37877.63292421292	2941754.2123775855	63298	0.2949820881748034	0.33626874004098434	5.380453375758243e-4	0.2939275193131548	0.29603665703645204
coding sequence variant	179	167	40.864	47.286088	179	74.13499903911708	1005.513585719176	28	0.2446946107784431	0.22461980376596205	0.03667463380956436	0.17281232851169695	0.3165768930451892
downstream gene variant	19052025	19044115	5386706.83	8109236.740591995	18988079	-2224823.011192572	26367330.30673465	349692	0.2828541431303056	0.345806814425611	1.3475235873586095e-4	0.2825900285071833	0.2831182577534279
incomplete terminal codon variant	339	309	95.927	145.012515	339	197.72399934194985	2829.4973539837724	67	0.3104433656957929	0.374131864476947	0.03479630343779499	0.2422426109577147	0.3786441204338711
intergenic variant	125433751	125310906	31191372.36100003	43873003.58147493	121493510	-14151061.240010474	137129663.3294359	1717828	0.24891187332888673	0.28815609188521585	4.795340692369589e-5	0.2488178846513163	0.24900586200645716
intron variant	323777394	323669522	86939554.07500008	125215672.91577904	322920936	-26790132.27715045	478380531.8215211	7388101	0.2686059334156278	0.31471357737982747	3.118220602137316e-5	0.26854481629182586	0.2686670505394297
mature miRNA variant	10369	10311	3542.623	5528.293457	10326	9884.80597312481	99089.46060819656	2054	0.34357705363204344	0.4181502894792327	0.006368186994267002	0.3310954071232801	0.35605870014080676
missense variant	4558993	4555785	2026461.904	3501108.716504	4554526	16425226.1914472	118293957.93126383	2672040	0.4448106976075473	0.570640922245357	3.5391571429701173e-4	0.4441170228075252	0.44550437240756946
non coding transcript exon variant	15545605	15541977	4573629.7	6778035.406113997	15514518	854247.4855378647	43623146.51393202	873073	0.29427592770211924	0.34951323327101597	1.4996112190858443e-4	0.2939820039031784	0.2945698515010601
regulatory region variant	15384292	15375498	4133382.7679999983	6028963.084173995	15325006	-453082.9182594622	27577922.672846504	539185	0.26882919616652406	0.319845863662423	1.442300565435823e-4	0.2685465052556986	0.2691118870773495
splice acceptor variant	77253	77233	7459.717	2156.197381	77143	219493.3805228763	1640977.7537371437	32821	0.09658717128688514	0.018589243025809395	4.906020970632302e-4	0.09562559117664121	0.09754875139712907
splice donor variant	103904	103882	22264.11	26256.295524	103751	297421.634175155	2417489.2433065195	43636	0.2143211528464989	0.20681958973920866	0.0014109956828820584	0.21155560130805007	0.21708670438494776
splice region variant	895195	895028	243793.158	343364.320522	894007	563442.9083991856	5616684.812779572	145412	0.2723860683688108	0.3094414589941574	5.879913525443431e-4	0.27123360531782387	0.2735385314197977
start lost	24983	24982	4349.555	1458.891749	24954	78326.48996231167	539067.101162194	14162	0.17410755744135778	0.028085398982953237	0.001060294959719835	0.1720293793203069	0.17618573556240866
stop gained	145264	145091	74337.255	133337.595527	145029	500519.906542551	3727320.9583396576	81850	0.5123491808589092	0.6564957186604875	0.0021271382255083366	0.5081799899369129	0.5165183717809055
stop lost	12555	12547	966.921	176.073735	12547	21000.460012991218	146527.01134247403	4371	0.07706391966207062	0.008094931670367529	8.03223940952932e-4	0.07548960073780286	0.07863823858633837
stop retained variant	4044	4043	430.567	53.687875	4042	7215.104988089181	40665.8312519207	1325	0.10649690823645808	0.0019381050745554055	6.923676832394132e-4	0.10513986757730882	0.10785394889560733
synonymous variant	2103366	2102262	1029985.521	1771045.812835	2101785	-654971.9608678243	29629976.693391707	405778	0.4899415586639534	0.6024052680780151	5.353045816244556e-4	0.48889236168396943	0.49099075564393735
upstream gene variant	23545703	23519794	6442703.371	9213550.895684993	23467355	-2234363.8391766683	36632549.688101366	543412	0.2739268622420758	0.3167001247379396	1.1603990388407308e-4	0.273699424030463	0.2741543004536886
