vep_consequence	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	phyloP_mean	phyloP_var	phyloP_se	phyloP_lci	phyloP_uci
3 prime UTR variant	8564355	8563410	2474086.692	3588854.197052	8557492	2858440.6484267847	30629283.4799332	848703	0.33402784933094704	3.467661806211545	6.365684596286213e-4	0.33278017515007496	0.3352755235118191
5 prime UTR variant	3721968	3721722	882941.986	983717.379672	3719095	1807303.694714778	17660532.923299097	502969	0.4859525488633063	4.512461660362008	0.001101509194074825	0.4837935908429196	0.488111506883693
TF binding site variant	1166402	1161579	342644.999	491676.507827	1130677	37877.63292421292	2941754.2123775855	63298	0.03349995880716856	2.6006436089869345	0.0015166003134599578	0.030527422192787042	0.03647249542155007
coding sequence variant	179	167	40.864	47.286088	179	74.13499903911708	1005.513585719176	28	0.41416200580512336	5.476458909083002	0.17491352866157492	0.0713314896284365	0.7569925219818102
downstream gene variant	19052025	19044115	5386706.83	8109236.740591995	18988079	-2224823.011192572	26367330.30673465	349692	-0.11716946254503006	1.374896868985655	2.690881336549589e-4	-0.11769687528699378	-0.11664204980306635
incomplete terminal codon variant	339	309	95.927	145.012515	339	197.72399934194985	2829.4973539837724	67	0.5832566352269907	8.030099169893383	0.15390779113084868	0.28159736461052726	0.8849159058434541
intergenic variant	125433751	125310906	31191372.36100003	43873003.58147493	121493510	-14151061.240010474	137129663.3294359	1717828	-0.11647586146791276	1.115132877434798	9.580469013281993e-5	-0.1166636386605731	-0.11628808427525243
intron variant	323777394	323669522	86939554.07500008	125215672.91577904	322920936	-26790132.27715045	478380531.8215211	7388101	-0.08296189342505327	1.4745342283946412	6.757395337710889e-5	-0.0830943383736724	-0.08282944847643413
mature miRNA variant	10369	10311	3542.623	5528.293457	10326	9884.80597312481	99089.46060819656	2054	0.9572734818056179	8.680580917901251	0.028994013350661065	0.9004452156383222	1.0141017479729135
missense variant	4558993	4555785	2026461.904	3501108.716504	4554526	16425226.1914472	118293957.93126383	2672040	3.606352492322406	12.967060784336228	0.0016873267067136846	3.6030453319772473	3.609659652667565
non coding transcript exon variant	15545605	15541977	4573629.7	6778035.406113997	15514518	854247.4855378647	43623146.51393202	873073	0.05506116822564934	2.808731373939935	4.2548667020514397e-4	0.054227214352047255	0.055895122099251425
regulatory region variant	15384292	15375498	4133382.7679999983	6028963.084173995	15325006	-453082.9182594622	27577922.672846504	539185	-0.02956494230798097	1.7986635112032545	3.4258996336928416e-4	-0.03023641863618477	-0.028893465979777173
splice acceptor variant	77253	77233	7459.717	2156.197381	77143	219493.3805228763	1640977.7537371437	32821	2.8452792932978532	13.17645100100409	0.013069258969152583	2.8196635457183143	2.870895040877392
splice donor variant	103904	103882	22264.11	26256.295524	103751	297421.634175155	2417489.2433065195	43636	2.866686915549296	15.083128059906633	0.012057286026723419	2.843054634936918	2.890319196161674
splice region variant	895195	895028	243793.158	343364.320522	894007	563442.9083991856	5616684.812779572	145412	0.630244403454543	5.885394586943303	0.002565767697125157	0.6252154987681777	0.6352733081409083
start lost	24983	24982	4349.555	1458.891749	24954	78326.48996231167	539067.101162194	14162	3.138835054993655	11.750617911027994	0.02170002663981014	3.096303002779627	3.1813671072076826
stop gained	145264	145091	74337.255	133337.595527	145029	500519.906542551	3727320.9583396576	81850	3.4511711901933477	13.790034177963834	0.00975113670566396	3.432058962250246	3.4702834181364492
stop lost	12555	12547	966.921	176.073735	12547	21000.460012991218	146527.01134247403	4371	1.6737435253838542	8.877540838964405	0.026599678678348292	1.6216081551742916	1.7258788955934168
stop retained variant	4044	4043	430.567	53.687875	4042	7215.104988089181	40665.8312519207	1325	1.7850333963605098	6.876176166774119	0.04124538319049727	1.704192445307135	1.8658743474138846
synonymous variant	2103366	2102262	1029985.521	1771045.812835	2101785	-654971.9608678243	29629976.693391707	405778	-0.3116265273887787	14.00042537943454	0.0025809314601864786	-0.31668515305074424	-0.3065679017268132
upstream gene variant	23545703	23519794	6442703.371	9213550.895684993	23467355	-2234363.8391766683	36632549.688101366	543412	-0.09521157536401816	1.5519351856641765	2.5716077045764407e-4	-0.09571561047411514	-0.09470754025392117
