vep_consequence	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	frac_conserved	frac_conserved_se	frac_conserved_lci	frac_conserved_uci
3 prime UTR variant	8564355	8563410	2474086.692	3588854.197052	8557492	2858440.6484267847	30629283.4799332	848703	0.0990971299064553	1.0209916564141001e-4	0.09889701554179814	0.09929724427111247
5 prime UTR variant	3721968	3721722	882941.986	983717.379672	3719095	1807303.694714778	17660532.923299097	502969	0.13513522953448284	1.7720341116104983e-4	0.1347879108486072	0.1354825482203585
TF binding site variant	1166402	1161579	342644.999	491676.507827	1130677	37877.63292421292	2941754.2123775855	63298	0.054267739595782585	2.0976394408215622e-4	0.05385660226538156	0.05467887692618361
coding sequence variant	179	167	40.864	47.286088	179	74.13499903911708	1005.513585719176	28	0.1564245810055866	0.027151132106278515	0.10320836207728071	0.20964079993389248
downstream gene variant	19052025	19044115	5386706.83	8109236.740591995	18988079	-2224823.011192572	26367330.30673465	349692	0.018354584355206337	3.075240086249321e-5	0.01829430964951585	0.018414859060896824
incomplete terminal codon variant	339	309	95.927	145.012515	339	197.72399934194985	2829.4973539837724	67	0.1976401179941003	0.021628296072805083	0.15524865769140234	0.24003157829679828
intergenic variant	125433751	125310906	31191372.36100003	43873003.58147493	121493510	-14151061.240010474	137129663.3294359	1717828	0.01369510188689167	1.0377219997517557e-5	0.013674762535696536	0.013715441238086806
intron variant	323777394	323669522	86939554.07500008	125215672.91577904	322920936	-26790132.27715045	478380531.8215211	7388101	0.02281845841281927	8.298651294632637e-6	0.02280219305628179	0.022834723769356753
mature miRNA variant	10369	10311	3542.623	5528.293457	10326	9884.80597312481	99089.46060819656	2054	0.19809046195390106	0.003914046984832753	0.19041892986362888	0.20576199404417325
missense variant	4558993	4555785	2026461.904	3501108.716504	4554526	16425226.1914472	118293957.93126383	2672040	0.5861031153151585	2.3067399172826213e-4	0.585650994291371	0.5865552363389459
non coding transcript exon variant	15545605	15541977	4573629.7	6778035.406113997	15514518	854247.4855378647	43623146.51393202	873073	0.0561620470866203	5.8393750357614315e-5	0.056047595335919374	0.05627649883732123
regulatory region variant	15384292	15375498	4133382.7679999983	6028963.084173995	15325006	-453082.9182594622	27577922.672846504	539185	0.03504776170395102	4.6886120069447404e-5	0.0349558649086149	0.03513965849928714
splice acceptor variant	77253	77233	7459.717	2156.197381	77143	219493.3805228763	1640977.7537371437	32821	0.4248508148550865	0.0017784874520437525	0.42136497944908075	0.4283366502610923
splice donor variant	103904	103882	22264.11	26256.295524	103751	297421.634175155	2417489.2433065195	43636	0.41996458269171544	0.0015311490030559705	0.4169635306457257	0.42296563473770515
splice region variant	895195	895028	243793.158	343364.320522	894007	563442.9083991856	5616684.812779572	145412	0.16243611727053883	3.8984453170910446e-4	0.16167202198838898	0.16320021255268868
start lost	24983	24982	4349.555	1458.891749	24954	78326.48996231167	539067.101162194	14162	0.5668654685185927	0.003134939121934326	0.5607209878396013	0.573009949197584
stop gained	145264	145091	74337.255	133337.595527	145029	500519.906542551	3727320.9583396576	81850	0.5634568785108492	0.0013012625104547768	0.5609064039903578	0.5660073530313406
stop lost	12555	12547	966.921	176.073735	12547	21000.460012991218	146527.01134247403	4371	0.34814814814814815	0.004251558292708843	0.3398150938944388	0.3564812024018575
stop retained variant	4044	4043	430.567	53.687875	4042	7215.104988089181	40665.8312519207	1325	0.32764589515331355	0.007380670589704793	0.31317978079749215	0.34211200950913495
synonymous variant	2103366	2102262	1029985.521	1771045.812835	2101785	-654971.9608678243	29629976.693391707	405778	0.19291839841473143	2.720746773039879e-4	0.1923851320472156	0.19345166478224726
upstream gene variant	23545703	23519794	6442703.371	9213550.895684993	23467355	-2234363.8391766683	36632549.688101366	543412	0.02307903059849179	3.0944442767338236e-5	0.023018379490667807	0.023139681706315775
