Term	Rank	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Database	Significance
Decreased B-1 B Cell Number MP:0004978	1	6.51221120515564e-6	0.0101785861136583	0	0	15.3622782446312	183.453738200745	CD79B;DIAPH1;ZEB1;MYB;SPNS2;ARHGEF1	MGI Mammalian Phenotype Level 4 2024	FDR < 0.05
Abnormal Ureteric Bud Tip Morphology MP:0011760	2	1.54586723929975e-5	0.0120809524751276	0	0	128.7890625	1426.64028410051	GREB1L;TCF21;SPRY1	MGI Mammalian Phenotype Level 4 2024	FDR < 0.05
Abnormal Ureteric Bud Morphology MP:0006032	3	2.95141007790542e-5	0.0153768465058873	0	0	28.7521815008726	299.903723924452	GREB1L;WNT9B;TCF21;SPRY1	MGI Mammalian Phenotype Level 4 2024	FDR < 0.05
Decreased Thymocyte Number MP:0000715	4	1.0858503717123e-4	0.042429603274658	0	0	7.10087827808016	64.8166531705759	ZEB1;MYB;SPNS2;CCR9;WNT1;PIK3CG;WNT4	MGI Mammalian Phenotype Level 4 2024	FDR < 0.05
Respiratory Distress MP:0001954	5	1.85030538969874e-4	0.0578405464819828	0	0	4.87604540023895	41.9095598503641	MN1;EFEMP2;MYCN;ZEB1;ADGRF5;TCF21;LAMC2;DSG3;CC2D1A	MGI Mammalian Phenotype Level 4 2024	FDR < 0.10
Signaling by GPCR	1	3.92068551884939e-4	0.0760297971112832	0	0	2.66504447054875	20.9048056570566	PTGIR;NPY5R;PDE4C;WNT9B;GPR20;ADRA1D;PIK3CG;SST;AKT2;CCR9;ARHGEF1;DRD1;WNT1;RGS8;PRKACB;CCR10;RGS6;WNT4	Reactome Pathways 2024	FDR < 0.10
Nephron Development	2	4.12585057871793e-4	0.0760297971112832	0	0	25.7453125	200.634975435967	HNF4A;WNT9B;WNT4	Reactome Pathways 2024	FDR < 0.10
Signal Transduction	3	4.70287404812061e-4	0.0760297971112832	0	0	1.86744437164835	14.3086697994563	DOCK6;ARHGAP11A;ZNF512B;SHC2;CTNND1;GPR20;LAMC2;ADRA1D;RFNG;PIK3CG;SYNGAP1;TRA2B;AKT2;MYB;CCR9;NRTN;DRD1;WNT1;RGS8;PRKACB;CCR10;SCAI;RGS6;WNT4;EGR1;PTGIR;PHC1;NPY5R;MCAM;PDE4C;WNT9B;KLF16;MAPK13;DIAPH1;MAG;MYCN;CENPH;ESRP2;SST;ARHGEF1;SPRY1;COL6A6;RGL2	Reactome Pathways 2024	FDR < 0.10
Abnormal Suckling Behavior MP:0001436	6	3.95735243755663e-4	0.0938178709495776	0	0	6.85505430242272	53.7077405272288	NR4A2;MN1;MAGEL2;SYNGAP1;ZEB1;TASP1	MGI Mammalian Phenotype Level 4 2024	FDR < 0.10
Abnormal Vascular Smooth Muscle Physiology MP:0005595	7	4.448672078442e-4	0.0938178709495776	0	0	12.7671126624006	98.5331887922168	KCNK6;EFEMP2;KLF5;ZEB1	MGI Mammalian Phenotype Level 4 2024	FDR < 0.10
Abnormal Humoral Immune Response MP:0001800	8	4.80193837233922e-4	0.0938178709495776	0	0	6.59353023909986	50.3832791549112	DIAPH1;SPNS2;HCLS1;ARHGEF1;LTB;PRDM11	MGI Mammalian Phenotype Level 4 2024	FDR < 0.10
Decreased IgG Level MP:0001805	9	7.3190534537305e-4	0.0965604616444184	0	0	6.05426356589147	43.710931485998	CD79B;FCER1G;ZEB1;SPNS2;ARHGEF1;LTB	MGI Mammalian Phenotype Level 4 2024	FDR < 0.10
Delayed Kidney Development MP:0000528	10	7.87240218423509e-4	0.0965604616444184	0	0	19.8004807692308	141.513583083169	WNT9B;TCF21;WNT4	MGI Mammalian Phenotype Level 4 2024	FDR < 0.10
Increased Bone Marrow Cell Number MP:0000321	11	7.95742773940323e-4	0.0965604616444184	0	0	10.7689790575916	76.849960663034	CNN2;EGR1;DIAPH1;MYB	MGI Mammalian Phenotype Level 4 2024	FDR < 0.10
Increased Circulating Corticosterone Level MP:0001745	12	7.95742773940323e-4	0.0965604616444184	0	0	10.7689790575916	76.849960663034	ZEB1;NPY5R;SST;ATP1A1	MGI Mammalian Phenotype Level 4 2024	FDR < 0.10
Absent Wolffian Ducts MP:0009073	13	8.03126040548586e-4	0.0965604616444184	0	0	85.4145077720207	608.749102444683	GREB1L;WNT9B	MGI Mammalian Phenotype Level 4 2024	FDR < 0.10
